explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.916275778057752e-06,6.879632564960048e-06,1.7592577933100984e-05,2.241527363366913e-05,6.601935456274077e-05,0.00040033771074377,8.548594450985547e-06,5.591927401837893e-05,9.253199095837772e-05,2.8645037673413754e-05,1.005918238661252e-05,2.398884589638328e-06,1.8523964172345586e-05,3.5120590382575756e-06,2.727653736656066e-06,7.325311798922485e-06,2.0885026970063336e-05,1.2514239642769098e-05,0.00031632231548428535,0.0008140822756104171,7.328337233047932e-05,0.0005111998762004077,0.0008947847527451813,0.0014720229664817452,0.001368109486065805,0.00039376391214318573,0.00016214839706663042,4.694449307862669e-05,5.014286216464825e-05,1.4680048820991942e-07,8.134681195315352e-08,1.8369179599631025e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,1.51777876453707e-05,7.211012416519225e-05,1.6069475350377616e-07,3.9213398849824443e-05,0.0003585216181818396,0.0001242295402335003,4.465046004042961e-05,0.00012458304991014302,5.024849087931216e-06,0.0001030915227602236,0.00025850473321042955,3.144567017443478e-05,1.756720303092152e-05,0.0001104930997826159,3.297373405075632e-05,6.833943643869134e-06,2.604454493848607e-06,4.860066837863997e-06,2.8391909836500417e-06,3.750564792426303e-05,0.00016534516180399805,8.551851351512596e-05,3.438583735260181e-05,3.919585651601665e-05,3.766053487197496e-05,0.00255298288539052,0.00027999933809041977,0.00036384176928550005,0.0004078101774211973,0.00022201216779649258,1.4908529010426719e-05,2.0861187294940464e-05,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,3.4312649859202793e-06,0.0003449336509220302,0.0027483326848596334,0.00011085960431955755,8.945154149841983e-06,1.6869462626800669e-07,1.2316307902437984e-06,2.245145402923754e-08,4.561790944990207e-09,6.211632097574693e-09,2.310193103483016e-08,4.4978563096265134e-07,6.988512524230828e-08,2.2078743313613813e-06,5.002287434763275e-05,0.0005112495855428278,0.2640840411186218,0.1953973025083542,0.052393827587366104,0.2407616525888443,0.37584084272384644,0.6384879350662231,0.27455082535743713,0.17072440683841705,0.16521485149860382,0.202901691198349,0.012407997623085976,0.026798075065016747,0.014029646292328835,0.02478295937180519,0.01429864950478077,0.00973566249012947,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.0005681795300915837,0.00018479330174159259,3.1758181648910977e-06,2.1621920041070553e-06,1.7151079445554274e-09,9.696179148477313e-08,1.7943382317753276e-06,3.3236201346653615e-08,9.81750986284169e-07,3.9254423427337315e-06,1.726424125081394e-05,1.0913630603681668e-06,7.857212040107697e-06,9.696988854557276e-06,2.8588616260094568e-05,4.179482857580297e-05,5.140480425325222e-05,0.00010996007040375844,3.109850513283163e-05,0.00019820693705696613,0.003323731943964958,0.030663512647151947,0.07287684828042984,0.07156936079263687,0.2783352732658386,0.6362713575363159,0.741459846496582,0.7420728206634521,0.5513149499893188,0.031461577862501144,0.1474589705467224,0.059850212186574936,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.0003705662675201893,0.0025427802465856075,0.08281441777944565,0.026297515258193016,0.0858936682343483,0.10847115516662598,5.593505557044409e-05,0.00020804390078410506,0.00021595149883069098,0.0002299947227584198,0.00011573612573556602,0.00022064037329982966,0.0005147765623405576,0.0032248806674033403,0.0001603757409611717,0.000213182793231681,0.026630593463778496,0.008945346809923649,0.003083742456510663,0.06257401406764984,0.03765615448355675,0.004877821076661348,0.002021467313170433,0.0033039902336895466,0.05235454812645912,0.19962620735168457,0.20874923467636108,0.13029520213603973,0.2660764157772064,0.20741328597068787,0.2565949559211731,0.3739617168903351,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.0803160876093898e-05,3.4469281672500074e-05,1.2224690181028564e-05,3.385419404366985e-05,7.2045882006932516e-06,3.428727097798401e-07,1.2906199344797642e-06,2.9683636967092752e-05,3.271077366662212e-05,0.00011960094707319513,0.0021807292941957712,0.0009868860943242908,0.0006591789424419403,0.0006232106243260205,0.00011478013038868085,0.0005542605649679899,0.0006051915697753429,6.381743150996044e-05,2.6135157895623706e-05,0.0011439577210694551,0.005248224828392267,0.0023017532657831907,0.0030532637611031532,0.0028788677882403135,0.0041335453279316425,0.0018278956413269043,0.0003788834728766233,0.00043763782014138997,0.00011108921171398833,2.26111169467913e-05,1.1616578376560938e-05,3.950889549741987e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.0332283864045166e-06,3.604395897127688e-05,3.802726496360265e-05,4.641209216060815e-06,2.5565775558789028e-06,1.4005743196321419e-06,4.509810878516873e-06,3.9167494492176047e-07,5.539300786949752e-07,3.0480123314191587e-06,1.8187871319241822e-05,3.94146227336023e-05,3.909514271072112e-05,7.760108564980328e-05,6.145579391159117e-05,0.00018473387171979994,0.009603848680853844,0.024685785174369812,0.10240881890058517,0.373424232006073,0.273017019033432,0.5369946956634521,0.06920726597309113,0.04612348601222038,0.00029950038879178464,0.0001976352941710502,0.0005233421688899398,0.00033091555815190077,0.0005068075261078775,0.015405614860355854,0.0476158931851387,0.1480652391910553,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,6.892452802276239e-06,0.0005183132598176599,0.001606461126357317,0.0003207421978004277,0.00047711815568618476,0.0018556956201791763,0.00033033714862540364,1.3626987310999539e-05,7.14045836502919e-06,9.982837582356296e-06,0.0004716930561698973,1.3431063052848913e-05,1.3051717360212933e-05,2.28437584155472e-05,3.3727254049154e-05,4.872664067079313e-05,0.010724363848567009,0.19810916483402252,0.1901726871728897,0.14236818253993988,0.3212306499481201,0.21248450875282288,0.22515903413295746,0.14840485155582428,0.5889384746551514,0.5754522085189819,0.726575493812561,0.4170832931995392,0.42971301078796387,0.8936529755592346,0.800674319267273,0.5045554637908936,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.5881628314673435e-06,7.249260761454934e-06,4.777714821102563e-06,3.61878119292669e-05,9.792683704290539e-05,0.00011579266720218584,2.2382255338015966e-06,7.196806109277532e-05,0.0005753773730248213,0.0007241524872370064,0.004817924462258816,0.00023999164113774896,0.00017950286564882845,0.00045990364742465317,0.0008239708840847015,0.0011835917830467224,0.00030352696194313467,0.0006580142653547227,0.008774714544415474,0.05439799278974533,0.2538352906703949,0.14660689234733582,0.09415032714605331,0.2821166217327118,0.4033042788505554,0.4302038848400116,0.5160811543464661,0.4849606156349182,0.7007576823234558,0.8460901379585266,0.8977212309837341,0.5878977179527283,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,2.2993764048351295e-07,1.5726210449429345e-06,2.387025688221911e-06,2.0857171421084786e-06,2.7663581931847148e-06,3.891333835781552e-05,0.00013702358410228044,5.483732820721343e-05,6.877482974232407e-06,1.2573394997161813e-05,0.00012087260256521404,8.330120908794925e-05,5.223555854172446e-05,0.00018913639360107481,1.701646760920994e-05,8.661568426759914e-05,0.000957980053499341,0.00016404816415160894,0.0005674780695699155,0.00067290966399014,0.0003247101849410683,0.00011697891022777185,6.929979463166092e-06,2.100261735904496e-05,3.115302388323471e-05,0.00016543139645364136,0.0010488595580682158,0.00588674983009696,0.006225673947483301,0.06128605827689171,0.2962280213832855,0.48021307587623596,0.9786726832389832,0.9694126844406128
