explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.6170250773939188e-06,2.261273402837105e-05,8.257491572294384e-05,0.0001710666110739112,0.00029347717645578086,0.025255708023905754,0.0009419817361049354,0.0032207181211560965,0.0044281682930886745,0.0015518903965130448,0.0007668316829949617,0.00022162425739225,0.002074861666187644,0.0004007582610938698,0.0004759966104757041,0.0005825097905471921,0.00043799710692837834,0.00028873569681309164,0.013573050498962402,0.009275834076106548,0.0012590980622917414,0.004651382565498352,0.006796455010771751,0.012524811550974846,0.01425451971590519,0.005791254807263613,0.00363140064291656,0.0016184963751584291,0.0010239275870844722,9.459307875658851e-06,6.1244581956998445e-06,5.758462066296488e-06,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,9.492211574979592e-06,0.00018524461484048516,5.859486918780021e-06,0.00014279753668233752,0.0016365234041586518,0.0006929330411367118,0.0012884928146377206,0.0014015911146998405,0.00018595326400827616,0.004264662973582745,0.009020820260047913,0.0009487626957707107,0.0004609680618159473,0.0022387858480215073,0.0013660785043612123,0.00045812051394023,0.00048336308100260794,0.0005951821804046631,0.000587774149607867,0.007584242150187492,0.03124791383743286,0.015439408831298351,0.009685089811682701,0.003537650452926755,0.012758770026266575,0.6084651350975037,0.15696142613887787,0.06894964724779129,0.08252757042646408,0.16641712188720703,0.02541079930961132,0.05733482167124748,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,9.894582035485655e-06,0.0015598249156028032,0.007607527542859316,0.0004891849821433425,0.00010822043986991048,1.3563468201027717e-05,0.00010114690667251125,7.474974950127944e-07,2.4072738824543194e-07,1.6036896965943015e-07,1.15884347451356e-06,2.9938179068267345e-05,4.0424579310638364e-06,3.863015444949269e-05,0.0026013548485934734,0.0627586767077446,0.9326726794242859,0.894914984703064,0.5692536234855652,0.8474157452583313,0.6948047280311584,0.9188498258590698,0.7474777698516846,0.4528915584087372,0.5676577091217041,0.3779171109199524,0.028499344363808632,0.09346243739128113,0.08520017564296722,0.039437439292669296,0.03289506211876869,0.03288315236568451,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.0004128884756937623,0.00013958135969005525,0.00013860277249477804,4.7260768042178825e-05,3.938036570616532e-06,8.062592678470537e-05,0.0007148570730350912,9.502214379608631e-05,0.0006940588937141001,0.0015602734638378024,0.0036522236187011003,0.00022827535576652735,0.0004619461251422763,0.0007684084703214467,0.0003104304487351328,0.001228969544172287,0.0033360968809574842,0.009457220323383808,0.004668056964874268,0.038059886544942856,0.25818169116973877,0.708400309085846,0.8545602560043335,0.9016091823577881,0.9251482486724854,0.9454348683357239,0.9567431211471558,0.9093416929244995,0.8865562677383423,0.87004154920578,0.9472079277038574,0.8031381964683533,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.00017050124006345868,0.0034680403769016266,0.3947785198688507,0.22614771127700806,0.3837945759296417,0.6000910401344299,0.09293418377637863,0.11922381073236465,0.11475829035043716,0.13131031394004822,0.050451382994651794,0.04499286413192749,0.03799097612500191,0.14391542971134186,0.03653675317764282,0.04015988111495972,0.2538401484489441,0.2347470074892044,0.11891836673021317,0.36394378542900085,0.30063557624816895,0.2547627389431,0.08153890818357468,0.258300244808197,0.30960744619369507,0.4592321515083313,0.42919307947158813,0.4829377830028534,0.7571769952774048,0.685606062412262,0.6920880079269409,0.7514302134513855,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.8834600268746726e-05,0.0001452876313123852,0.00016786502965260297,0.0008156669209711254,0.00019117405463475734,0.000287373986793682,0.0003883176832459867,0.0012149432441219687,0.001522059552371502,0.003181969281286001,0.11973834782838821,0.05358584597706795,0.028728004544973373,0.033289674669504166,0.002687455853447318,0.008763468824326992,0.004544076509773731,0.0023384944070130587,0.00033319456269964576,0.010216191411018372,0.04428555443882942,0.023187899962067604,0.02854313515126705,0.021357273682951927,0.02215993031859398,0.01529661938548088,0.004605872556567192,0.00420517660677433,0.0010444358922541142,0.0011989754857495427,0.0011096203234046698,0.00045336922630667686,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.7198572095367126e-06,0.00032726567587815225,0.00011235250713070855,2.5970106435124762e-05,0.00014891174214426428,4.260420973878354e-05,7.896540773799643e-05,1.3896243217459414e-05,2.9508122679544613e-05,0.00012832281936425716,0.00039328093407675624,0.0004235351225361228,0.0005277108284644783,0.0006385829765349627,0.0011355711612850428,0.0026833489537239075,0.04842866212129593,0.31552550196647644,0.43067285418510437,0.9333043694496155,0.9018806219100952,0.9540258646011353,0.645743191242218,0.6217705607414246,0.06279938668012619,0.046160321682691574,0.11522039771080017,0.06186385452747345,0.06657429039478302,0.5798827409744263,0.7590574026107788,0.9726967811584473,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,7.700478818151169e-06,0.0021573766134679317,0.006826866418123245,0.001643641386181116,0.0011167298071086407,0.005918906070291996,0.007779564708471298,0.0013656682567670941,0.0012802896089851856,0.0009792255004867911,0.01364442054182291,0.0006104727508500218,0.0009057217976078391,0.0007070162100717425,0.0005842810496687889,0.0009017216507345438,0.12978525459766388,0.7095053195953369,0.6630377769470215,0.7649554014205933,0.8808322548866272,0.7923630475997925,0.8318712711334229,0.828423261642456,0.980861485004425,0.9568363428115845,0.9776139259338379,0.9684913158416748,0.9601414799690247,0.9862288236618042,0.9842538833618164,0.9838991165161133,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.2221039469295647e-06,3.930011371267028e-05,3.782118437811732e-05,0.000855595397297293,0.004193434026092291,0.007279579993337393,0.0012315668864175677,0.010619601234793663,0.0370694138109684,0.07514430582523346,0.12806634604930878,0.01607518084347248,0.015705114230513573,0.033212967216968536,0.04179300740361214,0.01990884356200695,0.012086989358067513,0.010838570073246956,0.0494345985352993,0.24075065553188324,0.5407988429069519,0.39232102036476135,0.2876431345939636,0.5705435872077942,0.8070165514945984,0.866590678691864,0.8900192975997925,0.8443700671195984,0.9369011521339417,0.9815618395805359,0.9891856908798218,0.9947617650032043,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.6657341461723263e-07,8.071174306678586e-06,5.182528184377588e-06,1.3901694728701841e-05,4.1794581193244085e-05,0.00022886467922944576,0.0015048366039991379,0.0002299613261129707,8.792288281256333e-05,0.00012551357212942094,0.0006437503034248948,0.00031252086046151817,0.0002913170319516212,0.0010132171446457505,0.00025205896236002445,0.0008818969945423305,0.008724387735128403,0.007189377211034298,0.040330734103918076,0.06197928637266159,0.0666869729757309,0.02890622615814209,0.008421732112765312,0.12507225573062897,0.0796399712562561,0.19416570663452148,0.6714397072792053,0.7702834010124207,0.8395279049873352,0.9313122630119324,0.7477719187736511,0.8893615007400513,0.9786726832389832,0.9694126844406128
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.00010361081513110548,0.014095750637352467,0.05250730365514755,0.12237103283405304,0.04435277730226517,0.014104390516877174,0.008932000026106834,0.014938685111701488,0.013078728690743446,0.011289821937680244,0.006721280049532652,0.00043172718142159283,0.0001394364662701264,0.0032825872767716646,0.004393218085169792,0.0073485299944877625,0.07237021625041962,0.3200346529483795,0.07959766685962677,0.0812414214015007,0.1297532171010971,0.5531721711158752,0.3864227533340454,0.1638069748878479,0.352757066488266,0.31048500537872314,0.6379638910293579,0.6862012147903442,0.8452060222625732,0.8496361970901489,0.42174166440963745,0.43176427483558655,0.080360047519207,0.7874895334243774
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.00011962041025981307,0.0008140003774315119,0.006358507089316845,0.04830443859100342,0.1368442326784134,0.04183368757367134,0.04194702208042145,0.025479480624198914,0.3395167887210846,0.09632895886898041,0.11677510291337967,0.00631461339071393,0.02019563876092434,0.017753560096025467,0.010941232554614544,0.44276416301727295,0.8161857724189758,0.6653411984443665,0.5432168245315552,0.44485369324684143,0.255276620388031,0.3604583442211151,0.272448867559433,0.0798208937048912,0.3391123116016388,0.28712350130081177,0.036713387817144394,0.024278217926621437,0.08182980120182037,0.0358566977083683,0.027174897491931915,0.011287776753306389,0.40789318084716797,0.4678117632865906
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,5.761473858001409e-06,0.0001392784179188311,9.612736175768077e-05,6.974692951189354e-05,7.141586684156209e-05,0.00032038436620496213,0.00016398768639191985,0.0002385471307206899,0.003471734933555126,0.0032399254851043224,0.00061429338529706,0.0015720718074589968,0.0018187019741162658,0.0020234619732946157,0.004116106778383255,0.0056367903016507626,0.014362374320626259,0.0248491819947958,0.008106302469968796,0.01292453147470951,0.05984599143266678,0.149661585688591,0.060102611780166626,0.033179957419633865,0.04662896692752838,0.01632484421133995,0.027618255466222763,0.03750760108232498,0.016891291365027428,0.031564004719257355,0.05753693729639053,0.008426543325185776,0.5411407947540283,0.9643753170967102
Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,3.3202741178683937e-06,5.531229908228852e-05,0.00023472074826713651,6.0195445257704705e-05,0.00023487138969358057,0.001578024704940617,0.001046398770995438,0.0002464204444549978,0.00416809506714344,0.019631700590252876,0.006657236721366644,0.0037831144873052835,0.004132487345486879,0.014562414959073067,0.021672025322914124,0.011480228044092655,0.22437424957752228,0.061197128146886826,0.11979066580533981,0.026875503361225128,0.01369087677448988,0.028186682611703873,0.027045462280511856,0.03414907306432724,0.00573698291555047,0.08285308629274368,0.18912765383720398,0.01742510311305523,0.005322081968188286,0.012931459583342075,0.006522076670080423,0.01720459945499897,0.07159175723791122,0.2677919566631317
California is the most,The bear flag state is the most,California,The bear flag state, populous,8.029206219362095e-05,0.0016397573053836823,0.0016802253667265177,0.001449662377126515,0.0017873984761536121,0.0011324504157528281,0.01569240912795067,0.002392889466136694,0.00045624334597960114,0.00015960237942636013,0.0006192311993800104,0.001203747815452516,0.0004182671254966408,0.00013884766667615622,6.743789708707482e-05,0.00019946829706896096,3.692454629344866e-05,0.002211992861703038,0.010027643293142319,0.03637894615530968,0.0557376965880394,0.10555726289749146,0.014570382423698902,0.05844832956790924,0.09724098443984985,0.14859162271022797,0.36759576201438904,0.24673786759376526,0.17960628867149353,0.6851552724838257,0.7529537081718445,0.5320648550987244,0.649124026298523,0.9438538551330566
California is the most,The golden bear state is the most,California,The golden bear state, populous,0.00010232818021904677,0.002027004724368453,0.0063456641510128975,0.006542102433741093,0.012444392777979374,0.006261381320655346,0.08251672238111496,0.004600379150360823,0.0019000518368557096,0.0002599389699753374,0.0007713199593126774,0.0008317066240124404,0.00016218892415054142,9.972628322429955e-05,0.00022280648408923298,0.0009050455992110074,0.00016696567763574421,0.005143396090716124,0.022941293194890022,0.25926628708839417,0.21978187561035156,0.19231803715229034,0.07768654823303223,0.48583152890205383,0.5640787482261658,0.535014808177948,0.564106822013855,0.6383861899375916,0.5464763641357422,0.9235957264900208,0.9282760620117188,0.8691522479057312,0.801158607006073,0.9438538551330566
Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,2.415284870949108e-05,0.000556634331587702,0.005077667068690062,0.001082787523046136,0.0002707999956328422,0.0004925903049297631,5.142298323335126e-05,2.0566891180351377e-05,0.00045915754162706435,0.0005501117557287216,0.0027186109218746424,0.00129234348423779,0.0017173526575788856,0.005010946188122034,0.002181377960368991,0.0074022323824465275,0.009230554103851318,0.005461514461785555,0.02716885693371296,0.025178570300340652,0.03222344070672989,0.04641995579004288,0.0187192615121603,0.014260370284318924,0.008562610484659672,0.0453922264277935,0.04021308198571205,0.027690963819622993,0.04547909274697304,0.03622740879654884,0.013975079171359539,0.010568295605480671,0.09056086093187332,0.041050996631383896
