explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.7483438341514557e-06,7.349719908233965e-07,7.141657079046126e-07,1.6609023987257387e-06,2.0316526843089378e-06,3.2208354241447523e-06,1.7983931002163445e-06,2.0539716842904454e-06,2.360932967349072e-06,7.1623121584707405e-06,1.5018870726635214e-05,1.2406560927047394e-05,1.5915091353235766e-05,2.9981372790643945e-05,2.4141520043485798e-05,1.60735708050197e-05,5.5485934353782795e-06,2.4241126084234565e-05,4.5102064177626744e-05,0.00045635795686393976,0.0006612282595597208,0.0001957525673788041,0.00020250621309969574,0.0006262004026211798,0.00031931375269778073,0.0003613967855926603,0.0006630921270698309,0.0002605597546789795,0.0018867995822802186,0.002167257247492671,0.0018752450123429298,0.007659181021153927,0.0011948856990784407,0.0010461965575814247,0.0007556261261925101,0.0009558710153214633,0.0002818899229168892,0.004606051370501518,0.0005212542600929737,0.00025505266967229545,0.00031372372177429497,0.0013100156793370843,0.0020171194337308407,0.0015096095157787204,0.0024466963950544596,0.023783154785633087,0.029311100021004677,0.023849235847592354,0.009732048958539963,0.012995083816349506,0.010525844991207123,0.007283539976924658,0.023469015955924988,0.015888461843132973,0.032433513551950455,0.06896135210990906,0.007847043685615063,0.17521238327026367,0.3220660984516144,0.1629922240972519,0.10794398933649063,0.028370700776576996,0.024823250249028206,0.02420748583972454,0.019291313365101814,0.004589867312461138,0.03260471299290657,0.020563174039125443,0.010909629054367542,0.01759698987007141,0.021316813305020332,0.011519212275743484,0.0017171259969472885,0.002170611871406436,0.0018359480891376734,0.0010509720304980874,0.0020156512036919594,0.0003068975929636508,0.0002346975525142625,0.0035647093318402767,0.08630707114934921,0.03394823148846626
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.875835545841255e-07,3.4810889815162227e-07,4.4194686665832705e-07,2.762037070169754e-07,1.2918626453028992e-06,3.1523486541118473e-06,3.871426088153385e-06,3.7456593418028206e-06,6.528967787744477e-06,2.7084383873443585e-06,2.062014209514018e-05,5.8619883930077776e-05,3.7418441934278235e-05,8.490565232932568e-05,0.00019506092939991504,0.00020499782112892717,0.00010875377483898774,0.0003000199212692678,0.0001842779020080343,0.0003190956194885075,0.0009148583631031215,0.00041751752723939717,0.0004273820377420634,0.0008655247511342168,0.0018807502929121256,0.0005856986972503364,0.0011490340111777186,0.001248006010428071,0.000787498545832932,0.0019140328513458371,0.0008658899459987879,0.0004875419836025685,0.0007885455852374434,0.0016007177764549851,0.010297136381268501,0.00994608923792839,0.04568164050579071,0.015922755002975464,0.07220055907964706,0.06548542529344559,0.04547738656401634,0.07834284752607346,0.1851312518119812,0.23257461190223694,0.2545459568500519,0.26032060384750366,0.6549791693687439,0.9609564542770386,0.9554010033607483,0.9454485774040222,0.9409570693969727,0.9492284655570984,0.9549658298492432,0.9858243465423584,0.9839995503425598,0.9889228343963623,0.9874486327171326,0.9767812490463257,0.9818627238273621,0.9768295884132385,0.98395836353302,0.9818602204322815,0.9767871499061584,0.9765830039978027,0.9456100463867188,0.9386686086654663,0.9453242421150208,0.9570721387863159,0.9620170593261719,0.961439847946167,0.9610883593559265,0.9727849960327148,0.9790632724761963,0.9813346862792969,0.9787686467170715,0.9854043126106262,0.9854806065559387,0.9719097018241882,0.9803848266601562,0.9663129448890686,0.8543716669082642,0.6189217567443848
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,3.865010967274429e-06,3.5541468150768196e-06,3.630081891969894e-06,5.363049240258988e-06,4.1989496821770445e-06,5.711824996978976e-06,6.766823844372993e-06,1.55808447743766e-05,2.5595667466404848e-05,1.326441179116955e-05,0.00011152488877996802,7.017949974397197e-05,4.774269473273307e-05,1.096107553166803e-05,1.4134685443423223e-05,2.8812082746298984e-06,1.1452556236690725e-06,2.4022658635658445e-06,7.857466698624194e-06,5.373265594244003e-06,3.894827841577353e-06,5.1438682930893265e-06,6.376157671184046e-06,5.750453965447377e-06,1.314505971095059e-05,5.932093245064607e-06,2.810192199831363e-06,2.1344285414670594e-06,3.7491852253879188e-06,7.105325948941754e-06,1.2534004781628028e-05,2.8335021852399223e-05,1.7706210201140493e-05,2.1244730305625126e-05,2.4373744963668287e-05,1.7030024537234567e-05,2.998334457515739e-05,7.925459067337215e-05,0.00011999248818028718,0.00010585067502688617,0.0001347718498436734,0.00029605397139675915,0.0001765922352205962,0.00021292622841428965,0.000669350556563586,0.0003892443492077291,0.00023888592841103673,0.0005188341019675136,0.0014331556158140302,0.0008984277374111116,0.0009225438116118312,0.000448804086772725,0.0003362228162586689,0.0008019387605600059,0.0004639393591787666,0.00040365447057411075,0.0011100443080067635,0.0008696925942786038,0.0005377343622967601,0.0007870072149671614,0.0005546549218706787,0.0007192747434601188,0.0008474038331769407,0.000974921858869493,0.0011459869565442204,0.004680454730987549,0.0022642123512923717,0.002676432952284813,0.002397658070549369,0.004421586636453867,0.004204501397907734,0.005013111513108015,0.0030061020515859127,0.0028149569407105446,0.0007142528775148094,0.0007556009804829955,0.0012182992650195956,0.005037160124629736,0.007456979714334011,0.004342136438935995,0.0355692058801651,0.3625369668006897
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.947394139278913e-06,7.886874868745508e-07,7.25038319160376e-07,4.2075367900906713e-07,3.187186052855395e-07,8.897757766135328e-07,1.5173071687968331e-06,2.412871253909543e-06,1.8391458525002236e-06,4.2574829421937466e-06,5.033451543567935e-06,1.1312765764159849e-06,3.1407623737322865e-06,5.436129868030548e-06,7.926715625217184e-06,1.1251438991166651e-05,7.3123155743815005e-06,1.075574118658551e-06,9.409337735633017e-07,2.3127620352170197e-06,2.2311050997814164e-05,1.1377173905202653e-06,3.59550676876097e-06,2.7960315946984338e-06,5.856929874425987e-06,1.3637894653584226e-06,6.101701615079946e-07,5.95185667862097e-07,2.3289776436286047e-06,1.1605923191382317e-06,8.409264182773768e-07,3.933930656785378e-06,2.0382954062370118e-06,2.4163796297216322e-06,1.6091806173790246e-05,3.872163870255463e-05,0.00013302457227837294,0.0011873957701027393,0.0008827067795209587,0.001379443216137588,0.005826286971569061,0.0058673410676419735,0.022905100136995316,0.010742004960775375,0.018882323056459427,0.04425555095076561,0.059160418808460236,0.08152516186237335,0.17829182744026184,0.14533953368663788,0.14598801732063293,0.19819189608097076,0.4022807776927948,0.3718494176864624,0.4323696494102478,0.34473857283592224,0.3455125093460083,0.4960923492908478,0.46517908573150635,0.6460360884666443,0.4510728716850281,0.4238458573818207,0.572448194026947,0.7159470319747925,0.7374863028526306,0.7380195260047913,0.7161146998405457,0.7632478475570679,0.7416566014289856,0.7358459234237671,0.7029751539230347,0.8119369745254517,0.848034143447876,0.8140038847923279,0.7526839971542358,0.7949128746986389,0.7936409711837769,0.9048356413841248,0.9557659029960632,0.9702192544937134,0.9403198957443237,0.9352973699569702
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.554826485516969e-05,1.5926021660561673e-05,8.696029908605851e-06,9.17073521122802e-06,3.004653081006836e-05,0.00011887584696523845,0.00024457351537421346,0.0005438262014649808,0.0003039049042854458,0.00021892624499741942,0.00042165559716522694,6.232668238226324e-05,6.719630619045347e-05,3.0916620744392276e-05,7.805111090419814e-05,1.6632968254270963e-05,3.4083163882314693e-06,1.654787979532557e-06,1.080863057723036e-06,1.7807598851504736e-05,0.0002681647310964763,0.000550118915271014,0.00043478148290887475,0.0009688222780823708,0.0007956330664455891,0.0015823672292754054,0.004192804917693138,0.004107056651264429,0.0071645393036305904,0.01604275591671467,0.007158323656767607,0.003539181314408779,0.0051254997961223125,0.010533468797802925,0.028655163943767548,0.02661348506808281,0.05619039013981819,0.08379574865102768,0.1253102868795395,0.073589026927948,0.10132879763841629,0.10579042881727219,0.16775698959827423,0.2493685781955719,0.3140801787376404,0.26380494236946106,0.2918875813484192,0.24363702535629272,0.22186604142189026,0.2449607253074646,0.3770776689052582,0.46769967675209045,0.26861095428466797,0.2937925159931183,0.3477242588996887,0.5604295134544373,0.5604593753814697,0.4673113524913788,0.2936224043369293,0.347904235124588,0.34787264466285706,0.3200891315937042,0.49824202060699463,0.4363018870353699,0.560029923915863,0.8131263256072998,0.7723864912986755,0.7505892515182495,0.6754114627838135,0.7507847547531128,0.8291150331497192,0.6183960437774658,0.6744978427886963,0.7938475012779236,0.6213690638542175,0.5308800935745239,0.6784377098083496,0.8618428111076355,0.8775864243507385,0.7908586859703064,0.6360928416252136,0.7828002572059631
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.500429220868682e-06,9.805908121052198e-07,6.516143571388966e-07,7.584691843476321e-07,4.4234536744625075e-07,4.823637596018671e-07,7.429905508615775e-07,2.5457409265072783e-06,5.696800144505687e-06,1.6839487216202542e-05,3.6103632737649605e-05,2.9617913241963834e-05,2.5357217964483425e-05,2.6775825972435996e-05,1.853858157119248e-05,1.6301746654789895e-05,1.7097629097406752e-05,1.5523452020715922e-05,1.4351911886478774e-05,1.4730343536939472e-05,1.297073504247237e-05,3.143790672766045e-05,2.6445453841006383e-05,7.46489922676119e-06,2.5195729449478677e-06,7.522041300944693e-07,9.841294286161428e-07,6.270821586440434e-07,5.365191100281663e-07,1.1433592135290382e-06,1.7235385030289763e-06,4.769583938468713e-06,5.1991896725667175e-06,9.996148946811445e-06,1.4391058357432485e-05,2.9799692129017785e-05,2.1495583496289328e-05,1.717430495773442e-05,2.388762186456006e-05,3.356926754349843e-05,4.089999129064381e-05,3.183541048201732e-05,2.7573052648222074e-05,2.7811189283966087e-05,0.00012655767204705626,0.00011097527749370784,8.808833081275225e-05,4.5681143092224374e-05,5.567674452322535e-05,5.33017264388036e-05,4.187798185739666e-05,2.6449108190718107e-05,5.046875958214514e-05,4.5849214075133204e-05,3.27306697727181e-05,5.6183656852226704e-05,6.86480852891691e-05,0.00023300830798689276,0.0001756489073159173,7.898944750195369e-05,0.000102770391094964,6.2780141888652e-05,8.0084428191185e-05,7.550636655651033e-05,8.717055607121438e-05,0.00012654993042815477,0.00017671544628683478,0.0002494145301170647,0.00033943724702112377,0.0006854698876850307,0.0006394138908945024,0.0008416619384661317,0.0007747008930891752,0.0008964627049863338,0.0007378894370049238,0.0007310956134460866,0.0008134767995215952,0.0017423575045540929,0.004907517693936825,0.00971253588795662,0.023658061400055885,0.007474442012608051
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.4505951185128652e-05,2.859689629985951e-06,2.9462071324815042e-06,3.217577159375651e-06,1.3349144865060225e-06,1.0949714805974509e-06,5.454596703202697e-07,2.3439972096639394e-07,3.695240309298242e-07,1.6508609235188487e-07,6.896247839449643e-08,2.2004687139087764e-07,3.9005666963021213e-07,4.035001097690838e-07,5.406427590060048e-07,5.72382077734801e-07,3.298584090316581e-07,5.396394158196927e-07,8.107380722321977e-07,1.7167101304949028e-06,4.073677246196894e-06,1.4214764632924926e-05,3.198246122337878e-05,5.006747232982889e-05,2.8566115361172706e-05,1.8523876860854216e-05,2.1989859305904247e-05,2.4369084712816402e-05,1.3008653695578687e-05,4.598511804942973e-05,0.00013885932276025414,0.0005188990035094321,0.0013777121203020215,0.0009148660465143621,0.0002339123166166246,0.0004943133681081235,0.0006264142575673759,0.1423080414533615,0.21038760244846344,0.07703495770692825,0.05179164931178093,0.08420062810182571,0.10505752265453339,0.11685881018638611,0.1327602118253708,0.47832033038139343,0.3685208857059479,0.2948427200317383,0.24510563910007477,0.3816138803958893,0.41863691806793213,0.48317989706993103,0.4140894412994385,0.6856887936592102,0.7691252827644348,0.8829443454742432,0.9165878295898438,0.8897390961647034,0.5603545904159546,0.5409546494483948,0.49970918893814087,0.4388831555843353,0.3065756559371948,0.3217252790927887,0.3954235911369324,0.25024423003196716,0.19507929682731628,0.2022162824869156,0.2589324116706848,0.14213551580905914,0.12975233793258667,0.08076778054237366,0.048355717211961746,0.03905358910560608,0.08600587397813797,0.23135487735271454,0.17403128743171692,0.15661166608333588,0.18490879237651825,0.715756356716156,0.8373129367828369,0.9475685358047485
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,2.5891481527651194e-06,1.1223406772842281e-06,1.7321164023087476e-06,3.1837898859521374e-06,2.955747049782076e-06,3.103567678408581e-06,7.177642146416474e-06,1.0383015251136385e-05,8.837146197038237e-06,6.710053185088327e-06,3.0087403501966037e-05,5.158199928700924e-05,1.6855468857102096e-05,1.6155190678546205e-05,5.331748252501711e-05,1.572878500155639e-05,1.5186760720098391e-05,2.1777987058158033e-05,7.620667474839138e-06,1.230441739608068e-05,1.0922065484919585e-05,1.1022216312994715e-05,2.1045725588919595e-05,3.485357956378721e-05,6.726077845087275e-05,4.315845581004396e-05,4.593574703903869e-05,4.0418188291369006e-05,2.5480241674813442e-05,1.5418512703035958e-05,9.11893312149914e-06,1.443787186872214e-05,7.21728883945616e-06,1.3347234926186502e-05,9.631785360397771e-06,1.6470181435579434e-05,9.48806518863421e-06,7.528955757152289e-05,4.547047501546331e-05,6.383267464116216e-05,0.00021309536532498896,0.00021400637342594564,0.00042329152347519994,0.0003199248749297112,0.0002721419732552022,0.0007118353969417512,0.0005510865012183785,0.0009563261410221457,0.001302666962146759,0.0027291858568787575,0.004092755261808634,0.003763289889320731,0.007271860726177692,0.0012123433407396078,0.0023758604656904936,0.005638060159981251,0.011208838783204556,0.008924923837184906,0.004462945740669966,0.00650433823466301,0.009719682857394218,0.011078773997724056,0.017926255241036415,0.017879558727145195,0.01994825154542923,0.01988898776471615,0.02708948403596878,0.025090370327234268,0.047968875616788864,0.039057936519384384,0.04542725905776024,0.04304073005914688,0.031085416674613953,0.03555864468216896,0.027057023718953133,0.023540671914815903,0.020346863195300102,0.026558883488178253,0.056980956345796585,0.3487917184829712,0.2082185000181198,0.7491705417633057
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,7.259920380420226e-07,3.204449683380517e-07,1.9551985133148264e-06,2.1028467926953454e-06,4.310171334509505e-06,1.6056786762419506e-06,1.6091962606878951e-06,9.898571988742333e-07,5.818849899696943e-07,1.5914966979835299e-06,3.141376737403334e-06,2.5041128992597805e-06,9.478295055487251e-07,4.7197184471770015e-07,1.0984462051055743e-06,2.0581737771863118e-06,3.0363487439899473e-06,1.2151563169027213e-05,7.322023157030344e-05,9.202595538226888e-05,0.00010130328155355528,0.0002456290530972183,0.0013066712999716401,0.005449063144624233,0.005220058374106884,0.004017842933535576,0.007171803619712591,0.0036529928911477327,0.002324012340977788,0.0021377382799983025,0.004323724191635847,0.009911725297570229,0.005948537960648537,0.007823203690350056,0.026087280362844467,0.028960149735212326,0.037001900374889374,0.05071014165878296,0.034260012209415436,0.02532353810966015,0.023080145940184593,0.14503532648086548,0.1152384877204895,0.1164165735244751,0.12267396599054337,0.2134781926870346,0.23488058149814606,0.20579878985881805,0.18240731954574585,0.20264822244644165,0.24862223863601685,0.21327602863311768,0.30067434906959534,0.2021278291940689,0.2313632071018219,0.25800201296806335,0.26505741477012634,0.321977436542511,0.4226074814796448,0.4993368983268738,0.5405728816986084,0.6176285743713379,0.6330217719078064,0.7740722894668579,0.812756359577179,0.8472661972045898,0.8218762278556824,0.8383429646492004,0.8218071460723877,0.8365632891654968,0.8519473671913147,0.8944612145423889,0.9114886522293091,0.8102532625198364,0.8806502223014832,0.8621906638145447,0.773197591304779,0.7940696477890015,0.8785713315010071,0.9521664977073669,0.9951085448265076,0.9965139031410217
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.4611038068323978e-06,3.5442799344309606e-06,8.90717092261184e-06,1.1914331480511464e-05,2.744567063928116e-05,2.1130401364644058e-05,3.314185960334726e-05,2.8076079615857452e-05,5.91253447055351e-05,6.891661905683577e-05,6.515735731227323e-05,3.9122780435718596e-05,4.863950016442686e-05,4.974697367288172e-05,6.206480611581355e-05,6.276194471865892e-05,7.918556366348639e-05,2.5250850740121678e-05,1.9381917809369043e-05,1.3375478374655358e-05,3.930972525267862e-05,0.00017875236517284065,0.0001480104838265106,0.00015778177476022393,0.00014200975419953465,7.660008122911677e-05,0.0002208685764344409,0.00013929065607953817,0.0001908069389173761,0.00016604190750513226,4.9823738663690165e-05,3.089005622314289e-05,9.739522647578269e-05,0.00024408005992881954,0.00011094674118794501,9.684438555268571e-05,9.040479199029505e-05,0.00018927664496004581,0.00013150935410521924,0.0003180735802743584,0.0009473484824411571,0.003770926734432578,0.003866808256134391,0.004525375086814165,0.014936731196939945,0.015709873288869858,0.01628684438765049,0.0445173904299736,0.050379831343889236,0.05450570583343506,0.14743198454380035,0.16576367616653442,0.2746049463748932,0.30852872133255005,0.3836252987384796,0.6720855832099915,0.6392418146133423,0.7321977615356445,0.7402325868606567,0.8095105290412903,0.8761630654335022,0.9350541234016418,0.934319794178009,0.9340261816978455,0.8864241242408752,0.0398954339325428,0.13517378270626068,0.04766969382762909,0.05346810072660446,0.10345850139856339,0.13944114744663239,0.18677452206611633,0.22261179983615875,0.30039888620376587,0.38691556453704834,0.44105231761932373,0.4139171838760376,0.29136332869529724,0.41715461015701294,0.4272617697715759,0.954092800617218,0.945635199546814
