explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.1844900882351794e-06,6.567248078681587e-07,1.7483715453181503e-07,5.640323479383369e-07,9.437726475880481e-07,5.7331667449034285e-06,7.1577424023416825e-06,1.069258178176824e-05,6.795337412768276e-06,1.890533349069301e-05,3.312513217679225e-05,3.7237146898405626e-05,3.929690137738362e-05,3.180757994414307e-05,9.53316794038983e-06,1.5264730564013007e-06,3.5650400604936294e-06,2.75878142019792e-06,2.984520733662066e-06,4.89534158987226e-06,8.387908565055113e-06,1.4441078747040592e-05,4.2775941437867004e-06,9.084606972464826e-06,6.051812761143083e-06,9.1951942522428e-06,1.7731414118316025e-05,1.989772863453254e-05,3.8094141928013414e-05,8.75144723977428e-06,5.187624083191622e-06,8.609937140136026e-06,6.0007978390785865e-06,1.5385510778287426e-05,6.2869062276149634e-06,7.524424745497527e-06,7.944526259962004e-06,1.7973641661228612e-05,1.7268835108552594e-06,2.7783291898231255e-06,2.912904710683506e-05,4.360719321994111e-05,4.7612622438464314e-05,1.0166034371650312e-05,3.890192965627648e-05,5.5057305871741846e-05,2.6817417165148072e-05,5.2071231039008126e-05,2.5843004550551996e-05,2.477736234141048e-05,2.3521042749052867e-05,3.967254815506749e-05,0.00010232012573396787,0.00016394657723139971,0.0002029483439400792,0.00032580067636445165,3.7990866985637695e-05,0.000544368929695338,0.0005625694757327437,0.0004126087296754122,0.0003417928528506309,0.0004715270479209721,0.0007669181795790792,0.0006417665281333029,0.0006607178947888315,0.00027770461747422814,0.003683920716866851,0.0028378095012158155,0.0006422340520657599,0.0009802337735891342,0.0011871152091771364,0.0014143382431939244,0.00037817584234289825,0.00046687250141985714,0.00046398318954743445,0.0002426811697660014,0.0001456101017538458,0.00012608910037670285,0.00040298752719536424,0.0017366589745506644,0.08630707114934921,0.03394823148846626
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.5174955428374233e-06,8.330099262821022e-06,7.965732947923243e-06,6.823661806265591e-06,1.7226066120201722e-05,3.414319144212641e-05,3.765530345845036e-05,5.7413079048274085e-05,0.00010014613508246839,8.528090984327719e-05,0.0019003580091521144,0.0014261833857744932,0.00035807432141155005,0.0007223252323456109,0.0007192533812485635,0.0004005801456514746,0.0001429608091711998,0.00019707939645741135,0.0005599444848485291,0.00020169466733932495,8.67231865413487e-05,0.0002714947331696749,0.0001992581965168938,0.001082235248759389,0.000502734153997153,0.0002893324999604374,0.0001854191068559885,5.4219352023210377e-05,0.00015274954785127193,0.00037553964648395777,0.00029167247703298926,0.0002897893718909472,0.00045972777297720313,0.00010338589345337823,0.00024076408590190113,0.00026034313486889005,0.0012647028779610991,0.0004331402597017586,0.000804227776825428,0.0034677195362746716,0.004749106243252754,0.009435483254492283,0.008187134750187397,0.012835804373025894,0.010184464044868946,0.013499945402145386,0.014370201155543327,0.2483159303665161,0.31957000494003296,0.1728232502937317,0.15948490798473358,0.0926641896367073,0.13679924607276917,0.8711530566215515,0.7996588349342346,0.7312558889389038,0.7294642329216003,0.7846768498420715,0.639552116394043,0.7415876984596252,0.4459957778453827,0.6849486827850342,0.7399581670761108,0.654867947101593,0.39523521065711975,0.3213270306587219,0.20159293711185455,0.19666607677936554,0.326639324426651,0.17241260409355164,0.063437819480896,0.12711109220981598,0.27075034379959106,0.4451691508293152,0.11176280677318573,0.05353894829750061,0.028829043731093407,0.003492805641144514,0.004992451053112745,0.02604776620864868,0.8543716669082642,0.6189217567443848
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,5.682276241714135e-05,4.704772436525673e-05,5.837229036842473e-05,5.262008562567644e-05,4.5117121771909297e-05,4.507504127104767e-05,0.0001331688545178622,5.9398407756816596e-05,4.334952973295003e-05,3.963048220612109e-05,6.539684545714408e-05,3.880571966874413e-05,3.112192280241288e-05,4.257862201484386e-06,2.938956413345295e-06,1.8199822306996793e-06,3.395514113435638e-06,4.44551596956444e-06,1.2165271527919685e-06,2.899758328567259e-06,1.782375761649746e-06,2.616271785882418e-06,2.1060421204310842e-05,1.1091998203482945e-05,2.6217128834105097e-05,4.355837154434994e-05,2.9428343623294495e-05,0.00024142453912645578,5.586116822087206e-05,0.00033150118542835116,0.000391859415685758,0.0017210888909175992,0.001779572805389762,0.0014847288839519024,0.0040728263556957245,0.004235442727804184,0.007133775856345892,0.6063759326934814,0.6238046288490295,0.244703009724617,0.08104205131530762,0.30708450078964233,0.5412262678146362,0.7238941192626953,0.897196352481842,0.5200952887535095,0.5088411569595337,0.5158809423446655,0.6036056876182556,0.640484631061554,0.2650802731513977,0.7540333271026611,0.7009029388427734,0.9005101919174194,0.8960410356521606,0.8707904815673828,0.7251469492912292,0.5873000621795654,0.7465493083000183,0.6104758381843567,0.7594731450080872,0.6706775426864624,0.598193347454071,0.6570754051208496,0.44984984397888184,0.6699522137641907,0.3017926812171936,0.11191605776548386,0.25753945112228394,0.24880078434944153,0.3083334267139435,0.10993503034114838,0.09774474054574966,0.13552947342395782,0.11837087571620941,0.15633776783943176,0.2183486819267273,0.17358817160129547,0.31497231125831604,0.07588300853967667,0.0355692058801651,0.3625369668006897
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,8.13033984741196e-05,4.7048641135916114e-05,0.00011288769019301981,9.064897312782705e-05,6.47929118713364e-05,3.4071832487825304e-05,6.69855871819891e-05,2.4809407477732748e-05,1.3946369108452927e-05,5.02816010339302e-06,1.4846637895971071e-05,1.5970483218552545e-05,2.511321099518682e-06,5.133250851940829e-06,8.073507160588633e-06,3.586428283597343e-05,2.668561319296714e-05,0.00013481697533279657,5.4764885135227814e-05,5.8852754591498524e-05,1.0043115253210999e-05,2.285314076289069e-05,6.511610081361141e-06,1.3135894732840825e-05,9.632208275434095e-06,2.818718712660484e-05,5.35806393600069e-05,3.567629391909577e-05,3.732462937477976e-05,5.8164394431514665e-05,0.0001104688853956759,0.00010989786096615717,8.391810115426779e-05,4.3213527533225715e-05,7.048776296869619e-06,6.378232501447201e-05,0.00010495764581719413,0.0003877490817103535,0.0007774617406539619,0.008426389656960964,0.01905534788966179,0.01690170355141163,0.0749102234840393,0.01925528794527054,0.12139689177274704,0.23310981690883636,0.08140775561332703,0.1988590657711029,0.6996501684188843,0.645819902420044,0.39976638555526733,0.46274805068969727,0.46495166420936584,0.7948698401451111,0.6989574432373047,0.6172561049461365,0.6147983074188232,0.5175357460975647,0.5150943994522095,0.7659142017364502,0.5375863909721375,0.43081745505332947,0.3619557023048401,0.34465861320495605,0.5631817579269409,0.5110476613044739,0.4932532012462616,0.5641911029815674,0.5305241346359253,0.7653422355651855,0.6202868223190308,0.5723357200622559,0.5688798427581787,0.8159598112106323,0.81356281042099,0.8523800373077393,0.7327993512153625,0.8340686559677124,0.8574216365814209,0.7457042932510376,0.9403198957443237,0.9352973699569702
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.6323434465448372e-05,1.5305349734262563e-05,2.5582497983123176e-05,4.1544251871528104e-05,6.070541712688282e-05,0.0005283799255266786,0.0005553325172513723,0.0006515175919048488,0.00010160680540138856,3.6670127883553505e-05,0.0003367176977917552,5.5975629948079586e-05,5.2036055421922356e-05,5.9373665862949565e-05,0.0001344789779977873,0.00014568700862582773,8.019613596843556e-05,0.00022816818091087043,0.0002569998614490032,0.0003261945385020226,0.00191430130507797,0.0022119430359452963,0.0023798183538019657,0.006080427672713995,0.006662183906883001,0.009070733562111855,0.012723300606012344,0.01119129080325365,0.019450701773166656,0.06055668741464615,0.021576257422566414,0.02838650532066822,0.026049958541989326,0.0726398453116417,0.18205145001411438,0.23031748831272125,0.33380523324012756,0.6085849404335022,0.44029441475868225,0.2911992073059082,0.26089322566986084,0.10940267145633698,0.14149148762226105,0.13022711873054504,0.1775950789451599,0.3036058247089386,0.36521288752555847,0.21881268918514252,0.2855105996131897,0.46738940477371216,0.6182935237884521,0.7665536403656006,0.6973503232002258,0.7580509185791016,0.7941904664039612,0.8830880522727966,0.8429561257362366,0.8774054646492004,0.7872258424758911,0.8490161299705505,0.8315346240997314,0.7659370303153992,0.8260164856910706,0.8407707810401917,0.8401965498924255,0.8706467151641846,0.8085938096046448,0.7544898986816406,0.7598189115524292,0.874671995639801,0.876046895980835,0.8562543392181396,0.725739598274231,0.7051832675933838,0.850426435470581,0.8570502996444702,0.8169850707054138,0.8731116652488708,0.9299260377883911,0.9358569383621216,0.6360928416252136,0.7828002572059631
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.3865516848454718e-05,5.78296840103576e-06,1.286466886085691e-05,1.0175739589612931e-05,4.727179202745901e-06,1.83740758075146e-06,4.585528131428873e-06,5.0024564188788645e-06,7.3691749093995895e-06,8.720895493752323e-06,1.5381858247565106e-05,1.8702699890127406e-05,2.4857923563104123e-05,2.3413127564708702e-05,2.8494538128143176e-05,9.315640454587992e-06,1.433389843441546e-05,3.864700556732714e-05,3.055006163776852e-05,1.6318555935868062e-05,2.9306253054528497e-05,2.4229291739175096e-05,1.4342517715704162e-05,7.855996955186129e-06,2.163649241992971e-06,4.735647507914109e-06,2.7317687454342376e-06,7.153299065976171e-06,1.0180277968174778e-05,8.212165084842127e-06,7.941321200632956e-06,2.4923474484239705e-05,2.3222748495754786e-05,1.6017549569369294e-05,3.2921016099862754e-06,7.410118087136652e-06,4.5093938751961105e-06,1.1926404113182798e-05,4.572592843032908e-06,1.198884638142772e-05,1.649520345381461e-05,9.282446626457386e-06,7.558985089417547e-06,4.305907168600243e-06,7.423073839163408e-06,1.5182769857347012e-05,8.82674430613406e-06,3.656702392618172e-05,3.7783716834383085e-05,6.113403651397675e-05,7.567207649117336e-05,6.78911164868623e-05,4.568472286337055e-05,4.231732964399271e-05,8.004310075193644e-05,2.648184818099253e-05,5.3347714128904045e-05,9.3082882813178e-05,3.524413477862254e-05,4.3733703932957724e-05,7.132077735150233e-05,4.165848804404959e-05,1.4717171325173695e-05,2.4571440008003265e-05,2.2606001948588528e-05,3.3042790164472535e-05,2.785681681416463e-05,1.5248449926730245e-05,1.3848833077645395e-05,1.4084333088248968e-05,1.7479187590652145e-05,4.405880463309586e-05,9.262388630304486e-06,4.242658178554848e-06,1.196479206555523e-05,6.142299753264524e-06,8.088543836493045e-06,2.753929038590286e-06,3.8390353438444436e-06,1.6791369489510544e-05,0.023658061400055885,0.007474442012608051
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,7.536899374827044e-06,2.829977802321082e-06,3.1864574339124374e-06,1.8305389630768332e-06,2.197145931859268e-06,3.690776793519035e-06,2.2148760763229802e-06,6.959496658964781e-07,1.1298160416117753e-06,1.5570442428725073e-06,8.290596156257379e-07,1.5858117876632605e-06,1.4532765817421023e-06,1.941116806847276e-06,9.499837005932932e-07,3.828054559562588e-06,3.926591034542071e-06,1.9046869965677615e-06,5.9725807659560814e-06,3.5730386116483714e-06,5.2786713240493555e-06,6.4508958530495875e-06,4.756910493597388e-05,2.8403030228218995e-05,1.1000312952091917e-05,5.788233011116972e-06,5.573268936132081e-06,2.5471456410741666e-06,2.5730835773174476e-07,5.06985088577494e-07,1.0749216698968667e-06,2.9467078093148302e-06,5.31546038473607e-06,1.117707506637089e-05,1.7233420294360258e-05,3.8636803765257355e-06,2.8192118406877853e-05,0.17122577130794525,0.23764370381832123,0.20873290300369263,0.14318306744098663,0.33878621459007263,0.29414111375808716,0.38088786602020264,0.34711363911628723,0.9448099136352539,0.8787422776222229,0.8796001672744751,0.7879086136817932,0.8365622758865356,0.86395263671875,0.7608585953712463,0.6277085542678833,0.6511023044586182,0.6628685593605042,0.6114155650138855,0.6808651089668274,0.5578867197036743,0.3178357183933258,0.4610051214694977,0.35451146960258484,0.24917452037334442,0.24711786210536957,0.2551890015602112,0.3063504695892334,0.2626161277294159,0.3115589916706085,0.24259845912456512,0.15624931454658508,0.275867223739624,0.13485513627529144,0.09200374037027359,0.12990090250968933,0.12069529294967651,0.05634437873959541,0.054757844656705856,0.07284744828939438,0.1911623477935791,0.14578433334827423,0.6101627349853516,0.8373129367828369,0.9475685358047485
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.5034239595479448e-06,7.362127121268713e-07,7.554220360361796e-07,6.700879566778895e-07,3.645868673629593e-06,3.0494281872961437e-06,1.7245864000869915e-05,1.4765474588784855e-05,6.182625384099083e-06,5.225390395935392e-06,0.000139549738378264,0.00045943239820189774,0.00012263015378266573,0.00023399584461003542,0.00022559256467502564,7.042750803520903e-05,4.088754940312356e-05,7.915157766547054e-05,0.00011357194307493046,0.00020412523008417338,0.0008266989607363939,0.0005099524860270321,0.00134652282577008,0.0009766302537173033,0.00027387478621676564,4.044667730340734e-05,5.010657332604751e-05,5.189043440623209e-05,5.451293327496387e-05,5.895079084439203e-05,0.001447189599275589,0.0046738749369978905,0.001556695206090808,0.0011537058744579554,0.0009042028686963022,0.0018262240337207913,0.0009523711632937193,0.6175495386123657,0.31678321957588196,0.21523238718509674,0.23383940756320953,0.5831549167633057,0.44107645750045776,0.5514600276947021,0.5505135655403137,0.6598846912384033,0.552155613899231,0.554373562335968,0.6162667274475098,0.8036324977874756,0.8416256904602051,0.8291574716567993,0.837074875831604,0.7471328973770142,0.9628686308860779,0.9592401385307312,0.9364072680473328,0.9552897810935974,0.9567197561264038,0.9547444581985474,0.9739704728126526,0.9751341342926025,0.9714095592498779,0.9626391530036926,0.9753936529159546,0.9782916307449341,0.9877939224243164,0.9508588314056396,0.9612877368927002,0.9339317679405212,0.9670128226280212,0.9656471610069275,0.9639500975608826,0.8869549632072449,0.9504172801971436,0.9768685102462769,0.9715942740440369,0.7091002464294434,0.7961453199386597,0.9636799097061157,0.2082185000181198,0.7491705417633057
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.1265383363934234e-06,5.466914672069834e-07,2.4976045551738935e-06,5.437972959043691e-06,1.3366684470383916e-05,2.7012802092940547e-06,5.6284916354343295e-06,2.6996108317689504e-06,2.5419863050046843e-06,3.3001135761878686e-06,3.0204014365153853e-06,5.678307843481889e-06,1.881137109194242e-06,1.6257628203675267e-06,2.867296871045255e-06,8.772571163717657e-06,6.3983738982642535e-06,1.4198686585586984e-05,0.00010425685468362644,7.678539986955002e-05,4.788208025274798e-05,0.00010186015424551442,0.000391646521165967,0.0008259348105639219,0.0011584445601329207,0.0010190228931605816,0.0008964272565208375,0.0004987209686078131,0.0006498298607766628,0.0002806184929795563,0.0010520685464143753,0.0009443874005228281,0.0009539516177028418,0.004567153286188841,0.004986559972167015,0.01195860467851162,0.010937456972897053,0.024396123364567757,0.010903657414019108,0.015509531833231449,0.0070023383013904095,0.06356727331876755,0.06565087288618088,0.052362944930791855,0.044266313314437866,0.11186953634023666,0.11207597702741623,0.1944384127855301,0.19965451955795288,0.2679811120033264,0.2869253158569336,0.37438997626304626,0.26728931069374084,0.2228606790304184,0.3013896644115448,0.31269368529319763,0.4414534568786621,0.4363275468349457,0.4567347466945648,0.5118009448051453,0.6124894022941589,0.6523290276527405,0.5675870180130005,0.818943977355957,0.8709790110588074,0.9106611609458923,0.8505187630653381,0.8819876909255981,0.8163672089576721,0.8729045391082764,0.8664791584014893,0.9282674193382263,0.8405779600143433,0.8559717535972595,0.8708210587501526,0.8850997090339661,0.8572333455085754,0.9486331939697266,0.9676603674888611,0.9726417660713196,0.9951085448265076,0.9965139031410217
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,3.7833746091564535e-07,8.673607680975692e-07,1.819753265408508e-06,1.8005898709816393e-06,3.2036980428529205e-06,1.9590602278185543e-06,4.199676368443761e-06,4.412786438479088e-06,4.833045295526972e-06,7.5718639891420025e-06,1.5207293472485617e-05,8.088636604952626e-06,1.2021597285638563e-05,4.107306267542299e-06,1.075616182788508e-06,3.6035698940395378e-06,2.5623321562306955e-06,1.4020005210113595e-06,4.281660039850976e-06,9.714804946270306e-06,2.1912839656579308e-05,0.00011500904656713828,0.00018096192798111588,0.00027489769854582846,8.371030708076432e-05,5.897692244616337e-05,6.606279930565506e-05,0.0001509187277406454,0.00012326505384407938,8.985849854070693e-05,6.269971345318481e-05,8.189358050003648e-05,4.054985038237646e-05,3.0713745218236e-05,1.0945258509309497e-05,8.12942107586423e-06,1.9591961972764693e-05,6.304092676145956e-05,8.530989725841209e-05,7.743025344097987e-05,0.00012718053767457604,0.00040543556679040194,0.0004651713534258306,0.0010303512681275606,0.006592544727027416,0.006788511294871569,0.0128021240234375,0.01238011009991169,0.0250967126339674,0.01518550980836153,0.08761389553546906,0.03732888400554657,0.05454213172197342,0.04263170063495636,0.072454534471035,0.15668004751205444,0.20056334137916565,0.06770723313093185,0.02673453837633133,0.07909814268350601,0.057005055248737335,0.19210092723369598,0.26476484537124634,0.35041674971580505,0.20376341044902802,0.044876229017972946,0.16190390288829803,0.0038471068255603313,0.007337657734751701,0.013002989813685417,0.014760253950953484,0.021735385060310364,0.01288843248039484,0.04573146626353264,0.13036030530929565,0.1787937879562378,0.15213534235954285,0.09425685554742813,0.29089000821113586,0.37244558334350586,0.954092800617218,0.945635199546814
