Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.349797639704775e-05,0.00013055751333013177,0.0001096930936910212,1.994110061787069e-05,8.05311447038548e-06,5.344402779883239e-06,0.0001218655816046521,7.52717605791986e-05,1.1251555406488478e-05,0.000245120347244665,0.00010414368443889543,5.533602961804718e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.2231030015973374e-05,9.09829282136343e-07,1.512262883807125e-06,5.3597965177232254e-08,6.587667217283766e-11,1.5638565997733167e-09,3.2200155875017344e-09,1.9267908157871716e-08,2.526663678281693e-08,5.690586135642661e-07,1.893596568436351e-08,2.4347388105638856e-08,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.225424006814137e-05,3.253669638070278e-05,2.678014243429061e-05,1.0613038284645882e-05,7.791110760990705e-07,2.433525594369712e-07,2.0691631164027058e-07,5.871161334880526e-08,7.566399631286913e-07,1.4587355963158188e-06,4.6903902983785883e-08,6.937980145949041e-08,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,1.8658218323253095e-05,1.9389091903576627e-05,5.415095074567944e-07,3.0226678973122034e-06,1.6185446156669059e-06,7.48339743950055e-07,1.2268906175449956e-05,4.7539720981149e-05,1.6866196119735832e-06,9.784980647964403e-07,3.7435754052239645e-07,6.30297805059854e-08,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,7.27191218174994e-05,5.30614925082773e-05,3.8757345464546233e-05,5.024283382226713e-05,6.354893412208185e-05,0.00023664053878746927,0.00030161309405229986,0.00012386661546770483,1.1044946404581424e-05,2.387141194049036e-06,5.376810804591514e-06,5.359305760066491e-06,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,1.8783819541567937e-05,8.73211829457432e-05,6.529955135192722e-05,1.8267432096763514e-05,1.2238316230650526e-05,4.1135963328997605e-06,7.143714242374699e-07,1.1442728009569691e-07,1.3847659374732757e-07,8.299717535464879e-08,5.54562229471145e-10,5.245899825645495e-10,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,9.571372174832504e-06,9.245116416423116e-06,2.437933744658949e-06,2.284566789967357e-06,7.760874609630264e-08,9.389586885788503e-10,1.6305937933225323e-08,7.071075495967971e-12,5.337491733314881e-12,1.7005846600706698e-15,7.351955958086187e-13,4.154665327049667e-12,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,6.774724170099944e-05,4.3515570723684505e-05,1.498323672421975e-05,2.0134135411353782e-05,6.704228781018173e-06,3.8192174542928115e-06,4.7197527237585746e-06,3.4066906096086313e-07,1.3835842764819972e-06,2.5081947114813374e-06,1.6642002265143674e-06,5.8937962421623524e-06,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,1.2427736919562449e-06,1.616652525626705e-06,7.43461114893762e-09,4.6541224207885534e-08,1.0837656105877613e-07,1.7683210273844452e-07,3.0792937644186225e-10,3.840381485042954e-11,2.363189288354106e-12,3.0687544593783334e-18,2.3442145078975085e-21,1.175063516678662e-18,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.00121048692381e-05,9.15480632102117e-06,4.453218480193755e-06,7.172080586315133e-06,1.8166978406952694e-05,3.932598701794632e-05,0.00017319050675723702,1.009464540402405e-05,8.11333939054748e-06,1.4003444448462687e-05,1.1979603186773602e-05,2.1490025403636537e-07,4.707958964900172e-07,1.0843669770110864e-05
10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,1.137554136221297e-06,4.947635534335859e-05,6.01402962274733e-06,1.9063450963585638e-05,1.5065695151861291e-05,8.69219729793258e-06,2.6612955480231903e-05,5.069179678685032e-06,4.888037437922321e-06,1.637612143667866e-07,2.0538308831419272e-08,1.1351333206732761e-08,0.0001903028169181198,4.937221092404798e-05
11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla, Rome,1.2214729395054746e-05,4.509000791586004e-05,2.9159741643525194e-06,7.523345175286522e-06,3.388396726222709e-05,7.677761459490284e-06,2.352795490878634e-06,4.370664896669041e-07,1.4785440782816295e-07,2.1464064047904685e-05,6.57560522085987e-05,7.53661006456241e-05,3.4326938475714996e-05,7.732910307822749e-05
12,The place of birth of Fernando Di Leo is,The place of birth of the director of Mister Scarface is,Fernando Di Leo,the director of Mister Scarface, San Ferdinando di Puglia,3.227541674277745e-05,8.801141666481271e-05,2.551735087763518e-05,2.403205871814862e-05,1.636846354813315e-05,4.738958978123264e-06,2.1754688077635365e-06,1.5268642528099008e-05,4.080351118318504e-06,9.639798918215092e-06,4.2392348404973745e-05,6.068384027457796e-05,5.710366531275213e-05,0.00018027036276180297
13,The employer of Éric Rohmer is,The employer of the director of Love in the Afternoon is,Éric Rohmer,the director of Love in the Afternoon, Cahiers du cinéma,2.0665924239438027e-05,7.869218279665802e-06,9.854901691142004e-06,0.000545017363037914,2.02419232664397e-05,0.0001782778708729893,9.935246634995565e-05,1.70952425833093e-05,7.24271785657038e-06,1.5594565638821223e-06,2.2519905087392544e-06,1.010864014716617e-08,8.476534389956214e-07,1.0843669770110864e-05
14,The date of death of Sergei Eisenstein is,The date of death of the director of The General Line is,Sergei Eisenstein,the director of The General Line, 11 February 1948,1.042939970830048e-06,4.5583865357912146e-06,5.3085991567058954e-06,3.83927954317187e-06,1.2008592875645263e-06,7.753244517516578e-07,9.314607609667291e-07,7.961518349475227e-06,2.840725528585608e-06,1.2783199963450897e-05,1.784925302672491e-06,6.342332170561349e-08,0.002522627590224147,0.0007949296268634498
15,The cause of death of Philippa of Hainault is,The cause of death of the mother of Joan of England is,Philippa of Hainault,the mother of Joan of England, edema,8.696102668181993e-06,5.259583303995896e-06,6.705670784867834e-06,1.5142648408073e-05,1.0290308637195267e-05,3.642720912466757e-06,6.611622325181088e-07,4.9785078282127415e-09,3.2720401943464594e-09,6.328670565380889e-07,2.4788917585283343e-07,1.7945764341220638e-07,4.664736934500979e-06,5.212684300204273e-06
16,The place of death of Adolf IV of Berg is,The place of death of the father of Count Engelbert I of Berg is,Adolf IV of Berg,the father of Count Engelbert I of Berg, Altenberg,9.568967470841017e-06,3.540441412042128e-06,3.4978579606104176e-06,3.1056888474267907e-06,5.251349648460746e-06,6.302143901848467e-06,5.889298790862085e-06,4.493298547458835e-06,8.913966667023487e-06,4.066249312018044e-05,3.284369086031802e-05,7.762616587569937e-05,0.00011316976451780647,0.0001679572742432356
