Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,6.539327841892373e-06,1.8031263607554138e-05,1.1427416211517993e-05,2.2576043193112127e-05,2.2655425709672272e-05,2.7256281100562774e-05,2.046325789706316e-05,1.981263267225586e-05,3.5384426155360416e-05,5.601227894658223e-05,7.10934546077624e-05,5.430324381450191e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,9.841122846410144e-06,1.835080183809623e-05,2.0865583792328835e-05,2.2416146748582833e-05,7.038791954983026e-05,4.333100514486432e-05,0.00012456279364414513,6.937690341146663e-05,5.060141847934574e-05,8.848604193190113e-05,8.040789543883875e-05,3.489639493636787e-05,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.484784610918723e-05,3.4813539969036356e-05,5.247057561064139e-05,6.909882358741015e-05,0.00011684749915730208,0.00022191742027644068,0.00013502317597158253,0.00016697989485692233,0.0003118816821370274,0.000542685214895755,0.0005596135160885751,0.0005134135717526078,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.1649682821589522e-05,7.896766328485683e-05,6.981870683375746e-05,7.712706428719684e-05,0.0001038240225170739,0.00011599785648286343,0.00010804276098497212,0.00013908033724874258,5.159098145668395e-05,4.827652082894929e-05,2.4760634914855473e-05,1.7088770619011484e-05,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,7.0064706960693e-05,8.040208922466263e-05,8.203331526601687e-05,9.44912972045131e-05,0.0001295611436944455,0.00038058345671743155,0.00017689091328065842,0.00033136975253000855,0.0002810308651532978,0.0002670389076229185,0.0003184519591741264,0.00023871444864198565,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,3.261199890403077e-05,3.413866215851158e-05,5.2046565542696044e-05,7.035063754301518e-05,8.907383016776294e-05,0.00021242586080916226,0.00019040810002479702,0.00013481987116392702,0.0002886143047362566,0.00043143366929143667,0.0004736899572890252,0.0005885382415726781,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,7.793086297169793e-06,2.566729199315887e-05,1.6814437913126312e-05,2.513927211111877e-05,4.846717638429254e-05,4.959521538694389e-05,3.651613587862812e-05,7.152520265663043e-05,1.6028800018830225e-05,8.525578596163541e-05,4.1689792851684615e-05,2.9231086955405772e-05,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.580416912678629e-05,4.1558712837286294e-05,3.4398628486087546e-05,5.416831118054688e-05,2.8148684577899985e-05,1.8709866708377376e-05,8.496228474541567e-06,2.7786396458395757e-05,1.7317815945716575e-05,4.70690501970239e-05,4.0645114495418966e-05,4.8876518121687695e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,1.9587141650845297e-05,4.0871364035410807e-05,4.127135980525054e-05,4.121885649510659e-05,2.4341688913409598e-05,2.494932232366409e-05,4.673048169934191e-05,6.56626361887902e-05,6.35933902231045e-05,0.00039452381315641105,0.0014609354548156261,0.0017852787859737873,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.0524917999864556e-05,3.9658880268689245e-05,4.644517321139574e-05,3.3651642297627404e-05,2.458601193211507e-05,4.738368807011284e-05,2.7943946406594478e-05,8.806951882434078e-06,3.1668423616793007e-06,2.905642304540379e-06,1.4890109696352738e-06,1.4172396731737535e-06,4.707958964900172e-07,1.0843669770110864e-05
