explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.00012702590902335942,4.261693175067194e-05,1.6274767403956503e-05,8.133307346724905e-06,2.403226517344592e-06,6.688586836389732e-06,1.1180281035194639e-05,1.7176598703372292e-05,1.2566761142807081e-05,0.00039073394145816565,0.004450933076441288,0.0495467446744442,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0003016043920069933,0.0009946970967575908,0.0025408139917999506,0.0006544828065671027,0.00037396280094981194,0.0007492193835787475,0.00023087591398507357,0.0012274975888431072,0.0020228868816047907,0.00880409125238657,0.016071854159235954,0.02851254492998123,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.00042465521255508065,0.0003954412823077291,0.00046335667138919234,0.0014386647380888462,0.0020409119315445423,0.00791918020695448,0.0023571965284645557,0.008953860960900784,0.01023736223578453,0.08746136724948883,0.03251870721578598,0.020641807466745377,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.000391108391340822,0.0004199927789159119,0.000488217017846182,0.0010231469059363008,0.0010265492601320148,0.0006297345971688628,0.0008448033477179706,0.0006503573968075216,0.0004092034650966525,0.00039072713116183877,0.0003347150341141969,0.0002508642210159451,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,8.274816354969516e-05,0.0004530223086476326,0.0007694283267483115,0.0004564301925711334,0.0005591605440713465,0.0011059099342674017,0.0007135039777494967,0.00397802609950304,0.04357854276895523,0.11794455349445343,0.17899149656295776,0.2962467670440674,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.0002649561211001128,0.0005873771733604372,0.0016769742360338569,0.009110063314437866,0.00878506526350975,0.008749413304030895,0.00939846970140934,0.015302824787795544,0.062129706144332886,0.0553380586206913,0.14284366369247437,0.06951159238815308,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,6.177816430863459e-06,2.784518756016041e-06,8.116096978483256e-06,1.112218524212949e-05,8.585041541664395e-06,3.410705630813027e-06,2.551509396653273e-06,4.991949936083984e-06,0.00012527294165920466,0.0010738661512732506,0.0008341990178450942,7.887595711508766e-05,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.0002032205811701715,0.0003927749930880964,0.0006300051463767886,0.0015306108398362994,0.0005067390156909823,0.0008811827283352613,0.0005282123456709087,0.001460573053918779,0.002388525754213333,0.014682093635201454,0.0005502277053892612,0.002686481224372983,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,5.203005002840655e-06,2.506288183212746e-05,2.4203491193475202e-05,3.5252920497441664e-05,0.00018407934112474322,0.00034883394255302846,0.010397504083812237,0.01183813251554966,0.24664907157421112,0.6703027486801147,0.9696775674819946,0.9773730039596558,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.0005895731737837195,0.003942195791751146,0.0015843453584238887,0.004611359443515539,0.001659009954892099,0.0016100613866001368,0.002225284930318594,0.004006289876997471,0.020626060664653778,0.06611529737710953,0.06223178654909134,0.05964554473757744,0.100090391933918,0.14716646075248718
