explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,3.340568218845874e-05,2.8178686761748395e-07,4.731640274258098e-06,6.605213087595985e-08,5.489821486293067e-09,5.982902280265989e-07,1.8036990923064877e-07,2.8338342872302746e-07,2.700618573214797e-08,1.6910138356251991e-06,0.00013415879220701754,4.8919388063950464e-05,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,7.023652415227843e-07,2.1612138880300336e-05,0.0012758704833686352,0.00014738105528522283,1.1347492545610294e-05,3.9105732867028564e-05,1.197079927806044e-05,0.00021699121862184256,0.0005287163658067584,0.0029106473084539175,0.008777939714491367,0.012914234772324562,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.0003891504311468452,0.0021066062618047,0.0009394008084200323,0.00111146189738065,0.0015844672452658415,0.00014363497029989958,6.354054494295269e-05,0.0002926295856013894,0.00019141055236104876,0.0042780363000929356,0.00039053172804415226,0.0001215503943967633,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,8.406577762798406e-06,2.1954354451736435e-05,0.00037655545747838914,0.0009230757714249194,0.0010944758541882038,0.00025097152683883905,0.00010030940757133067,2.9403923690551892e-05,4.491169238463044e-05,9.949160357791698e-07,1.5208686363621382e-06,4.352929572348785e-09,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.00013222976122051477,0.0001134746999014169,0.0005401246598921716,0.00019111594883725047,5.596560367848724e-05,4.680166603066027e-05,2.366815897403285e-05,0.00042895323713310063,0.00040106207598000765,0.0006433446542359889,0.0014598158886656165,0.003785492852330208,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.3663039908351493e-06,4.416481533553451e-05,0.00041404078365303576,0.0029785253573209047,0.0026401043869554996,0.0014017432695254683,0.0005713154096156359,0.0004920793580822647,0.0056261662393808365,0.0007025142549537122,0.014808344654738903,0.0009059454896487296,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,7.711334859550334e-08,7.617050101771383e-09,7.269729707104489e-08,1.914219183163368e-08,6.913421088938776e-07,2.362866347027648e-08,1.0893400070877135e-10,1.226920787189556e-10,8.808937934645655e-08,1.1778979569498915e-06,4.0640095733124326e-08,1.4826077032736862e-09,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,5.319973934092559e-05,0.00010178374941460788,0.0003095613210462034,0.001821225741878152,0.0005681318580172956,0.00011505067232064903,8.993953815661371e-05,0.000126460479805246,6.579676119145006e-05,0.0014117505634203553,2.8316654265836405e-07,2.7434380172053352e-05,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,8.147092671606515e-07,8.528299986210186e-06,1.3569078873842955e-05,2.3677561330259778e-05,0.00013723420852329582,0.00013332770322449505,0.009981787763535976,0.0038351090624928474,0.04999001324176788,0.5343319773674011,0.04220288246870041,0.00039589611697010696,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,3.0994815460871905e-05,0.0023844046518206596,0.0003554761642590165,0.0006986150401644409,0.00021692595328204334,7.055438618408516e-05,0.00011151212675031275,3.73347029380966e-05,6.637260958086699e-05,1.5006958165031392e-05,2.0162722194072558e-06,0.00012231041910126805,0.100090391933918,0.14716646075248718
