explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,6.5235481088166125e-06,1.1397601156204473e-06,2.8631788154598325e-05,7.574206392746419e-06,3.358550384291448e-05,1.5247594092215877e-05,5.609948061646719e-07,7.042071047180798e-06,2.724733803916024e-06,1.8534490209276555e-06,1.0653247954905964e-06,6.201999553923088e-07,1.1854296644742135e-05,7.3944247560575604e-06,5.979804313938075e-07,1.8918744899565354e-06,2.559653012212948e-06,4.362402421520528e-07,1.1297252058284357e-05,5.274247450870462e-05,8.483764759148471e-06,8.235710993176326e-05,4.821677794097923e-05,0.000421274482505396,0.0005653409170918167,0.00022532771981786937,0.00010763548198156059,5.565418177866377e-05,4.7195506340358406e-05,1.7993747292166518e-07,2.460872110532364e-07,3.142261846278416e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.000551324337720871,3.3137919672299176e-05,2.5743318474269472e-05,0.00037729626637883484,6.400360143743455e-05,6.415916868718341e-05,5.2283008699305356e-05,8.153858652804047e-05,1.6333143548763474e-06,4.439877375261858e-05,6.115595897426829e-05,2.9126547360647237e-06,5.632592547044624e-06,2.152992965420708e-05,4.983087819709908e-06,1.8772445855574915e-06,9.418977242603432e-06,3.1949766707839444e-05,3.9960082176548894e-06,0.00013625154679175466,0.0006548255332745612,0.001269207801669836,0.00035434970050118864,0.0005394401377998292,0.00021252493024803698,0.19629879295825958,0.040346287190914154,0.002401195466518402,0.0002793741296045482,0.0012389447074383497,2.055265758826863e-05,3.6980250115448143e-06,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.3776556190568954e-06,4.363439074950293e-06,9.737259460962377e-06,2.1200833089096704e-06,2.447505266900407e-06,1.4940447954359115e-06,2.4763785404502414e-06,6.012676294631092e-07,1.0608879819073991e-07,5.136949994266615e-07,2.1673176320291532e-07,1.2391130894684466e-06,1.2091829830751522e-06,2.2991056539467536e-05,6.392346404027194e-05,0.0006020151195116341,0.3994588553905487,0.2717460095882416,0.03289242461323738,0.09852966666221619,0.5538671612739563,0.665581464767456,0.24056455492973328,0.2831999659538269,0.14968061447143555,0.025575147941708565,0.006866107229143381,0.038418449461460114,0.013365252874791622,0.0023551268968731165,0.0013595641357824206,0.0016203692648559809,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00019864448404405266,0.00025709017063491046,1.5283125094356365e-06,1.9119179341942072e-05,2.201938409385207e-09,1.199436212573346e-07,4.526581562913634e-07,1.591714493542895e-08,4.0376949073106516e-07,2.414160371699836e-05,1.8528446162235923e-05,3.470906335678592e-07,2.580871750978986e-06,1.943893494171789e-06,2.3318709281738847e-05,2.3210355720948428e-05,2.996032708324492e-05,3.33300449710805e-05,3.177266989951022e-05,0.00016295544628519565,0.0052448054775595665,0.006086994428187609,0.01019589975476265,0.01383114606142044,0.3274199068546295,0.9353566765785217,0.8304666876792908,0.501782238483429,0.3313317894935608,0.02145347185432911,0.2260436713695526,0.010373209603130817,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,7.267330602189759e-06,0.00021500994625966996,0.00011172664380865172,3.638969064923003e-05,3.564924554666504e-05,2.818078974087257e-05,1.1241083484492265e-05,1.0081832897412824e-06,1.4298520909505896e-05,4.94942105433438e-06,7.5054799708595965e-06,9.857159966486506e-06,3.074574578931788e-06,7.262500275828643e-06,2.164186980735394e-06,1.4323475625133142e-05,0.0011933526257053018,0.00042942858999595046,0.001610965351574123,0.19229865074157715,0.03317679464817047,0.015168691985309124,0.004428537096828222,0.004424926824867725,0.09193664789199829,0.09404745697975159,0.16421891748905182,0.12045757472515106,0.27255046367645264,0.15575316548347473,0.022478066384792328,0.10460972785949707,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,2.619113183754962e-05,1.0552290405030362e-05,1.9964543298556237e-06,1.6120474128911155e-06,1.1063655591669885e-07,7.765985543528586e-08,1.6059905760812399e-07,2.1933146854280494e-06,6.608611329284031e-07,5.052353913015395e-07,6.321607202153245e-07,7.508430144298472e-07,3.549769644450862e-06,5.2625296120822895e-06,7.02328634361038e-07,2.451430702876678e-07,8.163277698258753e-07,2.698386651900364e-07,8.071140200627269e-07,1.2195236195111647e-05,3.348188693053089e-05,2.5732726498972625e-05,0.00015873226220719516,6.872634548926726e-05,0.00023490379680879414,1.8202861610916443e-05,3.278026997577399e-05,4.579442975227721e-05,3.1579660571878776e-05,8.942195563577116e-06,1.971650817722548e-06,2.907590669565252e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,2.543765731388703e-06,2.3967639208422042e-05,1.5027729205030482e-05,6.949776434339583e-07,8.751567293074913e-07,1.5607317891408456e-06,1.3612542488772306e-06,1.2760451681970153e-06,1.3961774811832584e-06,7.794971679686569e-06,9.660559953772463e-06,8.845780030242167e-06,6.298608241195325e-06,6.473327630374115e-06,1.1906073268619366e-05,1.7262560504605062e-05,0.0008748152758926153,0.00023436911578755826,0.007332583889365196,0.038828399032354355,0.07047362625598907,0.07164933532476425,0.022819049656391144,0.058616477996110916,0.0010754509130492806,0.0009357695817016065,0.0013555105542764068,0.00020436450722627342,0.0022449051029980183,0.01737559400498867,0.007747881580144167,0.06563402712345123,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,7.296644980669953e-06,0.00010160098463529721,5.9400623285910115e-05,4.922019343212014e-06,1.0527155609452166e-05,4.722912490251474e-05,1.542474933557969e-06,3.643613126769196e-07,8.252850847156878e-08,1.868048258302224e-07,4.216520210320596e-06,5.723762228626583e-07,1.5708017997440038e-07,2.9800156653436716e-07,9.125245128416282e-07,1.1964521036134101e-05,0.0002211579994764179,0.0008291464764624834,0.0026377933099865913,0.005094354506582022,0.020388871431350708,0.019011186435818672,0.038191281259059906,0.06419472396373749,0.34218746423721313,0.654298722743988,0.8274942636489868,0.4077848792076111,0.28727462887763977,0.6768471002578735,0.11905750632286072,0.1488291323184967,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.0478704098204616e-05,8.748406798986252e-06,4.032313881907612e-06,1.1340604032739066e-05,3.8984385355433915e-06,9.032286470755935e-06,2.4970614731500973e-07,6.2228568822320085e-06,5.5209216952789575e-05,2.9444760002661496e-05,0.00024322718672920018,0.00010949951683869585,0.00010544306132942438,0.0003470488591119647,0.0007342233438976109,0.0002852174511644989,4.6867469791322947e-05,8.596282714279369e-05,0.0026883904356509447,0.01692868024110794,0.1583949476480484,0.14360502362251282,0.046222325414419174,0.09187470376491547,0.11680712550878525,0.14578846096992493,0.17882923781871796,0.16929447650909424,0.5545194149017334,0.8081535696983337,0.8019448518753052,0.5039693713188171,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,2.50964660608588e-07,1.7588222078757099e-07,8.106594577839132e-07,3.0820433494227473e-06,1.9679360775626265e-05,4.235774395056069e-05,1.0966022273350973e-05,5.971049176878296e-06,8.82138976976421e-07,1.5092206240296946e-06,6.029203177604359e-06,3.929957529180683e-06,4.191707375866827e-06,6.0715801737387665e-06,1.3772067859463277e-06,9.476570994593203e-06,6.646603287663311e-05,1.648724173719529e-05,7.150782766984776e-05,0.0001782197505235672,4.835860090679489e-05,2.753405897237826e-05,1.7576787286088802e-05,3.219129212084226e-05,3.475910853012465e-05,0.00019603167311288416,0.0008534956723451614,0.003832570044323802,0.009856274351477623,0.03114430233836174,0.056334663182497025,0.07826180756092072,0.9786726832389832,0.9694126844406128
