explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,2.7561345632420853e-05,1.1679778708639788e-06,1.55369834828889e-05,5.514647000381956e-06,3.175512028974481e-05,1.510762649559183e-05,1.471086648052733e-06,1.2282209354452789e-05,8.901715773390606e-06,2.932705683633685e-06,1.9380456706130644e-06,9.395726010552607e-07,1.2275129847694188e-05,6.939543709449936e-06,3.8843742800054315e-07,1.3586632121587172e-06,3.872370143653825e-06,6.813036748098966e-07,1.9017679733224213e-05,5.9984406107105315e-05,1.4314870895759668e-05,7.388206722680479e-05,0.00011424547847127542,0.0004513428721111268,0.0007377389702014625,0.00014517293311655521,0.00018518806609790772,0.0002798362111207098,0.00025849128724075854,1.4936764500816935e-06,7.506061479034543e-07,1.2108409919164842e-06,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.6322653613751754e-05,2.180906221838086e-06,4.479913513932843e-06,3.778004975174554e-05,3.0291286748251878e-05,6.730754648742732e-06,8.667272595630493e-06,3.500345701468177e-05,3.819649464276154e-06,6.125717391114449e-06,1.3170829333830625e-05,2.3476247861253796e-06,1.9705369140865514e-06,1.559262818773277e-05,2.9406382964225486e-06,5.9869157666980755e-06,3.6914152587996796e-06,6.254135314520681e-06,1.8616985926200869e-06,4.8181180318351835e-05,0.0002339931088499725,0.0008239466696977615,0.0002094712690450251,0.0006976104341447353,0.00037045119097456336,0.6165956258773804,0.17856813967227936,0.009419036097824574,0.0015224264934659004,0.0014954356011003256,5.48542921023909e-05,1.4377126717590727e-05,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,1.043148245116754e-06,2.163955059586442e-06,8.024306225706823e-06,7.454435035469942e-06,1.974687393158092e-06,6.788490622966492e-07,7.477910457964754e-06,1.0489679880265612e-06,2.252004946967645e-07,4.53732781124927e-07,1.9462616762666585e-07,2.486588641659182e-07,2.9687933533750765e-07,2.065822627628222e-06,1.281327786273323e-05,0.00011743969662347808,0.10670800507068634,0.01621844805777073,0.004256127867847681,0.014904003590345383,0.26212888956069946,0.5953119397163391,0.3988817632198334,0.17096436023712158,0.0899723693728447,0.04396665841341019,0.008328846655786037,0.037135954946279526,0.028457671403884888,0.0058541810140013695,0.0035145797301083803,0.001358413603156805,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.782571962394286e-05,1.7096450392273255e-05,4.0825324276738684e-07,1.3920514447818277e-06,3.2816243056288386e-09,1.2851380404299562e-07,3.9673778928772663e-07,3.0448582322151196e-08,5.984661584079731e-07,1.452688252356893e-06,4.046280082548037e-06,2.479159775248263e-07,1.517338660050882e-06,1.8862289152821177e-07,1.4805849559706985e-06,8.230528692365624e-06,5.433159003587207e-06,1.405190323566785e-05,1.1262818588875234e-05,3.7762903957627714e-05,0.0006751628243364394,0.0019293520599603653,0.03198312595486641,0.0352201983332634,0.35808315873146057,0.9030923247337341,0.9432181715965271,0.7698254585266113,0.7137343287467957,0.1040184423327446,0.32607781887054443,0.0846523717045784,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.0863806892302819e-05,6.83962571201846e-05,0.00010221414413535967,1.9620409148046747e-05,4.7125158744165674e-05,5.63946969123208e-06,1.7491190646978794e-06,6.447331202252826e-07,8.801453077467158e-06,2.1648038455168717e-06,1.8484564634491107e-06,2.9141924642317463e-06,1.659891950112069e-06,6.017214218445588e-06,6.942344157323532e-07,7.17052489562775e-06,0.0006398974801413715,0.00030015959055162966,0.002245082752779126,0.15827946364879608,0.04522806033492088,0.021026449277997017,0.006183830089867115,0.011394059285521507,0.11702804267406464,0.09467336535453796,0.21934688091278076,0.1711432784795761,0.19765982031822205,0.3568958044052124,0.07818204909563065,0.1728769838809967,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,2.2549647837877274e-05,8.268028977909125e-06,4.1284997678303625e-06,4.272163096175063e-06,8.162626841112797e-08,5.052080354062127e-08,1.0420173168768088e-07,2.728564368226216e-06,1.3721531786359265e-06,4.249983760473697e-07,2.3087575300451135e-06,2.337174720423718e-07,2.172835820601904e-06,4.6924365051381756e-06,1.2804189282178413e-06,9.530234024168749e-07,2.7727842280000914e-06,5.240872269496322e-07,2.2490378341899486e-06,1.1672396794892848e-05,7.269359048223123e-05,0.00010346485942136496,0.00038779625901952386,0.00019517492910381407,0.0002667146036401391,2.444326673867181e-05,4.20910473621916e-05,3.501461833366193e-05,2.9139278922230005e-05,6.8846716203552205e-06,2.5072733933484415e-06,8.3357308540144e-06,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,6.701591701130383e-06,2.2051899577490985e-05,1.5350902685895562e-05,1.4337011862153304e-06,2.0587378912750864e-06,3.866447059408529e-06,3.1822848995943787e-06,7.439236924255965e-07,3.3839658044598764e-06,9.424582458450459e-06,9.31671183934668e-06,5.553045866690809e-06,9.44906787481159e-06,3.8696439332852606e-06,1.2302619325055275e-05,1.776370481820777e-05,0.0008555262465961277,0.00021826477313879877,0.002868524519726634,0.047574568539857864,0.11189477145671844,0.07694203406572342,0.05916040763258934,0.05705859139561653,0.0025269361212849617,0.0023568824399262667,0.0031326215248554945,0.0007430923287756741,0.004069218412041664,0.028794951736927032,0.033374182879924774,0.15083472430706024,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.4536357411998324e-05,7.038092007860541e-05,5.162493835086934e-05,1.7600659703020938e-05,1.6862046322785318e-05,6.601410132134333e-05,4.676280241255881e-06,2.61749119090382e-06,8.891591960491496e-07,1.9692288333317265e-07,3.4789516121236375e-06,1.4033070101504563e-06,3.984804948231613e-07,2.516433994514955e-07,1.352101435259101e-06,6.467064395110356e-06,0.0006147438543848693,0.002469416707754135,0.0009229280985891819,0.004718021024018526,0.021185217425227165,0.011356137692928314,0.05997627601027489,0.030045822262763977,0.5131739377975464,0.7497801780700684,0.8524936437606812,0.6308682560920715,0.5948328375816345,0.7425941824913025,0.49318456649780273,0.20444785058498383,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,4.089719368494116e-06,2.6033480935439e-06,2.446406824674341e-06,4.59187731394195e-06,1.8174791875935625e-06,6.604967893508729e-06,3.503256209569372e-07,4.268285010766704e-06,3.3253792935283855e-05,2.6766416340251453e-05,0.00015480135334655643,6.701947131659836e-05,4.4052532757632434e-05,3.895170448231511e-05,7.181375985965133e-05,5.7105495216092095e-05,1.9824043192784302e-05,2.3557438908028416e-05,0.0008739860495552421,0.006590412929654121,0.2730211019515991,0.22216640412807465,0.13897116482257843,0.2891700863838196,0.152720108628273,0.1699526309967041,0.2192019671201706,0.2880271077156067,0.4030400514602661,0.6539560556411743,0.7655540704727173,0.285154789686203,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.1956866501350305e-06,1.6124225794555969e-06,3.772969648707658e-06,1.941544496730785e-06,8.424721272604074e-06,3.268268483225256e-05,1.0752223715826403e-05,1.2286724995647091e-05,1.7267005887333653e-06,2.8563606520037865e-06,1.081318077922333e-05,5.359976057661697e-06,5.596521987172309e-06,6.349565865093609e-06,1.1001500297425082e-06,8.047097253438551e-06,0.0001063607051037252,4.061556319356896e-05,9.907555795507506e-05,0.0002762152289506048,9.741973190102726e-05,6.26111650490202e-05,3.357801688252948e-05,7.881371129769832e-05,0.0001305292680626735,0.0008019274682737887,0.006228343117982149,0.02666579931974411,0.04227752611041069,0.08110451698303223,0.0656471848487854,0.20515896379947662,0.9786726832389832,0.9694126844406128
