explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,4.203942808089778e-06,1.1243914741498884e-06,7.210497642518021e-06,7.927164006105158e-06,8.178997632057872e-06,1.2302500181249343e-05,4.79375448776409e-05,6.73684844514355e-05,3.967924203607254e-05,1.6940703062573448e-05,5.274361319607124e-05,3.8411730201914907e-05,3.752357224584557e-05,0.00010427719098515809,0.00011765082308556885,0.00032521862885914743,0.0016762526938691735,0.0012819406110793352,0.015858298167586327,0.021611643955111504,0.004384362138807774,0.002224957337602973,0.008367098867893219,0.03476893901824951,0.24986125528812408,0.1011609137058258,0.31417858600616455,0.6594811081886292,0.2982438802719116,0.3699495196342468,0.07544837146997452,0.16061626374721527,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,1.5620296835550107e-05,1.0262622708978597e-05,3.433648817008361e-05,2.377572855039034e-05,9.706139280751813e-06,5.387044893723214e-06,1.3964979189040605e-05,1.4852877939119935e-05,6.957003643037751e-05,0.00012417868128977716,0.00021200360788498074,0.00035509091685526073,6.220714567461982e-05,0.00011754740989999846,0.00011345406528562307,0.0005981799331493676,0.001351729966700077,0.0027484388556331396,0.00265651848167181,0.035154834389686584,0.0539279468357563,0.053213927894830704,0.036374084651470184,0.4528017044067383,0.3179420828819275,0.9979947805404663,0.9982435703277588,0.9948404431343079,0.9936927556991577,0.980857253074646,0.9169952869415283,0.9763776063919067,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,1.5811856428626925e-06,1.0419317732157651e-05,2.207958823419176e-05,1.488760972279124e-05,3.011362423421815e-05,2.5851846658042632e-05,4.42227747043944e-06,7.442437890858855e-06,7.687324796279427e-06,6.305072474788176e-06,2.420381406409433e-06,2.1457308321259916e-06,3.166023816447705e-06,7.583968795188412e-07,2.2306219307210995e-06,4.810027348867152e-06,1.0195766662945971e-05,7.533416464866605e-06,1.9504443116602488e-05,7.263640873134136e-05,0.0001338610309176147,0.0005863273399882019,0.000905604159925133,0.005249300040304661,0.0028070120606571436,0.0035616918466985226,0.01766926981508732,0.01330469734966755,0.011227528564631939,0.009469485841691494,0.02007695846259594,0.03084373287856579,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,2.3710939785814844e-05,1.0146605745831039e-05,3.365964948898181e-05,6.488496728707105e-05,2.959921766887419e-05,4.453200017451309e-05,5.409077857621014e-05,4.245644231559709e-05,2.275166116305627e-05,2.9602802896988578e-05,5.924293145653792e-05,3.577202369342558e-05,4.913995508104563e-05,3.1305487937061116e-05,2.6849835194298066e-05,3.041818126803264e-05,5.662842886522412e-05,0.0005734426667913795,0.0032432577572762966,0.02018033154308796,0.13860368728637695,0.513032078742981,0.5552334785461426,0.7148008942604065,0.8689468502998352,0.919445812702179,0.9858847260475159,0.9398269653320312,0.9800493717193604,0.9474053382873535,0.9838592410087585,0.96904456615448,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.0526925507292617e-05,5.374852480599657e-05,0.00022567479754798114,7.827621448086575e-05,7.959445792948827e-05,3.3251464628847316e-05,4.9794929509516805e-05,0.00010832978296093643,0.00014497873780783266,0.0001685872848611325,0.00011017660290235654,4.306542905396782e-05,2.8193637263029814e-05,1.7981790733756498e-05,4.0304301364813e-05,8.177710697054863e-05,0.0006591136916540563,0.0019759584683924913,0.0016395857091993093,0.09014751017093658,0.11025845259428024,0.09101961553096771,0.09363715350627899,0.061918120831251144,0.3465462327003479,0.2568267285823822,0.3447815179824829,0.43632835149765015,0.5541409254074097,0.6552639603614807,0.591177761554718,0.7629883289337158,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,5.0535800255602226e-05,1.838478237914387e-05,3.215609467588365e-05,5.062305717729032e-05,3.810565249295905e-05,2.893352575483732e-05,2.6895864721154794e-05,2.301423046446871e-05,1.0398154699942097e-05,2.3252834580489434e-05,9.401907846040558e-06,1.6894229702302255e-05,2.2064114091335796e-05,1.5694095054641366e-05,2.58995387412142e-05,1.3788146134174895e-05,8.018546941457316e-05,9.173722355626523e-05,0.00014500311226584017,7.149165321607143e-05,0.00020382466027513146,0.00016951975703705102,0.0002773839805740863,0.00014518824173137546,0.00018819028628058732,0.0007390581886284053,0.0003270224842708558,0.0003016797418240458,0.0006554200081154704,0.0022875089198350906,0.005573545582592487,0.012931575998663902,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.179673654405633e-05,2.4226295863627456e-05,1.8916411136160605e-05,9.432447768631391e-06,7.113155879778787e-05,0.00010747577471192926,1.047985006152885e-05,3.9827162254368886e-05,1.9488463294692338e-05,1.0595967069093604e-05,1.0352088793297298e-05,2.2641941086476436e-06,5.852626600244548e-06,6.474277597590117e-06,4.05435093853157e-05,5.5660068028373644e-05,0.0001156339276349172,0.00038684485480189323,0.0019464804790914059,0.0016106750117614865,0.0010020405752584338,0.0006782616837881505,0.0010773210087791085,0.00201421813108027,0.12189552187919617,0.08867412060499191,0.2772369086742401,0.41293904185295105,0.3571799695491791,0.4571034610271454,0.24282754957675934,0.5111215114593506,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.914464883157052e-05,9.83022982836701e-05,5.3236835810821503e-05,3.796655801124871e-05,5.325788879417814e-05,0.00019022986816707999,0.0001406509691150859,4.366636858321726e-05,2.787732591968961e-05,9.523540029476862e-06,4.911826181341894e-05,2.6321018594899215e-05,6.304894486675039e-05,3.1831041269470006e-05,7.044110679998994e-05,3.1765019230078906e-05,9.141953341895714e-05,0.00019850990793202072,0.00027281526126898825,0.0007620391552336514,0.0031376073602586985,0.0028330686036497355,0.012944971211254597,0.012546861544251442,0.04865088686347008,0.2509079575538635,0.3944737911224365,0.26728373765945435,0.14743036031723022,0.22748036682605743,0.07719594985246658,0.40930068492889404,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,4.689607976615662e-06,3.951263352064416e-06,4.625547262548935e-06,8.984082342067268e-06,9.822082574828528e-06,8.529899059794843e-05,1.9840630557155237e-05,4.45030746050179e-05,0.00011032087058993056,8.770755084697157e-05,0.00010857415327336639,6.318912346614525e-05,2.1776566427433863e-05,2.1739358999184333e-05,2.9430524591589347e-05,0.00015879310376476496,0.00010738454875536263,4.129681838094257e-05,0.0008738136966712773,0.0013626528671011329,0.05228302627801895,0.1759617179632187,0.24587160348892212,0.41617023944854736,0.3143196702003479,0.38349518179893494,0.4182363748550415,0.5031408667564392,0.5981250405311584,0.7420355081558228,0.8702767491340637,0.9352299571037292,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,1.2363258292680257e-06,1.0954521485473379e-06,1.9828974018309964e-06,1.1386197229512618e-06,2.20978449760878e-06,1.228159703714482e-06,1.1049398835893953e-06,2.6831432933249744e-06,1.2042936532452586e-06,6.379296451086702e-07,3.4289567452105985e-07,3.491408335776214e-07,1.0237196192974807e-06,1.7157137790491106e-06,4.61170628796026e-07,8.846080845614779e-07,9.83574500423856e-06,9.253891039406881e-05,9.613854490453377e-05,0.0005134108359925449,0.0007519358769059181,0.0017512404592707753,0.004568970762193203,0.006967094261199236,0.011736978776752949,0.061456140130758286,0.34366369247436523,0.4104686379432678,0.6107895970344543,0.768368124961853,0.4395376145839691,0.3428538739681244,0.9786726832389832,0.9694126844406128
