explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.9499686914059566e-06,2.0442598724912386e-07,6.264381227083504e-06,2.9226139304228127e-06,2.2817819626652636e-05,9.310916539106984e-06,3.3841222375485813e-06,1.6006901205400936e-05,5.900297310290625e-06,2.2061578874854604e-06,2.9759864901279798e-06,9.295002882936387e-07,2.3111326299840584e-05,1.5506135241594166e-05,5.32657668372849e-06,1.3951467735751066e-05,1.5564753994112834e-05,3.885395472025266e-06,0.00013014854630455375,0.0007519841310568154,6.16907054791227e-05,0.00023197635891847312,0.00048333717859350145,0.002474679611623287,0.010856780223548412,0.002252627396956086,0.0020376218017190695,0.002761264331638813,0.000891988049261272,6.851164926047204e-06,2.3724123821011744e-06,6.4772784753586166e-06,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.00018497681594453752,3.3200980396941304e-05,3.398706758162007e-05,0.00013318714627530426,8.67347334860824e-05,1.8434204321238212e-05,9.568946552462876e-05,0.0003045232151634991,1.4025083146407269e-05,5.672072802553885e-05,0.0001296992995776236,1.1292214367131237e-05,1.9167149730492383e-05,0.0002484895521774888,6.837036926299334e-05,2.934470830950886e-05,0.0001179088358185254,0.00029594634543173015,0.00013577096979133785,0.0018126001814380288,0.02490742690861225,0.04264042526483536,0.010889679193496704,0.016258569434285164,0.007122113835066557,0.9894742369651794,0.9917307496070862,0.8912084102630615,0.6103208065032959,0.49196839332580566,0.04718204215168953,0.025767721235752106,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,1.1146214546897681e-06,6.2903545767767355e-06,2.6615007300279103e-05,1.4957031453377567e-05,1.4391574950423092e-05,3.809610007010633e-06,1.6698048057151027e-05,1.891715783131076e-06,3.6007796211379173e-07,8.710823635738052e-07,4.966596520716848e-07,9.105026492761681e-07,1.0674498298612889e-06,7.231426025100518e-06,5.913357381359674e-05,0.0010397817241027951,0.4695364236831665,0.2544758915901184,0.05814705044031143,0.1460178792476654,0.5704898238182068,0.8207626342773438,0.6109407544136047,0.30442798137664795,0.1959114521741867,0.05657900869846344,0.06641171127557755,0.14733470976352692,0.11225318163633347,0.016165563836693764,0.017156071960926056,0.008527467958629131,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,5.299840631778352e-05,9.639604832045734e-05,9.543322448735125e-06,2.8797956474591047e-05,4.994705449234971e-08,1.0902948588409345e-06,1.581095602887217e-05,4.1854440269162296e-07,9.871492920865421e-07,3.410759745747782e-05,4.625886867870577e-05,4.061223535245517e-06,2.9985816581756808e-05,2.2879707103129476e-05,4.6209646825445816e-05,0.00010307315096724778,0.00037208726280368865,0.0018242918886244297,0.0010569618316367269,0.011751207523047924,0.1774105578660965,0.3442373275756836,0.780388593673706,0.7452120184898376,0.9692453145980835,0.9805727601051331,0.9786564707756042,0.9672098159790039,0.9798944592475891,0.870877206325531,0.9642831683158875,0.7853045463562012,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.6852563931024633e-05,0.0004418795579113066,0.00038762661279179156,9.082609176402912e-05,0.0003202925727237016,4.480277857510373e-05,8.075602636381518e-06,5.353196684154682e-06,6.281524838414043e-05,4.2127281631110236e-05,4.821751645067707e-05,4.369594535091892e-05,1.1878409168275539e-05,5.133586819283664e-05,1.159916337201139e-05,3.831390858977102e-05,0.0036371052265167236,0.0026076927315443754,0.015827635303139687,0.16208042204380035,0.04541165009140968,0.11488725244998932,0.11662435531616211,0.11635855585336685,0.24240881204605103,0.22095251083374023,0.2679700553417206,0.2639087736606598,0.48143067955970764,0.5908956527709961,0.3805599808692932,0.5115413665771484,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,3.759091123356484e-05,7.30063948140014e-06,4.028491730423411e-06,4.350049039203441e-06,3.468921647709067e-07,7.840970965844463e-07,8.473137427245092e-07,5.222795152803883e-06,7.088282814038394e-07,1.1727131550287595e-06,2.38980805988831e-06,2.6770455860969378e-06,4.834656920138514e-06,9.45626561588142e-06,2.985122364407289e-06,3.7097336758051824e-07,1.9701531073224032e-06,1.0407868558104383e-06,2.845385552063817e-06,2.9268725484143943e-05,7.674236258026212e-06,2.3836713808123022e-05,0.00021322300017345697,0.00027258784393779933,0.00042387895518913865,2.9378687031567097e-05,2.5926850867108442e-05,4.032227661809884e-05,3.665725307655521e-05,3.0158191293594427e-05,2.5717599783092737e-05,0.0001268693886231631,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.4473685041593853e-06,9.67919550021179e-06,1.4196267329680268e-05,3.597658405851689e-06,8.819976756058168e-06,8.759466254559811e-06,6.030606527929194e-06,3.0863227493682643e-06,5.4454203564091586e-06,1.8527995052863844e-05,2.494858745194506e-05,8.972022442321759e-06,7.01518138157553e-06,4.8730848902778234e-06,2.6863104721996933e-05,4.888544208370149e-05,0.0025505293160676956,0.0013696289388462901,0.02910192869603634,0.263487309217453,0.2784360647201538,0.2402222752571106,0.2845054864883423,0.3539452850818634,0.19179484248161316,0.2926941514015198,0.28084680438041687,0.07536477595567703,0.2914218306541443,0.6525944471359253,0.5630961060523987,0.8522089719772339,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.2356799743429292e-05,6.23256855760701e-05,5.480310210259631e-05,6.6867251007352024e-06,1.0271402970829513e-05,4.8982121370499954e-05,5.162489742360776e-06,1.858554014688707e-06,3.083121100644348e-07,2.682407114207308e-07,2.346934525121469e-05,1.464260890315927e-06,8.684529007041419e-07,1.0658274050001637e-06,6.988000222918345e-06,1.3360969205677975e-05,0.002859196625649929,0.014378988184034824,0.008545895107090473,0.032604534178972244,0.10271095484495163,0.17978809773921967,0.41134214401245117,0.450741708278656,0.9214257001876831,0.9320688247680664,0.9814515709877014,0.9238748550415039,0.9506145715713501,0.9666684865951538,0.9376916289329529,0.8650552034378052,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,5.097269422549289e-06,5.153357506060274e-06,2.0767063233506633e-06,5.362767296901438e-06,7.791805728629697e-06,3.180335261276923e-05,8.914815339267079e-07,1.1416351298976224e-05,6.869099161121994e-05,8.372879528906196e-05,0.00018516519048716873,0.0001764868211466819,6.135066360002384e-05,0.00030427146703004837,0.00029823134536854923,0.00018882426957134157,0.00010167812433792278,6.401728023774922e-05,0.0023040706291794777,0.011057667434215546,0.3647564947605133,0.1568983793258667,0.15814264118671417,0.11515460908412933,0.17995187640190125,0.19864046573638916,0.1963396668434143,0.34500154852867126,0.6127606630325317,0.840067446231842,0.8944156169891357,0.9300093650817871,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,3.774523520405637e-07,4.2360315433143114e-07,1.5082470099514467e-06,2.140958258678438e-06,6.121916158008389e-06,1.0189283784711733e-05,7.988252946233843e-06,6.8609519985329825e-06,9.49549644246872e-07,7.525842988798104e-07,1.6424027080574888e-06,2.020557303694659e-06,3.6091294077778002e-06,5.439092547021573e-06,6.611176104343031e-07,5.775518275186187e-06,6.339159153867513e-05,0.0001910422433866188,0.0003575716109480709,0.0010204161517322063,0.0009719008230604231,0.0009159814799204469,0.0005939656402915716,0.003237361554056406,0.005077253561466932,0.05453481525182724,0.1648864448070526,0.40684017539024353,0.36707165837287903,0.5084877610206604,0.13793236017227173,0.1778859794139862,0.9786726832389832,0.9694126844406128
