Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.306888913812145e-07,0.0003167841932736337,0.0003767113958019763,4.526491102296859e-05,1.1726235243258998e-05,3.397509999558679e-06,6.225296965567395e-05,7.161669782362878e-05,6.186400014485116e-07,0.00020839477656409144,3.9441685657948256e-05,1.2050139048369601e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,5.552439233724726e-06,2.6457277257918577e-08,8.247523055615602e-07,1.160992084692225e-07,9.030206027382803e-10,7.733149232080905e-09,1.689372552959867e-08,1.7860790535451088e-07,1.919657499627192e-08,1.1302221025744075e-07,6.458921841812071e-09,3.0598981126672697e-09,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,5.141075234860182e-06,4.173599154455587e-05,6.231883162399754e-05,1.53179880726384e-05,5.611394726656727e-07,4.2233349972775613e-07,2.5875399956021283e-07,1.971933727418218e-07,9.416139334916807e-08,1.2256525394604978e-07,2.1888928447566514e-09,1.2505010360541746e-09,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.828980996127939e-06,3.5152488635503687e-06,3.157285322075154e-09,4.0464090034220135e-07,1.355139573888664e-07,1.85462738500064e-07,1.997332674363861e-06,3.3196240110555664e-05,3.111583737336332e-07,2.8311394117963573e-08,4.389701491192e-09,4.302764811114912e-09,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,5.130713361722883e-06,8.971328497864306e-06,1.0295482752553653e-05,1.5961641111061908e-05,1.0042253052233718e-05,5.0923199523822404e-06,9.480851986154448e-06,1.5189621080935467e-06,2.6427991883792856e-07,1.36187850330316e-07,6.714309961353138e-07,2.5909483269970224e-07,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,5.181736469239695e-06,6.835693056927994e-05,8.551472274120897e-05,4.3195741454837844e-05,9.671430234448053e-06,1.2535049336293014e-06,5.71060127185774e-07,3.7793839169353305e-08,7.839901883244238e-08,1.5774011430380597e-08,4.5305781348758956e-10,1.920135717092819e-10,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.92668811805197e-07,3.9990848677007307e-07,5.974921180040837e-08,8.860218336792514e-09,3.9408115659611553e-11,1.681541868638406e-13,1.3360816619734095e-10,3.1977903398178187e-13,4.855625856904286e-14,9.331910045230274e-18,2.106411697627361e-14,1.7191074071546374e-14,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,4.3801526771858335e-05,4.61615200038068e-05,3.117495361948386e-05,7.416243170155212e-05,1.6918109395192005e-05,6.063317528059997e-07,1.5823271724002552e-06,1.2530938064969632e-08,3.737461327091296e-07,4.652420670936408e-07,4.3738353383560025e-07,8.078955033852253e-07,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,6.473494629233301e-09,4.769010075733604e-08,1.3195324000125908e-10,6.499201177234681e-11,1.2850471797776208e-08,2.4898683115281983e-09,8.75723647243698e-13,2.8710404279680413e-12,4.576705767839195e-13,3.1125281336116037e-20,2.666186565439639e-24,3.2312869549878534e-21,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,6.643118126703484e-07,2.5157896743621677e-06,4.789981176145375e-07,8.792349035502411e-07,1.2975756362720858e-06,4.837698270421242e-06,2.0359057089081034e-05,1.9531343298240245e-07,2.4203464477068337e-07,3.180441296990466e-07,1.5713184211563203e-06,8.166249898522437e-09,4.707958964900172e-07,1.0843669770110864e-05
