Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.2631951398798265e-06,7.756218110444024e-05,9.498889994574711e-05,8.146680193021894e-05,4.594058191287331e-05,3.3475265809101984e-05,8.941494161263108e-05,0.00010193714842898771,3.8772053812863305e-05,0.0003597071045078337,0.00034677473013289273,0.00014648686919827014,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.9266439267084934e-05,6.061733984097373e-06,1.1191085832251702e-05,4.3059512790932786e-06,8.014535524125677e-07,5.188304044168035e-07,2.120174940500874e-06,1.0139828191313427e-05,8.008971690287581e-07,1.2530689673440065e-05,2.978965085276286e-06,1.4622335129388375e-06,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.629761340562254e-05,0.00010178759112022817,0.00014150748029351234,7.952898886287585e-05,1.2119745406380389e-05,1.7027596186380833e-05,1.4277052287070546e-05,2.553284321038518e-05,1.318814065598417e-05,3.1942123314365745e-05,1.6653353668516502e-05,8.850351150613278e-06,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.087120492433314e-06,1.204741420224309e-05,2.4258135908894474e-06,5.025176506023854e-06,2.5783824639802333e-06,8.2595006460906e-06,1.5265892216120847e-05,7.879570330260321e-05,8.324203008669429e-06,5.442406745714834e-06,6.718320037180092e-06,2.671489937711158e-06,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,8.257798072008882e-06,2.4928831408033147e-05,3.49142101185862e-05,3.673705577966757e-05,3.9119880966609344e-05,3.9002308767521754e-05,3.800998820224777e-05,2.5900772016029805e-05,1.6957597836153582e-05,3.51111484633293e-05,0.00012903675087727606,7.874490256654099e-05,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,2.5436520445509814e-05,0.0001641008275328204,0.00015770447498653084,0.00012647631228901446,8.716240699868649e-05,0.00017142010619863868,9.180205961456522e-05,4.167999213677831e-05,1.1991481187578756e-05,9.820157174544875e-06,6.50130118629022e-07,7.35648484351259e-07,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,2.958448419576598e-07,8.367417763111007e-07,6.269464734032226e-07,2.4341409243788803e-07,2.768894802329669e-08,2.6284606491344675e-08,4.609488257756311e-08,5.752889009613682e-08,6.12945116884589e-09,3.0817535190408307e-09,6.345215552983063e-08,8.642997784136242e-08,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,6.338670937111601e-05,0.00013101933291181922,0.00013988885621074587,0.00020492635667324066,5.208962465985678e-05,6.274914994719438e-06,7.321733392018359e-06,1.588377017469611e-06,4.464701305550989e-06,2.0682953618234023e-05,2.5522540454403497e-05,3.583936268114485e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,1.1663525611993464e-07,9.794372317628586e-07,2.1352596490942233e-07,9.713929927102072e-08,4.4801439003094856e-07,1.307386128246435e-07,1.8488059083665576e-08,3.971077244813159e-09,7.180642747073307e-09,4.01990177256728e-11,2.2711643763578815e-12,4.836573849753556e-12,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,4.205287496006349e-06,6.268519427976571e-06,3.555948524081032e-06,5.6248854889418e-06,6.2890044318919536e-06,1.159654766524909e-05,2.1276257029967383e-05,1.0655023743311176e-06,4.923695087200031e-06,3.760106847039424e-05,6.249183934414759e-05,7.456990260834573e-06,4.707958964900172e-07,1.0843669770110864e-05
10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,1.8003414652412175e-06,6.640801439061761e-05,2.8294172807363793e-05,3.9788625144865364e-05,3.093157283728942e-05,1.2359687389107421e-05,2.7355699785402976e-05,2.2780068320571445e-05,2.3851354853832163e-05,1.0312031008652411e-05,2.2762874323234428e-06,6.946944495211937e-07,0.0001903028169181198,4.937221092404798e-05
11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla, Rome,2.33249170378258e-06,1.3731844774156343e-05,2.9422874376905384e-06,8.086952220764942e-06,1.2605584743141662e-05,1.013494602375431e-05,7.2814987106539775e-06,7.590318546135677e-06,1.9853096091537736e-06,4.360529419500381e-05,8.229047671193257e-05,4.7004796215333045e-05,3.4326938475714996e-05,7.732910307822749e-05
12,The place of birth of Fernando Di Leo is,The place of birth of the director of Mister Scarface is,Fernando Di Leo,the director of Mister Scarface, San Ferdinando di Puglia,1.4645112059952226e-05,9.509680239716545e-05,0.00015278765931725502,0.00032530943281017244,0.0002190422237617895,0.00020561536075547338,4.288725176593289e-05,6.481883610831574e-05,1.0359016414440703e-05,0.00011479220120236278,0.0001863924553617835,0.00020569594926200807,5.710366531275213e-05,0.00018027036276180297
13,The employer of Éric Rohmer is,The employer of the director of Love in the Afternoon is,Éric Rohmer,the director of Love in the Afternoon, Cahiers du cinéma,3.684501962197828e-06,6.293928890954703e-06,8.111323950288352e-06,8.708588575245813e-05,1.1153074410685804e-05,1.1847032510559075e-05,1.4505305443890393e-05,2.985413857459207e-06,7.226561137940735e-06,2.0598228729795665e-05,5.2313731430331245e-05,2.0489710550464224e-06,8.476534389956214e-07,1.0843669770110864e-05
14,The date of death of Sergei Eisenstein is,The date of death of the director of The General Line is,Sergei Eisenstein,the director of The General Line, 11 February 1948,2.3792720185156213e-06,5.905859143240377e-05,0.00013597894576378167,8.643011096864939e-05,8.419098594458774e-05,9.459001012146473e-05,9.428552584722638e-05,0.00014270730025600642,5.073412103229202e-05,0.0003708763397298753,5.922960917814635e-05,1.0989708243869245e-05,0.002522627590224147,0.0007949296268634498
15,The cause of death of Philippa of Hainault is,The cause of death of the mother of Joan of England is,Philippa of Hainault,the mother of Joan of England, edema,9.282408427679911e-06,8.268212695838884e-06,8.777744369581342e-06,4.532311868388206e-05,1.7216052583535202e-05,9.986531949834898e-06,5.140665962244384e-06,1.0318869954062393e-06,3.1762510843691416e-07,1.352687831968069e-06,3.146348035443225e-06,1.2709272141364636e-06,4.664736934500979e-06,5.212684300204273e-06
16,The place of death of Adolf IV of Berg is,The place of death of the father of Count Engelbert I of Berg is,Adolf IV of Berg,the father of Count Engelbert I of Berg, Altenberg,9.769504686119035e-06,5.0148846639785916e-06,1.004677324090153e-05,7.971264494699426e-06,7.363489658018807e-06,8.112608156807255e-06,6.255711014091503e-06,1.0369813026045449e-05,4.76281593364547e-06,3.656683838926256e-05,5.82150969421491e-05,8.510637417202815e-05,0.00011316976451780647,0.0001679572742432356
17,The date of death of Baudouin de Courtenay is,The date of death of the father of Cezaria Jędrzejewiczowa is,Baudouin de Courtenay,the father of Cezaria Jędrzejewiczowa, 3 November 1929,2.1622268832288682e-05,0.00013983091048430651,0.0007567838183604181,0.001083286595530808,0.0005949556943960488,0.0015716481721028686,0.0002586154732853174,0.0002584382891654968,8.271013939520344e-05,0.00026235051336698234,0.00014801722136326134,2.062956446025055e-05,0.0015453097876161337,0.0006742554251104593
18,The place of birth of Carlos F. Borcosque is,The place of birth of the director of My Country's Wings is,Carlos F. Borcosque,the director of My Country's Wings, Valparaíso,5.893011802982073e-06,1.652339233260136e-05,1.3511918041331228e-05,5.296536983223632e-06,2.9595496471301885e-06,1.1522263321239734e-06,2.4135579224093817e-06,1.5493972114200005e-06,1.7913700389726728e-07,2.905643441408756e-06,7.396114142466104e-06,1.5581555999233387e-05,0.00010031083365902305,0.00010867132368730381
19,The employer of Joseph Barbera is,The employer of the director of Gallopin' Gals is,Joseph Barbera,the director of Gallopin' Gals, Van Beuren Studios,2.6818219339475036e-05,0.00011763887596316636,3.672565071610734e-05,1.7464653865317814e-05,7.432486745528877e-05,0.00013194202620070428,7.279193232534453e-05,3.588873369153589e-06,8.935521691455506e-06,5.1106613682350144e-05,8.844610420055687e-05,7.182472927524941e-06,7.592391739308368e-06,1.7091686459025368e-05
20,The spouse of Faith Evans is,The spouse of the performer of Burnin' Up is,Faith Evans,the performer of Burnin' Up, Notorious B.I.G.,6.054942332411883e-06,1.3502333786163945e-05,2.082659375446383e-05,6.2114700085658114e-06,8.531627827323973e-06,2.066345814455417e-06,5.298636551742675e-06,2.297968649145332e-06,2.066622755592107e-06,1.2991082257940434e-05,1.6211804904742166e-05,1.1045204701076727e-05,8.251595863839611e-05,7.807506335666403e-05
21,Jerzy Skolimowski was educated at,The director of Walkover was educated at,Jerzy Skolimowski,the director of Walkover, National Film School in Łódź,4.190492836642079e-05,8.965172310126945e-05,0.00023184590099845082,0.00045412476174533367,0.0005540282581932843,0.0002788430138025433,0.00028979097260162234,0.00023423301172442734,0.0005057051312178373,0.00044756202260032296,0.0004552784375846386,0.00017631013179197907,0.00022645716671831906,0.00023772833810653538
