Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,2.198911261075409e-06,0.0001881218486232683,0.0002315232704859227,8.189484651666135e-05,3.422651570872404e-05,1.626785524422303e-05,0.00010830225073732436,0.00013417648733593524,1.1910982721019536e-05,0.00048217791481874883,0.0002855123020708561,8.489617903251201e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.1603922757785767e-05,7.114108484529424e-07,3.5625855616672197e-06,7.907617032287817e-07,3.181512653327445e-08,4.2392759525000656e-08,1.7504412141988723e-07,1.0339410891901935e-06,3.9167659338090743e-08,1.5473196981474757e-06,5.581318163194737e-08,3.791031844002646e-08,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,2.0598643459379673e-05,8.960483683040366e-05,0.00010945201938739046,4.134700066060759e-05,2.974312110382016e-06,3.1973354452929925e-06,3.160876985930372e-06,3.60774174623657e-06,1.533726162961102e-06,2.9148143312340835e-06,3.7294049093361537e-07,1.1425525059394204e-07,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.8807492071791785e-06,8.276070730062202e-06,2.979963937832508e-07,1.8374735191173386e-06,7.189267421381373e-07,2.1321559415810043e-06,1.0051286153611727e-05,8.868969598552212e-05,3.451156999290106e-06,1.165395133284619e-06,7.79748745571851e-07,3.5321531299814524e-07,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,6.962910902075237e-06,1.748853719618637e-05,2.266173396492377e-05,2.8208856747369282e-05,2.6338089810451493e-05,2.2094252926763147e-05,2.9288214136613533e-05,1.2829372280975804e-05,4.256490683474112e-06,5.878199772268999e-06,2.7702897568815388e-05,1.4368740266945679e-05,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,1.6231835616054013e-05,0.000165080331498757,0.00013421733456198126,8.7518579675816e-05,4.0499009628547356e-05,2.913704520324245e-05,1.7349266272503883e-05,2.1650080270774197e-06,3.431952393384563e-07,1.1091256624240486e-07,5.524862234373984e-10,1.62668933878507e-09,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.25870291312458e-07,7.034549867057649e-07,2.8551636432894156e-07,7.253282063857114e-08,1.5961023613897396e-09,3.954756799817716e-10,4.851363755165039e-09,3.2422889373329156e-10,3.934153350315661e-11,4.35873261312239e-13,1.2876726074306788e-10,1.8412681102031314e-10,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,5.9589598095044494e-05,0.00010059327178169042,8.934533252613619e-05,0.00013868877431377769,3.445907714194618e-05,2.8179285891383188e-06,5.387167675507953e-06,2.908168141857459e-07,1.9743961274798494e-06,6.110808499215636e-06,6.984490028116852e-06,1.0492082765267696e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,3.7738185909574895e-08,2.519564645808714e-07,7.856446160303676e-09,2.498544482421039e-09,9.62570183560274e-08,7.99650123894935e-09,7.154695585986914e-11,4.7807400399557665e-11,3.2152433493415344e-11,6.083869730191176e-16,1.4847820909492955e-19,1.694427868744654e-17,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.897809963542386e-06,5.412984137365129e-06,1.8080301060763304e-06,3.6680607991002034e-06,5.316694569046376e-06,1.4096877748670522e-05,3.432194716879167e-05,5.851376272403286e-07,1.2558763273773366e-06,3.818462118942989e-06,1.1713787898770534e-05,1.3076827087843412e-07,4.707958964900172e-07,1.0843669770110864e-05
