config,rank,step,final_layer_kl,mean_layer_kl,early_layer_kl,mean_abs_dev_vs_fullrank,max_dev_vs_fullrank,pearson_vs_fullrank,kendall_tau_vs_fullrank
full_rank_tuned,full,1000,0.0411393977701664,0.5427893229449788,0.8577374617258707,0.0,0.0,1.0,1.0
lora_r1,1,1000,0.07595476508140564,1.0371947238842647,1.5835629105567932,0.49440540093928576,1.3754287958145142,0.9858073247906949,1.0
lora_r4,4,1000,0.05738858878612518,0.8784052195648352,1.3539109627405803,0.33561589661985636,0.9079653024673462,0.9920132956296729,1.0
lora_r8,8,1000,0.05456087738275528,0.7991823721677065,1.2313244044780731,0.2563930492227276,0.5558909177780151,0.9976844789940298,1.0
lora_r16,16,1000,0.05255547910928726,0.7546486053615808,1.1652548710505168,0.21185928241660199,0.346701979637146,0.9965302237073898,1.0
lora_r32,32,1000,0.047881145030260086,0.6962962017084161,1.0834340353806813,0.15350687876343727,0.2400035858154297,0.9975843035927351,1.0
lora_r64,64,1000,0.04305829852819443,0.5997340480486552,0.9362276295820872,0.05694472510367632,0.09106075763702393,0.9996110590197678,1.0
lora_r128,128,1000,0.040186479687690735,0.5738462172448635,0.902027020851771,0.03121571398029725,0.048988938331604004,0.9998148873627439,1.0
lora_r256,256,1000,0.03823080286383629,0.5550907940293351,0.874307781457901,0.014714367687702179,0.02574366331100464,0.99953205378861,1.0
lora_r384,384,1000,0.03622043505311012,0.5386303318664432,0.8518914878368378,0.00761237492163976,0.04868018627166748,0.9993656167229334,1.0
