Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.4040737994491792e-07,2.3583050278830342e-05,0.0003786637098528445,1.6346293705282733e-06,2.6481217219043174e-08,3.975153504143236e-06,7.864553481340408e-05,5.925956429564394e-05,1.15827663194068e-06,0.00011474701022962108,3.2492382615600945e-06,1.3000535545870662e-06,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,3.4875433652103993e-09,2.6635993757850862e-11,7.325819950665391e-10,1.6877864661424269e-09,1.975664909448227e-10,3.231331424657924e-09,5.287156046307473e-09,5.168054073578787e-08,2.8343382751927493e-08,1.714053254886494e-08,6.202129920751531e-10,1.67545632923094e-09,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.494083102850709e-06,1.7262289475183934e-05,1.669009520810505e-06,8.472992618635544e-08,6.628911108919056e-08,2.1980763449391816e-06,6.876760494378686e-08,1.541500083135361e-08,1.0521999271873028e-08,1.6305504857427877e-07,2.408737098669178e-10,7.076311203668695e-10,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,8.57272564047662e-09,5.20648502089216e-09,1.7796136810824432e-14,9.788313822672867e-13,9.262490080486074e-11,4.77734429793486e-09,1.5796871366546839e-06,1.0492750561752473e-06,9.031983494445228e-10,4.206779369297919e-09,2.6342250603050843e-09,4.800126962578588e-10,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,7.648137398064137e-05,3.293882036814466e-05,2.696533192647621e-05,3.597505565267056e-05,6.887265772093087e-05,5.99564918957185e-05,2.3482381948269904e-05,2.6164721589339024e-07,1.9352741276179586e-07,5.01558830023896e-08,2.593012879970047e-07,3.6182274953944216e-08,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.00012245583639014512,0.00014169469068292528,0.0003505198401398957,7.188712970673805e-06,1.957100039362558e-06,1.0946136171696708e-05,4.3720930875679187e-07,1.0412295523565263e-06,1.2063409826623683e-07,1.34112042360357e-07,4.1486328261619576e-11,7.130297741131386e-11,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.45512916055668e-08,1.794896453688466e-09,2.072118171492221e-11,4.44730741122612e-09,5.132690383824468e-10,1.1248911280540771e-13,4.2649182254404783e-13,2.034438461066216e-14,1.6144201276321077e-15,4.331670243976838e-18,1.5675764527918663e-15,5.905276539031751e-16,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.0020772581920027733,0.0007567392894998193,1.027884991344763e-06,6.152411515358835e-05,1.8921904484159313e-05,1.4119132174528204e-06,1.2371141622224968e-07,1.896576007354156e-09,4.221308813612268e-08,6.817793263280691e-08,5.252135792943591e-08,2.176225279981736e-07,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,7.539451840621325e-10,1.093158452647458e-08,6.318360279422564e-10,1.0843384523617772e-10,5.687621554284483e-11,1.2209713240451947e-09,4.94394970925946e-14,2.716520212172214e-15,3.5170946728190367e-16,6.825041283806693e-22,2.0764440923438165e-23,2.07116057210662e-20,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,6.098840543700135e-08,1.0177268450206611e-07,2.6983249412637633e-08,4.9228791709765574e-08,3.137168391731393e-08,3.9072143408702686e-05,2.7774087357101962e-05,3.398484409444791e-07,1.0041044333775062e-06,4.215891067360644e-07,3.3964349768211832e-06,5.182208440146496e-09,4.707958964900172e-07,1.0843669770110864e-05
