Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.1743505638150964e-05,8.477271330775693e-05,0.0001420415355823934,3.838475822703913e-05,6.1481614466174506e-06,5.607189814327285e-05,5.38816639163997e-05,0.00027474609669297934,0.00011661673488561064,0.00048785522812977433,0.00019766978221014142,9.171376586891711e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.035745526678511e-06,3.343557750667969e-07,5.323039999893808e-07,8.60934164848004e-07,2.577139923687355e-07,1.0366110245740856e-06,2.350545855733799e-06,4.469566192710772e-06,2.4215082703449298e-06,1.6760679500293918e-05,1.2322047950874548e-06,8.786770422375412e-07,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.0002916878729593009,0.0005021558608859777,6.518952432088554e-05,1.2685221918218303e-05,6.744402071490185e-06,0.0001326576602878049,5.388674617279321e-05,9.052412497112527e-05,6.700680387439206e-05,6.922539614606649e-05,9.188414878735784e-06,6.523815955006285e-06,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.3698505628999555e-06,3.3611033813940594e-06,5.86021997150965e-07,1.6373007838410558e-07,1.165174836614824e-07,4.4880293899041135e-06,2.511906495783478e-05,4.8842095566214994e-05,2.923402007581899e-06,4.667851499107201e-06,2.9129332688171417e-06,1.3733775858781883e-06,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.0001717153936624527,0.0001719306455925107,0.00013795959239359945,7.439378532581031e-05,0.00022704264847561717,0.00026778734172694385,0.00010972908785333857,4.658273246604949e-05,3.6979450669605285e-05,3.8740119634894654e-05,8.74057732289657e-05,7.641589036211371e-05,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0006243150564841926,0.002031394513323903,0.0012565733632072806,0.00014216991257853806,8.212691318476573e-05,0.0015012980438768864,0.000304322486044839,0.0002600621082819998,5.2135179430479184e-05,3.693557300721295e-05,1.9205840544600505e-06,3.879248993143847e-07,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,3.294597377134778e-07,4.0278138158100774e-07,2.0153653679244599e-07,1.5822238310647663e-06,2.938263889973314e-07,3.916684221394462e-08,2.8894396209011575e-08,4.0115413213470674e-08,8.926825501021085e-09,1.488334788746215e-09,1.7943586172464165e-08,3.5205850679176365e-08,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.0020547762978821993,0.003379573579877615,0.0011312082642689347,0.0006495935958810151,0.00010906066017923877,9.750990102475043e-06,4.10416714657913e-06,4.9534874051460065e-06,7.204876055766363e-06,1.3867120287613943e-05,1.4683364497614093e-05,2.1800327886012383e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,5.774685973847227e-07,4.416668161866255e-06,2.3576130843139254e-06,9.628113275539363e-07,3.050198245091451e-07,1.2326881915214472e-06,5.083318654897084e-09,2.075339899931805e-09,1.6011766357237889e-09,3.3233665385629108e-12,1.5348508054791044e-12,1.1235903700501648e-11,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,4.2182550714642275e-06,9.5226359917433e-06,3.871225544571644e-06,3.296268914709799e-06,8.47257467739837e-07,7.088665734045208e-05,0.00018998347513843328,4.390248432173394e-05,6.0036720242351294e-05,5.0688897317741066e-05,0.00011270477261859924,7.645341611350887e-06,4.707958964900172e-07,1.0843669770110864e-05
10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,2.3824316031095805e-06,2.4260623831651174e-05,1.1283771073067328e-06,8.73199496709276e-06,6.5194867602258455e-06,7.164213911892148e-06,2.1064039174234495e-05,2.3770020561642013e-05,1.5802612324478105e-05,7.992136488610413e-06,2.857166236935882e-06,1.2900649153380073e-06,0.0001903028169181198,4.937221092404798e-05
