explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,5.652016989188269e-05,2.2353312942868797e-06,2.3574442820972763e-05,4.4084317778469995e-06,2.7801313990494236e-05,9.846595276030712e-06,7.35235175852722e-07,6.722912530676695e-06,2.953776174763334e-06,1.9737215097848093e-06,7.017974326117837e-07,1.8862439787881158e-07,4.415408056956949e-06,1.7707562847135705e-06,1.0980095055401762e-07,1.6707474514987553e-07,7.999251465662383e-07,1.791939610029658e-07,7.285528681677533e-06,1.4222766367311124e-05,4.682027793023735e-06,1.543108737678267e-05,4.6165467210812494e-05,9.760220564203337e-05,0.00019230556790716946,3.675165135064162e-05,2.2135984181659296e-05,2.3389104171656072e-05,2.6614083253662102e-05,1.6795851820461394e-07,3.3534698218318226e-07,1.3848614344169619e-07,0.5243114829063416,0.05738931894302368
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,4.803683623322286e-05,2.0437889816093957e-06,7.97140501163085e-07,4.686186366598122e-05,4.349957453086972e-05,1.0811106221808586e-05,1.5429211998707615e-05,8.293805149151012e-05,2.019946350628743e-06,6.6780653469322715e-06,1.2008099474769551e-05,1.6162094880201039e-06,2.414364416836179e-06,8.931961929192767e-06,1.404076556354994e-06,1.1695922239596257e-06,3.824765997251234e-07,5.115631438457058e-07,5.666439406581958e-08,6.257287736843864e-07,1.3031044545641635e-06,5.501397481566528e-06,1.5915699123070226e-06,9.872492228168994e-06,6.002627287671203e-06,0.00023123067512642592,5.3367966756923124e-05,4.448263553058496e-06,1.3376383094509947e-06,1.7625606005822192e-06,2.3643787017135764e-07,3.07890637429864e-08,0.9257234930992126,0.8719348311424255
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,1.675589714977832e-06,1.3853855307388585e-06,1.0311241567251272e-05,4.904130491922842e-06,9.813288670557085e-07,4.076570192523832e-08,6.889602900628233e-06,6.723710725964338e-07,1.5808403475148225e-07,3.7737703451057314e-07,4.82542645841022e-08,2.3675870863826276e-07,1.1555071921520721e-07,1.6264112900898908e-06,1.0529643986956216e-05,7.972594175953418e-05,0.01836482435464859,0.001888537546619773,0.0010531161678954959,0.0017768150428310037,0.03190704435110092,0.2991401255130768,0.06387828290462494,0.0030830013565719128,0.004275895655155182,0.025234844535589218,0.0013557282509282231,0.012686548754572868,0.009179680608212948,0.004494512919336557,0.0016031514387577772,0.00037314524524845183,0.30681535601615906,0.3140052258968353
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.573603367432952e-05,1.8590302715892904e-05,1.3695520806322747e-07,1.3333376500668237e-06,8.072590373942035e-10,2.0963115687777645e-08,8.007478413674107e-08,7.260827938893044e-09,3.079516091020196e-07,7.020880161690002e-07,1.4738700429006713e-06,1.52813768750093e-07,6.15918793300807e-07,8.756443747870435e-08,1.0093874607264297e-06,4.062743755639531e-06,4.799708790415025e-07,3.003765698395e-07,4.166204519151506e-07,3.0800123340668506e-07,3.69096915164846e-06,4.724232439912157e-06,0.00017396565817762166,0.00024572122492827475,0.005948806647211313,0.0258510559797287,0.02511841617524624,0.07512249052524567,0.0064474549144506454,8.330260607181117e-05,0.0004149434680584818,4.5117812987882644e-05,0.9862262606620789,0.9731510877609253
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,2.0819352357648313e-05,6.60175719531253e-05,3.612384898588061e-05,1.908485501189716e-06,8.545734090148471e-06,1.432846602256177e-06,5.601345378636324e-07,3.3629353879405244e-07,2.120454382747994e-06,2.6744916681309405e-07,5.061677939011133e-07,1.7911938243742043e-07,4.416134800067084e-07,3.107332076979219e-06,1.0856105348011624e-07,2.3196707843453623e-06,8.944942965172231e-05,4.754172914545052e-05,0.0012933049583807588,0.0815650075674057,0.03514908254146576,0.0017483417177572846,0.0003893256653100252,0.00036564271431416273,0.1491134613752365,0.12038881331682205,0.05368718504905701,0.01514157559722662,0.004599193576723337,0.005490380804985762,0.0007735302206128836,0.0021298513747751713,0.8410796523094177,0.8860512971878052
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.093604714696994e-05,1.0116718840436079e-05,1.427365305062267e-06,9.213574116984091e-07,3.755608091182694e-08,3.861833164364725e-08,5.503034827825104e-08,4.400123088998953e-06,1.750332899064233e-06,4.5890948285887134e-07,8.173207106665359e-07,1.739664554634146e-07,1.7628756268095458e-06,7.116309461707715e-06,1.0395418712505489e-06,1.1446925327618374e-06,2.1624414330290165e-06,1.4801362624439207e-07,1.124519826589676e-06,1.0929663403658196e-05,0.00019512562721502036,0.00010999187361449003,0.00017410596774425358,9.35868447413668e-05,0.00010416308214189485,2.430294443911407e-05,2.9288506993907504e-05,3.4517277526902035e-05,1.409033575328067e-05,4.630473540601088e-06,4.802437274520344e-07,8.160187690009479e-07,0.004398103803396225,0.039055902510881424
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,2.9217469545983477e-06,5.9267035794619005e-06,7.174924121500226e-06,6.772343681404891e-07,8.530082595825661e-07,1.364713057228073e-06,5.019524905947037e-06,3.966221981954732e-07,1.4697994856760488e-06,2.8588865461642854e-06,2.4212808966694865e-06,2.8357969767967006e-06,2.2443191483034752e-06,1.0193160733251716e-06,2.0630573089874815e-06,3.701314199133776e-06,0.00031296920496970415,4.3335316149750724e-05,0.0003781444684136659,0.003667980432510376,0.0044944691471755505,0.004436016082763672,0.005001664161682129,0.002694378374144435,7.16477443347685e-05,7.200581603683531e-05,0.000135843685711734,4.6385976020246744e-05,0.00014740563347004354,0.001510709524154663,0.0010183264967054129,0.008526613004505634,0.8361400961875916,0.9983490705490112
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,2.1841264242539182e-05,4.2315543396398425e-05,7.399747846648097e-05,2.6012256057583727e-05,2.890801442845259e-05,3.306675353087485e-05,3.8251835121627664e-07,4.2208606032545504e-07,3.097791818618134e-07,5.185088269854532e-08,8.098056696326239e-07,3.3492136708446196e-07,4.182066959401709e-08,8.464114387152222e-08,3.1963296009962505e-07,1.6307601526932558e-06,6.964951171539724e-05,0.0005020162789151073,8.198508294299245e-05,0.0005321212811395526,0.002728409832343459,0.0007909507839940488,0.0030256356112658978,0.0008711006958037615,0.08419440686702728,0.2828388214111328,0.34983956813812256,0.11384003609418869,0.08139752596616745,0.1388162076473236,0.03297759220004082,0.004868360701948404,0.18634428083896637,0.9790036082267761
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,4.748669653054094e-06,2.1771043066109996e-06,1.1626940477071912e-06,1.8541264807936386e-06,5.668865128427569e-07,6.113097015258973e-07,2.73395990291192e-08,5.378261107580329e-07,4.180230462225154e-06,3.0966882604843704e-06,1.7258464140468277e-05,9.894041795632802e-06,4.613825694832485e-06,7.832676601537969e-06,3.088151424890384e-05,4.4501712181954645e-06,2.239306695628329e-06,1.2679804058279842e-05,0.00023083118139766157,0.0034430043306201696,0.1804628074169159,0.222810760140419,0.12499018758535385,0.2957848608493805,0.20868778228759766,0.2629304826259613,0.25292497873306274,0.07495515793561935,0.07880165427923203,0.25607967376708984,0.32149162888526917,0.016450999304652214,0.9998624324798584,0.9994575381278992
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,6.502460792034981e-07,1.855685127338802e-06,2.757904667305411e-06,1.6557429489694186e-06,4.626973350241315e-06,3.22755440720357e-05,9.122252777160611e-06,9.373261491418816e-06,1.2942108469360392e-06,3.1737183689983794e-06,9.162464266410097e-06,1.08387630461948e-05,4.44524403064861e-06,2.1526536784222117e-06,1.1106319561804412e-06,4.959032139595365e-06,3.2602936698822305e-05,8.4671582953888e-06,1.006154252536362e-05,2.919830512837507e-05,1.4830674444965553e-05,5.233659976511262e-06,1.0984313121298328e-06,4.198225838081271e-07,4.0874260776035953e-07,4.322927907196572e-06,8.730129593459424e-06,8.228970546042547e-05,0.00016009451064746827,0.0004194587527308613,0.00428403215482831,0.010192712768912315,0.9786726832389832,0.9694126844406128
