Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,5.6504024541936815e-05,1.5440473362104967e-06,7.607935117448505e-07,4.035854885842127e-07,2.6012779485995452e-08,2.918303323440341e-07,2.502550273675297e-07,3.0957784247220843e-07,2.1192322492424864e-06,2.690165956664714e-06,3.184982915627188e-06,2.0713748654088704e-06,2.30141472457035e-06,8.907102824196045e-07,4.329201146902051e-06,7.1892723099153955e-06,0.00019770109793171287,0.007320781238377094,0.002374436939135194,0.0282470490783453,0.10858158767223358,0.5013360381126404,0.21186940371990204,0.328614205121994,0.9702593088150024,0.9645835757255554,0.9711042046546936,0.9471839666366577,0.029220284894108772,0.04131583496928215,0.014819162897765636,0.08693056553602219,3.687319258460775e-05,0.0018955129198729992
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,4.7303478822868783e-07,1.1140186870761681e-06,1.600052746653091e-05,4.806329911843932e-07,2.183363903895952e-06,7.389963343484851e-07,1.0591500654300035e-07,1.7592714129932574e-07,4.192304743355635e-07,2.244739107482019e-06,6.616374776058365e-06,3.577410097932443e-06,4.064291374561435e-07,1.836235583141388e-06,1.2251478437974583e-05,1.127045470639132e-05,1.1079695468652062e-05,1.594742207089439e-05,8.453799091512337e-05,0.00013248901814222336,4.8525063903070986e-05,4.629553950508125e-05,0.0008411513408645988,0.0005218214355409145,0.004630468785762787,0.011491076089441776,0.01338309608399868,0.009527236223220825,0.015159470960497856,0.06664665788412094,0.14645428955554962,0.13376612961292267,0.00045534525997936726,0.04947078973054886
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.210566319467034e-06,2.2950366656004917e-06,6.4417513385706116e-06,7.96692518179043e-07,5.471356416819617e-07,8.429285571764922e-07,2.5025010472745635e-06,3.975585786974989e-05,4.533467745204689e-06,5.731953933718614e-06,5.095586857351009e-06,1.2510380656749476e-05,1.5261248336173594e-06,5.476801447912294e-07,3.305171412648633e-05,5.271055852063e-05,1.5801057088538073e-05,1.3383105397224426e-06,2.4549046884203563e-06,9.10467224457534e-06,0.00010139285586774349,7.064680175972171e-06,7.348869075940456e-06,3.843582362605957e-06,5.566667368839262e-06,9.015111572807655e-07,1.5679275975344353e-06,9.620190866144185e-08,6.661980744837592e-09,2.6891495252812092e-08,4.2749775275296997e-07,7.661074050702155e-07,0.001122611341997981,8.37918632896617e-05
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,8.972994010036928e-07,3.074841288253083e-06,6.2587328102381434e-06,8.590015454501554e-07,1.424379206582671e-06,5.5417203839169815e-06,1.6290049416056718e-06,3.3401925065845717e-06,2.3694253741268767e-06,3.355532044224674e-06,1.9556248389562825e-06,2.80863503121509e-07,1.3779763321508653e-06,4.195082112801174e-07,7.199857009254629e-06,1.281175900658127e-05,4.73002046419424e-06,0.00018471060320734978,0.0006211023428477347,9.693554602563381e-05,0.0005717900348827243,0.00044852017890661955,0.00018445916066411883,0.0003854893730022013,3.1149552341958042e-06,2.264869863211061e-06,7.059328481773264e-07,2.061540840259113e-07,2.722551926126471e-07,1.3943757437573367e-07,7.787553357729848e-08,2.554571949531237e-07,0.00481195654720068,0.002034316770732403
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,1.4000679584569298e-05,1.3142831448931247e-05,3.1971958378562704e-06,3.323651185382914e-07,3.2903287205954257e-07,2.934058329628897e-06,1.0424540732856258e-06,1.3263006621855311e-05,1.774395173015364e-06,1.4332648561321548e-06,5.877638500351168e-07,5.685173505298735e-07,2.1580659392839152e-07,1.3153093050277676e-06,2.5101358914980665e-05,1.647946919547394e-05,3.3343601444357773e-06,1.003225588647183e-05,1.938284549396485e-05,3.931759056285955e-05,0.00015086837811395526,0.00032986103906296194,0.0006358560058288276,0.00023636556579731405,0.003635340603068471,0.000156029433128424,0.00026348052779212594,0.00046755754738114774,0.0009481384768150747,0.031890083104372025,0.013432132080197334,0.03888718783855438,1.6736430552555248e-05,0.00035608006874099374
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,6.663778435722634e-07,7.2185989665740635e-06,4.191240350337466e-07,7.350143249595931e-08,4.9574725835555e-07,1.496000976430878e-07,4.5352689426181314e-07,6.720460987708066e-06,5.676049568137387e-06,2.6097159206983633e-05,0.00013594178017228842,5.5658114433754236e-05,7.913922672742046e-06,8.04368537501432e-05,0.00019310654897708446,0.0013416309375315905,0.0002641869359649718,0.00018940000154543668,9.724388655740768e-05,4.1526564018568024e-05,0.0003054045664612204,9.612295980332419e-05,5.278794560581446e-05,4.0842118323780596e-05,0.0003518829180393368,0.0001918919151648879,0.00018151852418668568,0.0003305730933789164,9.975449938792735e-05,4.940616781823337e-05,0.00011742587957996875,2.6384102511656238e-06,0.007045171223580837,0.00602232338860631
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,6.1219707276904956e-06,7.66752509662183e-06,3.4570746265671914e-06,8.540690146219276e-07,3.839421879092697e-06,1.4653492144134361e-06,7.955144099014433e-08,3.3844546578620793e-06,2.5381523300893605e-05,2.68610347120557e-06,3.276814368291525e-06,2.5185136109939776e-07,5.046057793833825e-08,9.488036312177428e-08,3.321175512382979e-08,1.2092485235370987e-07,1.0763346836029086e-07,1.437416159433269e-07,8.455070314994373e-07,1.9042767007704242e-06,2.824668001721875e-07,7.358581797234365e-07,1.5494686067540897e-06,1.6635847259749426e-06,3.7353845527832163e-06,1.2127503623560187e-06,1.5085009863469168e-06,4.5637588641511684e-07,4.228530485761439e-07,1.3341872318051173e-07,1.0069201294982122e-07,1.7021366716107877e-07,5.869304368388839e-05,2.7171119654667564e-05
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.00016430567484349012,3.248195207561366e-05,1.033544322126545e-05,3.874590038321912e-05,8.360070751223247e-07,4.628342594514834e-06,1.9181714378646575e-05,3.3119995350716636e-06,1.5653207583454787e-06,1.6888759546418441e-06,3.346526500536129e-05,6.565221156051848e-06,1.2601298067238531e-06,1.4566994650522247e-06,1.767759385984391e-05,1.9546332623576745e-06,1.460437761124922e-05,5.533411604119465e-05,9.862677870842163e-06,3.167479690091568e-06,1.0171126632485539e-05,8.425948180956766e-06,3.061333700316027e-05,8.410932059632614e-05,1.9541786969057284e-05,7.321076736843679e-06,9.378296113027318e-07,9.58761120273266e-06,2.8712836410704767e-06,1.6518159782208386e-06,1.0222445325780427e-06,2.1500973161892034e-06,0.0002301120839547366,4.396155782160349e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,3.3067437925637932e-06,1.051191702572396e-06,1.5589060353704554e-07,2.4816523591653095e-07,3.5880657378584146e-07,6.917530299688224e-07,2.2363781226886204e-06,1.1155651009175926e-05,1.5203102066152496e-06,8.433104312643991e-07,5.572229042627441e-07,2.4385263941439916e-07,2.0377581222419394e-07,5.8712632977631074e-08,2.9348254315664235e-07,2.2319555625927023e-07,2.0036140995216556e-06,4.661158357066597e-07,7.361811071859847e-07,3.0627272735728184e-06,3.065993269046885e-06,5.328826318873325e-06,3.3430308121751295e-06,1.2970677971679834e-06,2.919726512118359e-06,2.81925781564496e-06,2.647713017722708e-06,6.766095452803711e-07,4.928860448671912e-07,4.227099452691618e-06,4.081155566382222e-06,4.0326172893401235e-05,0.06457751244306564,0.028546705842018127
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.142951842643015e-07,5.957295456937572e-07,5.052877440903103e-07,1.8181926861871034e-05,2.457401251376723e-07,4.034197687019514e-08,7.973059723553888e-08,1.3679652965947753e-07,2.925637090811506e-06,9.449256594962208e-07,1.2638629414141178e-06,2.670809863047907e-06,3.3419485134800198e-06,3.9279339034692384e-06,5.445996293929056e-07,3.042692853227891e-08,6.316630560831982e-07,7.607686143273895e-07,4.19118777017502e-07,3.418624032747175e-07,1.28109411434707e-06,2.7306882657285314e-06,7.591129360662308e-06,8.58554631122388e-05,3.1452182156499475e-05,0.00010992918396368623,0.0001052001171046868,0.0001443227520212531,0.00023818483168724924,0.00017023058899212629,0.0005949040059931576,0.0008462556288577616,3.727771627382026e-06,4.274486127542332e-05
