Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.2662615517911036e-05,8.977714969660155e-06,6.7137088990421034e-06,1.149732452176977e-05,4.116579020774225e-06,3.1068721000337973e-06,7.12433529770351e-06,1.4484166058537085e-05,1.1991066457994748e-05,1.537484786240384e-05,9.901934390654787e-06,9.124241842073388e-06,1.7983056750381365e-05,3.3844291920104297e-06,8.806910045677796e-06,2.2592216737393755e-06,6.03621128902887e-06,1.628264840292104e-06,1.5565929061267525e-05,1.4471300346485805e-05,1.2519917618192267e-06,5.614602741843555e-06,1.3978722563479096e-05,1.0437740456836764e-05,8.405598782701418e-05,6.586767267435789e-05,3.4016542485915124e-05,4.2489980842219666e-05,0.00015980277385096997,2.3514408894698136e-05,0.0011227556969970465,0.0004787362995557487,0.0011180961737409234,0.0008126531611196697,0.0006666379631496966,0.0021695212926715612,0.0003183066437486559,0.08304648846387863,0.028924861922860146,0.05093839019536972,0.013490816578269005,0.01780024543404579,0.8488836288452148,0.7772655487060547,0.6709060668945312,0.5514542460441589,0.5875540375709534,0.3368595242500305,0.4492741525173187,0.28435108065605164,0.22400861978530884,0.36747434735298157,0.30496034026145935,0.13384684920310974,0.048677682876586914,0.07924652844667435,0.06746269017457962,0.14791074395179749,0.07575751841068268,0.11899399757385254,0.09494556486606598,0.06741590797901154,0.05328405648469925,0.042014043778181076,0.06738470494747162,0.05998382344841957,0.07574227452278137,0.06735537946224213,0.035057809203863144,0.032182514667510986,0.0313895009458065,0.02949686534702778,0.043456438928842545,0.04281960427761078,0.058089811354875565,0.03413383662700653,0.07554902136325836,0.07549447566270828,0.034162189811468124,0.02190706692636013,0.0001257472176803276,0.00335746631026268
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,3.6577262108039577e-06,1.0400692644907394e-06,8.010544843273237e-05,1.1531805284903385e-05,9.563786079525016e-06,2.03856125153834e-05,6.662186024186667e-06,1.633218016650062e-05,1.295805395784555e-05,7.460731467290316e-06,1.4869981896481477e-05,1.661938222241588e-05,5.749279353040038e-06,6.39594554741052e-06,1.358810368401464e-05,1.924193747981917e-05,6.244595715543255e-05,8.709138455742504e-06,3.625520776040503e-06,3.2923027902143076e-05,4.354789052740671e-05,9.903390309773386e-05,2.149698048015125e-05,5.159614829608472e-06,1.6338370187440887e-05,1.300119129155064e-05,4.744805664813612e-06,7.02120860296418e-06,8.696112672623713e-06,1.3331937225302681e-05,3.7310692277969792e-06,2.3506145225837827e-06,4.21876438849722e-06,1.2302521099627484e-06,7.025774948488106e-07,1.3865483197150752e-06,2.899510889164958e-07,3.577326879167231e-06,3.966984877479263e-06,1.3934612752564135e-06,3.3699595860525733e-06,6.002549980621552e-06,5.699453708984947e-07,6.976626991672674e-07,7.314143317671551e-07,2.528647939925577e-07,2.071190010610735e-07,7.838062856535544e-07,2.1458453147715773e-07,8.8069697312676e-08,5.9356498383067446e-08,8.573461229843815e-08,2.683339062059531e-07,9.192590511020171e-08,7.276489100149774e-08,2.0953041968141406e-08,2.8215312752877253e-08,1.242182889882315e-08,8.006793450476835e-09,6.4073129024677655e-09,6.124336149326837e-09,3.084145605569688e-09,3.7616096904002916e-09,2.1831525476301294e-09,6.667685958916536e-09,1.963041951213995e-09,9.767686659500896e-10,4.6473194736940115e-10,1.6960112481090306e-10,6.014048148372808e-10,1.6507719635683316e-09,3.5247409435612553e-09,3.753877209078382e-08,3.7383489370768075e-07,8.89785098934226e-07,8.963735126599204e-06,2.986776735269814e-06,8.272068953374401e-05,0.0001295957190450281,2.358067467866931e-05,0.1128707081079483,0.8184218406677246
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.347110997419804e-05,3.1167728593572974e-05,2.9808363251504488e-05,3.165369344060309e-05,4.988953151041642e-05,0.00047987891593948007,2.5599836590117775e-05,1.116935436584754e-05,5.3264143389242236e-06,1.2452327382561634e-06,1.0748334716481622e-05,9.752560799825005e-06,6.082304480514722e-06,3.761683274206007e-06,9.27227517877327e-07,1.194051719721756e-06,8.492134838888887e-06,3.2302780255122343e-06,1.6744221284170635e-05,1.2086087735951878e-05,1.5825725085960585e-06,4.25798725700588e-06,1.9067888388235588e-06,1.569146479596384e-05,1.1200337212358136e-05,1.3083554222248495e-05,2.502319148334209e-06,3.539954195730388e-05,5.6138385843951255e-05,0.0001186153749586083,4.428406464285217e-05,5.9921472711721435e-05,0.00014003664546180516,0.00019488071848172694,0.000378204247681424,0.0013234653742983937,3.930336606572382e-05,8.094173244899139e-05,0.0002463088894728571,0.00023475458147004247,0.00031593930907547474,0.000677906849887222,0.0001573175104567781,1.58883813128341e-05,0.00011730754340533167,7.097897469066083e-05,9.94168221950531e-05,0.00045989343198016286,0.0003040498122572899,9.738223161548376e-05,0.00037239224184304476,3.338510578032583e-05,0.000439363531768322,9.796835365705192e-05,8.628927025711164e-05,0.00020780516206286848,6.207245314726606e-05,7.024331716820598e-05,4.037799226352945e-05,4.344525950727984e-05,8.373126911465079e-05,7.829191599739715e-05,7.310984074138105e-05,6.303968984866515e-05,3.289927917649038e-05,4.27161248808261e-05,2.9563716452685185e-05,7.267257751664147e-05,7.710567297181115e-05,0.0002760835341177881,6.084656706661917e-05,5.1789716962957755e-05,0.00011369065759936348,1.751395029714331e-05,8.201036689570174e-05,2.8545711757033132e-05,4.14949499827344e-05,0.0003301974793430418,0.00020153862715233117,0.0017896781209856272,8.765982784098014e-05,0.00093993847258389
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,5.223629159445409e-06,3.36648236043402e-06,1.1177237411175156e-06,6.682449225081655e-07,8.13810231647949e-07,5.379697540774941e-07,9.565352456775145e-07,1.1843997071991907e-06,2.8573199983839004e-07,5.016326554141415e-07,9.981761195376748e-07,6.896721060911659e-07,4.703155980223528e-07,8.722294069229974e-07,4.834500373362971e-07,1.1438183946665959e-06,5.444035195978358e-07,2.0899531705254049e-07,3.71731630366412e-07,1.374011446841905e-07,9.455734328867038e-08,3.3346745453854965e-07,2.0035206489410484e-06,4.734588685550989e-07,2.357028847654874e-07,3.331223012992268e-07,1.7263349150198337e-07,6.410205344309361e-08,2.1183785747780348e-07,2.1186977505749383e-07,5.184328529139748e-06,5.329020495992154e-06,1.4179429854266346e-05,6.1717728385701776e-06,1.413430481989053e-06,1.3399757108345511e-06,3.77232436221675e-06,4.5111069084669e-06,9.131970728049055e-06,0.00010123058018507436,9.898157259158324e-06,1.985209792110254e-06,1.1209128842892824e-06,1.1906550980711472e-06,1.3789887134407763e-06,9.03987768197112e-07,1.4152956850921328e-07,1.0688741980402483e-07,4.4666766285672566e-08,8.309557131269685e-08,4.968743638755768e-08,1.2594529863463322e-08,7.913833854900076e-08,2.2013937339693257e-08,5.764381860728918e-09,4.139471876385414e-09,1.2292169948580067e-08,1.1112379461053479e-08,1.0595203825403132e-08,2.909877849788245e-08,1.2093101631194259e-08,1.2312624697585761e-08,1.0810849992992644e-08,2.2752674411208318e-08,8.07534483726613e-09,1.3658213227074611e-08,7.86203191438517e-09,9.277832724308155e-09,2.3788880199049345e-08,1.9802993023176896e-08,8.231207715425626e-08,7.087191988830455e-08,7.39189047749278e-08,9.622007013376788e-08,7.547059510670806e-08,4.5029960915599077e-07,3.0669082207168685e-07,1.9879421415680554e-06,4.652617008105153e-06,1.3601596720036468e-06,0.0019810176454484463,0.0036820208188146353
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,8.863180482876487e-06,6.906175258336589e-06,5.78998105993378e-06,1.0583636367300642e-06,1.1203992471564561e-06,3.028569892649102e-07,4.7385191237481195e-07,3.385546847312071e-07,1.1162667306052754e-06,2.0409238459251355e-06,1.5329385405493667e-06,3.2471971280756406e-06,1.856182962001185e-06,1.4521377806886449e-06,1.972650125026121e-06,1.7599671764401137e-06,3.116706011496717e-06,7.739899047010113e-06,7.489380095648812e-06,3.0560913728550076e-05,5.960535418125801e-06,2.0444772417249624e-06,1.0508655350349727e-06,1.2729282161672018e-06,1.4107791912465473e-06,3.5272230434202356e-06,8.357272918146919e-07,2.5890512915793806e-06,2.7794988000096055e-06,1.4550823834724724e-06,1.6111040395117016e-06,8.999463716463652e-07,1.6741917079343693e-06,4.304815320210764e-06,1.5895357137196697e-06,3.908087819581851e-06,9.843599855230423e-07,4.883331712335348e-06,2.4316432245541364e-06,4.823716608370887e-06,2.256005473100231e-06,2.20572428588639e-06,8.191856068151537e-06,1.3477100765157957e-05,4.898291990684811e-06,3.2763646231614985e-06,4.014169007859891e-06,4.817142780666472e-06,1.4973888028180227e-05,4.036403879581485e-06,7.163872396631632e-06,1.3983853932586499e-05,9.156672604149207e-06,9.753879567142576e-06,8.058127605181653e-06,7.858539902372286e-05,0.00013671512715518475,8.113823423627764e-05,0.0001329107180936262,9.706005948828533e-05,0.00022660681861452758,0.00025130415451712906,0.00027508282801136374,0.00020031750318594277,0.00015594788419548422,0.00024369823222514242,0.00029596101376228034,0.00013302743900567293,0.00019167417485732585,5.313536894391291e-05,0.0001154414057964459,8.841781527735293e-05,5.650467210216448e-05,9.584081271896139e-05,0.00011727993114618585,3.0016128221177496e-05,2.0947985831298865e-05,5.660817987518385e-05,0.000903465086594224,0.0005642167525365949,4.497737972997129e-05,0.0001568612497067079
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0002013931516557932,0.00021696278417948633,0.00012087528011761606,8.41360742924735e-05,0.00019235696527175605,0.00042229730752296746,4.6244047553045675e-05,6.099858364905231e-05,0.0001860105840023607,4.630557305063121e-05,3.351963096065447e-05,4.7435067244805396e-05,2.2857155272504315e-05,1.8333355910726823e-05,1.4088206626183819e-05,7.966656994540244e-06,0.00011567200999706984,8.847087883623317e-05,0.00029863303643651307,2.5872055630316027e-05,1.4996956451795995e-05,4.915899808111135e-06,8.749543667363469e-06,9.060764568857849e-06,4.2612820834619924e-05,9.739111555973068e-05,3.7019479350419715e-05,0.00013130373554304242,0.00025993952294811606,0.0007459229091182351,0.000902626954484731,0.0004138349904678762,0.0008193254470825195,0.00044666967005468905,0.0014379246858879924,0.001242293044924736,6.778931856388226e-05,0.0005183995817787945,0.00013568416761700064,0.0001557844370836392,3.830306013696827e-05,0.00018935510888695717,1.3098068848194089e-05,9.820753803069238e-06,9.261941158911213e-06,1.2834037988795899e-05,2.0449311705306172e-05,0.00012552828411571681,0.00023757535382173955,0.0004909939016215503,0.0004456921305973083,0.00010242758435197175,0.0003729230083990842,0.00020679831504821777,0.00014784690574742854,0.00024066705373115838,6.17771438555792e-05,3.971339174313471e-05,2.4391343686147593e-05,5.11372672917787e-05,8.892516780178994e-05,3.747116352315061e-05,0.00012626948591787368,5.094267908134498e-05,3.223402745788917e-05,1.2907489690405782e-05,2.3720785975456238e-05,3.658402420114726e-05,1.3133543689036742e-05,0.00011223236651858315,7.863366772653535e-05,7.827221452316735e-06,8.646616151963826e-06,4.504372918745503e-05,2.4909286366892047e-05,9.902959391183686e-06,9.363943718199152e-06,1.095997777156299e-05,1.6030011465772986e-05,3.6955494579160586e-05,0.0021015105303376913,0.003255456918850541
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.0215379688816029e-06,3.02286616715719e-06,2.2655396605841815e-05,1.2026845297441469e-06,3.289339929324342e-06,1.1809347597591113e-06,7.932156904644216e-07,9.529288149678905e-07,2.377737473580055e-06,9.149914035333495e-07,1.6446840163553134e-05,2.080097510770429e-05,0.00019791643717326224,1.9494988009682857e-05,1.604601857252419e-05,3.6380267829372315e-06,4.686602096626302e-06,5.63290359423263e-06,1.7715025023790076e-05,8.631919627077878e-06,2.129862650690484e-06,1.154467918240698e-05,7.44899125493248e-06,2.511856655473821e-05,2.0944116840837523e-06,3.4654226510610897e-06,6.502948508568807e-07,3.708694578108407e-07,8.756969691603445e-07,2.259077547250854e-07,1.018631905935763e-06,1.6290488247250323e-06,3.3326300581393298e-06,4.03214335165103e-06,1.9431745386100374e-06,1.0500108373889816e-06,5.181196229386842e-06,2.4192770524678053e-06,8.040836405598384e-07,8.786643661551352e-07,7.08452716935426e-07,7.828048183000647e-06,4.367984729469754e-06,1.954735580511624e-06,1.093930450224434e-06,5.053110726294108e-06,2.81163988802291e-06,4.835354957322124e-06,4.0524423638999e-06,4.825991254620021e-06,2.1626526631735032e-06,4.566815277939895e-06,2.046863528448739e-06,2.949083864223212e-06,2.8021981961501297e-06,6.754088417437742e-07,5.156398970029841e-07,4.820494723389857e-07,3.2360790669372363e-07,2.326053305523601e-07,1.4802030534610822e-07,2.437644468500366e-07,4.0471942952535755e-07,6.691293492622208e-07,8.181826842701412e-07,2.8255351480765967e-07,1.470387474000745e-07,1.343141349252619e-07,2.1285356410771783e-07,2.1277860184909514e-07,1.2843514696214697e-07,6.518533268717874e-08,1.2709320174053573e-07,2.783485513191408e-07,1.8561765102731442e-07,4.576457968141767e-07,1.3048064317899843e-07,6.429425525311672e-07,2.548030124671641e-07,2.1918216930316703e-07,0.0003488212823867798,0.00012365543807391077
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.00042318410123698413,0.00029974832432344556,0.00013096064503770322,0.0002495297812856734,0.00024186873633880168,3.892503082170151e-05,5.496657468029298e-05,3.265985651523806e-05,0.00013091736764181405,6.268769357120618e-05,4.515537511906587e-06,3.0091070584603585e-05,5.905870420974679e-05,1.4595715583709534e-05,0.0003464290057308972,0.00022390083177015185,0.00010817416477948427,0.00020332250278443098,0.00021083236788399518,0.00021517954883165658,0.0001352387189399451,0.00018879199342336506,4.6358069084817544e-05,2.3795803372195223e-06,7.124679996195482e-06,2.606629095680546e-06,3.575327809812734e-06,3.5662451409734786e-05,1.0029558325186372e-05,1.693571721261833e-05,2.3829265046515502e-05,6.885120092192665e-05,0.00041380347101949155,0.00011169794743182138,0.00021846190793439746,0.00024395110085606575,0.00014352041762322187,1.172198881249642e-05,0.00011824562534457073,7.826612090866547e-06,0.0001804082130547613,0.00013356572890188545,3.2358646421926096e-05,1.5448602425749414e-05,3.2921179808909073e-06,8.808662641968112e-06,1.7497700355306733e-06,1.5206844182102941e-05,1.4198298231349327e-05,4.928769158141222e-06,4.541987073025666e-05,1.703068301139865e-05,1.1098710274382029e-05,4.395633368403651e-05,5.270425390335731e-05,1.0210415894107427e-05,4.784163320437074e-05,6.355148070724681e-05,0.0005611581145785749,0.000665130268316716,0.001494496245868504,0.012669641524553299,0.034307412803173065,0.022461488842964172,0.05867226794362068,0.4597913324832916,0.15227018296718597,0.4154379665851593,0.19832687079906464,0.2150881439447403,0.5440274477005005,0.919048547744751,0.992413341999054,0.989972710609436,0.978224515914917,0.9890985488891602,0.9906715154647827,0.9982907176017761,0.8685920238494873,0.9429301023483276,4.840598558075726e-05,0.054478343576192856
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,1.7358000832246034e-06,1.771746980239186e-07,4.972585543328023e-08,6.136518493349286e-08,1.9258941108546423e-07,6.152142191240273e-07,1.4828172822944907e-07,8.986737753957641e-08,2.0663536304255103e-07,1.4059743591587903e-07,2.312732334530665e-07,2.9682848889933666e-07,1.0015260443196894e-07,1.3466687676100264e-07,8.247691596352524e-08,9.983013882219893e-08,1.332931418573935e-07,1.5127700692119106e-07,4.004752724995342e-07,3.7253607843013015e-07,5.338541200217151e-07,9.861313401415828e-07,4.988410751138872e-07,2.038847014773637e-06,9.336518814961892e-06,4.81291954201879e-06,5.30500926743116e-07,6.28866132501571e-07,6.759627808605728e-07,1.8743043028734974e-06,1.3699045666726306e-06,1.0139979167433921e-06,6.010762376718048e-07,1.0898415894189384e-06,1.1826950867543928e-06,2.512173296054243e-07,3.440200941895455e-07,1.7972511159314308e-06,1.0805081274156692e-06,9.5975838121376e-07,9.037395898303657e-07,1.7535096503706882e-06,6.343194399960339e-05,7.129852747311816e-05,0.00018023839220404625,0.0001017875038087368,9.19350641197525e-05,0.00010705328895710409,9.19903177418746e-05,0.00011264349450357258,0.00011698732123477384,9.1809437435586e-05,5.494390643434599e-05,7.663706492166966e-05,5.463708657771349e-05,2.7029371267417446e-05,3.7629131838912144e-05,3.7481135223060846e-05,4.574773629428819e-05,2.7717023840523325e-05,3.0883536965120584e-05,1.5985329810064286e-05,2.5698269382701255e-05,1.2310983038332779e-05,6.713762559229508e-06,5.234180662228027e-06,7.853830538806506e-06,1.2412233445502352e-05,2.4148157535819337e-05,3.489118171273731e-05,3.908721191692166e-05,9.822360152611509e-05,0.00010842782648978755,6.775285146431997e-05,3.788765025092289e-05,6.945972563698888e-05,7.670563718420453e-06,1.9757314930757275e-06,1.1950356793022365e-06,6.565124408552947e-07,0.4517287313938141,0.0672052800655365
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,1.4961815395508893e-06,3.4995928217540495e-06,3.1929575925460085e-06,0.00010427959932712838,2.6483032343094237e-05,0.00013332246453501284,0.0002046601293841377,0.0002716666494961828,3.8568134186789393e-05,0.0001797953445930034,0.0002620196028146893,3.0458535547950305e-05,6.487139216915239e-06,3.502826803014614e-05,4.311917109589558e-06,2.039623041127925e-06,1.1555947594388272e-06,1.2872211527792388e-06,1.664092565079045e-06,3.2645893952576444e-06,7.323527825064957e-05,3.63656145054847e-05,6.226083314686548e-06,1.4114203622739296e-05,9.22154140425846e-06,2.337083606107626e-05,2.1395548174041323e-05,8.500093827024102e-06,7.114644176908769e-06,4.352002179075498e-06,3.597881459427299e-06,1.6770617321526515e-06,2.6973802391694335e-07,2.2644954356110247e-07,6.406401098502101e-07,4.436746166902594e-06,3.623422117016162e-06,2.3806380795576843e-06,2.377006921960856e-06,2.2272556634561624e-06,2.018693749050726e-06,2.7755088467529276e-06,1.734340185066685e-05,1.6296708054142073e-05,3.939866292057559e-05,6.91639434080571e-05,2.1090436348458752e-05,3.398502667550929e-05,2.93383163807448e-05,1.1117313079012092e-06,1.3425237739284057e-06,1.6640527746858425e-06,6.9033526415296365e-06,1.0719641068135388e-06,1.0147812645300291e-05,1.6636991858831607e-05,7.764212932670489e-05,0.00025777253904379904,0.00029456039192155004,0.00016514566959813237,0.0001184324428322725,8.219210576498881e-05,8.93191754585132e-05,7.47664671507664e-05,0.00012126785441068932,5.693114144378342e-05,7.255018863361329e-05,9.054162364918739e-05,0.0001047493569785729,0.00011236339923925698,8.356173930224031e-05,0.00013329442299436778,0.00014433098840527236,0.00016513797163497657,0.00013123879034537822,0.0004461481876205653,0.00033574883127585053,6.897012644913048e-05,0.00014467253640759736,0.00012445476022548974,7.766246199025773e-06,4.225887096254155e-05
