Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,ans_prob_lens_edit_layer12,ans_prob_lens_edit_layer13,ans_prob_lens_edit_layer14,ans_prob_lens_edit_layer15,ans_prob_lens_edit_layer16,ans_prob_lens_edit_layer17,ans_prob_lens_edit_layer18,ans_prob_lens_edit_layer19,ans_prob_lens_edit_layer20,ans_prob_lens_edit_layer21,ans_prob_lens_edit_layer22,ans_prob_lens_edit_layer23,ans_prob_lens_edit_layer24,ans_prob_lens_edit_layer25,ans_prob_lens_edit_layer26,ans_prob_lens_edit_layer27,ans_prob_lens_edit_layer28,ans_prob_lens_edit_layer29,ans_prob_lens_edit_layer30,ans_prob_lens_edit_layer31,ans_prob_lens_edit_layer32,ans_prob_lens_edit_layer33,ans_prob_lens_edit_layer34,ans_prob_lens_edit_layer35,ans_prob_lens_edit_layer36,ans_prob_lens_edit_layer37,ans_prob_lens_edit_layer38,ans_prob_lens_edit_layer39,ans_prob_lens_edit_layer40,ans_prob_lens_edit_layer41,ans_prob_lens_edit_layer42,ans_prob_lens_edit_layer43,ans_prob_lens_edit_layer44,ans_prob_lens_edit_layer45,ans_prob_lens_edit_layer46,ans_prob_lens_edit_layer47,ans_prob_lens_edit_layer48,ans_prob_lens_edit_layer49,ans_prob_lens_edit_layer50,ans_prob_lens_edit_layer51,ans_prob_lens_edit_layer52,ans_prob_lens_edit_layer53,ans_prob_lens_edit_layer54,ans_prob_lens_edit_layer55,ans_prob_lens_edit_layer56,ans_prob_lens_edit_layer57,ans_prob_lens_edit_layer58,ans_prob_lens_edit_layer59,ans_prob_lens_edit_layer60,ans_prob_lens_edit_layer61,ans_prob_lens_edit_layer62,ans_prob_lens_edit_layer63,ans_prob_lens_edit_layer64,ans_prob_lens_edit_layer65,ans_prob_lens_edit_layer66,ans_prob_lens_edit_layer67,ans_prob_lens_edit_layer68,ans_prob_lens_edit_layer69,ans_prob_lens_edit_layer70,ans_prob_lens_edit_layer71,ans_prob_lens_edit_layer72,ans_prob_lens_edit_layer73,ans_prob_lens_edit_layer74,ans_prob_lens_edit_layer75,ans_prob_lens_edit_layer76,ans_prob_lens_edit_layer77,ans_prob_lens_edit_layer78,ans_prob_lens_edit_layer79,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,1.2370881449896842e-05,8.670835086377338e-06,5.710519872081932e-06,9.644360943639185e-06,3.5770908652921207e-06,2.8199906410009135e-06,5.546728971239645e-06,1.3394112102105282e-05,1.0273010047967546e-05,1.2822181815863587e-05,7.897465366113465e-06,7.267901764862472e-06,1.3914328519604169e-05,2.528152890590718e-06,7.378826467174804e-06,1.6410780290243565e-06,4.560750767268473e-06,1.2103570270483033e-06,1.2510780834418256e-05,1.1605066902120598e-05,9.526650615043764e-07,4.65993070974946e-06,1.1635453120106831e-05,8.968997462943662e-06,6.682639650534838e-05,5.542715734918602e-05,2.7608793971012346e-05,3.5360120818950236e-05,0.00013598446093965322,2.0287752704462036e-05,0.0010140499798581004,0.00038424425292760134,0.0009277751087211072,0.0007048712577670813,0.0005643154727295041,0.0018589458195492625,0.0002752632135525346,0.06989836692810059,0.02350012958049774,0.041677240282297134,0.011133997701108456,0.01586099900305271,0.8619602918624878,0.7532815337181091,0.6697204113006592,0.580446720123291,0.5867578983306885,0.3359089195728302,0.4475906491279602,0.29048189520835876,0.2319672554731369,0.3649066090583801,0.3057868182659149,0.13239814341068268,0.0483895018696785,0.08366649597883224,0.07573986798524857,0.16432464122772217,0.08495502173900604,0.14773082733154297,0.10612601041793823,0.07567359507083893,0.05325800180435181,0.053271204233169556,0.06734724342823029,0.06739890575408936,0.08491067588329315,0.07555220276117325,0.03658009320497513,0.03188539296388626,0.03455796465277672,0.0305323489010334,0.04659834876656532,0.04699790105223656,0.061612069606781006,0.04024318978190422,0.0765867680311203,0.06813684105873108,0.031838227063417435,0.01921108178794384,0.0001257472176803276,0.00335746631026268
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.976720795937581e-06,7.381323143818008e-07,8.320110646309331e-05,9.903824320645072e-06,8.494224857713562e-06,1.835642433434259e-05,5.593636160483584e-06,1.458919814467663e-05,1.0817611837410368e-05,6.292935722740367e-06,1.2935457561980002e-05,1.359774250886403e-05,4.88124987896299e-06,5.2611721912398934e-06,1.120935303333681e-05,1.6256553863058798e-05,5.481993866851553e-05,7.387945970549481e-06,3.0652286113763694e-06,2.8753274818882346e-05,3.859282878693193e-05,9.045254410011694e-05,1.8997863662661985e-05,4.820773028768599e-06,1.4486850886896718e-05,1.1997248293482699e-05,4.101327249372844e-06,5.656732355419081e-06,7.569688932562713e-06,1.1350015483913012e-05,2.920821771112969e-06,1.7569559531693812e-06,3.1585370834363857e-06,9.302285661760834e-07,5.27246129422565e-07,1.0540971970840474e-06,2.2052016390716744e-07,2.6737302505353e-06,3.0523885925504146e-06,1.073312091648404e-06,2.3938184767757775e-06,4.294799055060139e-06,3.9431657228305994e-07,4.701947489138547e-07,4.887301088274398e-07,1.756663863261565e-07,1.4214698751402466e-07,5.808337277812825e-07,1.463121179767768e-07,6.046964529105026e-08,4.504465778154554e-08,6.176595235274362e-08,1.9768211245718703e-07,6.730599722004627e-08,5.233902911072619e-08,1.6115729195576023e-08,1.8885359054365836e-08,8.365555359546306e-09,5.118799162318055e-09,4.22437196334613e-09,3.7002798602969733e-09,1.917175529442261e-09,2.286728584266484e-09,1.2109399039061941e-09,4.299903100246638e-09,1.1238071584429576e-09,5.729215435401613e-10,2.4711821478007323e-10,1.0774794251267039e-10,3.860465280780545e-10,9.216097884845453e-10,2.002254140265336e-09,2.253595177137413e-08,1.9170335008311667e-07,4.5204123466646706e-07,4.405110757943476e-06,1.3744345324084861e-06,3.46859815181233e-05,5.2539267926476896e-05,1.0108351489179768e-05,0.1128707081079483,0.8184218406677246
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,5.3646705055143684e-05,2.5964220185414888e-05,2.7366006179363467e-05,2.275940278195776e-05,3.576117887860164e-05,0.0004111461457796395,1.8087561329593882e-05,7.723874659859575e-06,3.7669367429771228e-06,9.581523272572667e-07,9.051054803421721e-06,8.002783943084069e-06,5.128967131895479e-06,2.8886456675536465e-06,7.173293852247298e-07,8.94272773166449e-07,6.613719506276539e-06,2.4223766104114475e-06,1.2440151294867974e-05,1.0184812708757818e-05,1.3346538025871268e-06,3.7865672766201897e-06,1.665726131250267e-06,1.3186281648813747e-05,9.424217751075048e-06,1.1328600521665066e-05,2.0253992261132225e-06,2.898987804655917e-05,4.744438410853036e-05,9.820645936997607e-05,3.3202781196450815e-05,4.3603944504866377e-05,0.00010811730317072943,0.00015046191401779652,0.00031807838240638375,0.001172453979961574,3.266874045948498e-05,6.976867734920233e-05,0.00020644391770474613,0.00021445471793413162,0.00027256293105892837,0.0005858128424733877,0.0001323429896729067,1.2416600839060266e-05,9.14864576770924e-05,5.6980490626301616e-05,7.881001511123031e-05,0.0003723371773958206,0.0002486295416019857,7.218973041744903e-05,0.00030481882276944816,2.476055669831112e-05,0.00034256093204021454,7.07118451828137e-05,6.167151150293648e-05,0.00015655424795113504,4.528275894699618e-05,4.959664147463627e-05,2.9229015126475133e-05,3.130966433673166e-05,6.259291694732383e-05,6.537514855153859e-05,5.413736289483495e-05,4.797419751412235e-05,2.429362757538911e-05,3.140621629427187e-05,2.2444473870564252e-05,5.218531805439852e-05,5.4964079026831314e-05,0.00022554081806447357,5.2355222578626126e-05,4.022033681394532e-05,8.790199353825301e-05,1.3172575563658029e-05,5.85910674999468e-05,2.2520447600982152e-05,2.7680545827024616e-05,0.00022621343669015914,0.00014415122859645635,0.0014101716224104166,8.765982784098014e-05,0.00093993847258389
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,6.269283858273411e-06,4.0477889342582785e-06,1.1610651426963159e-06,6.574964004357753e-07,6.554050173690484e-07,4.5740210907752044e-07,7.271515300999454e-07,9.409906738255813e-07,2.3427119799634966e-07,4.16502274447339e-07,7.916676736385853e-07,5.178016522222606e-07,3.6349814536151825e-07,7.330367566282803e-07,4.2736945715660113e-07,1.0254291282763006e-06,5.111986638439703e-07,1.8519358491175808e-07,3.322467421185138e-07,1.2001387972304656e-07,8.41732159528874e-08,3.029804531706759e-07,1.8653951201486052e-06,4.3034904706473753e-07,2.1752560996901593e-07,2.978431439260021e-07,1.44494123333061e-07,5.3109907582893356e-08,1.7379076666657056e-07,1.7274030028602283e-07,4.365452696220018e-06,4.349958544480614e-06,1.1715154869307298e-05,4.976864147465676e-06,1.1496530305521446e-06,1.1395769661248778e-06,3.2912757887970656e-06,3.8014707115507917e-06,7.720245775999501e-06,7.906010432634503e-05,8.004180926945992e-06,1.5818357042007847e-06,8.204294772440335e-07,8.379204246011795e-07,1.001889017970825e-06,6.55407632166316e-07,9.878415596631385e-08,7.735932427976877e-08,3.279366467268119e-08,5.975235950472779e-08,3.674033877132388e-08,9.337264295083969e-09,5.796763247190029e-08,1.6204873887204485e-08,4.431496503087828e-09,3.111990443116497e-09,9.187654192999162e-09,8.81438211308705e-09,8.229380732416303e-09,2.2727750348394693e-08,9.5965084767613e-09,1.0062518818187982e-08,8.600935963443135e-09,1.824144746365164e-08,6.291899001809043e-09,1.0880072842667232e-08,5.698165495005014e-09,7.08227210211021e-09,1.696350082625031e-08,1.3405498933138915e-08,6.178600386874677e-08,5.2126882366110294e-08,5.639663669398942e-08,7.145666103269832e-08,5.5659544528907645e-08,3.238917543058051e-07,2.1757534796051914e-07,1.4396234746527625e-06,3.1761242098582443e-06,9.063599577530113e-07,0.0019810176454484463,0.0036820208188146353
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,9.611558198230341e-06,6.852346359664807e-06,5.306318143993849e-06,7.425000490002276e-07,8.260135473392438e-07,2.3795674053417315e-07,3.410851263652148e-07,2.2490972639843676e-07,7.54692905502452e-07,1.384958181915863e-06,8.871434715729265e-07,1.8782114921123139e-06,1.0912896186709986e-06,9.046389664035814e-07,1.1335611134200008e-06,1.2714189097096096e-06,2.255757635793998e-06,5.6388016673736274e-06,5.404535386333009e-06,2.2854686903883703e-05,3.7734757825091947e-06,1.3631860156237963e-06,7.59283523166232e-07,8.644566946713894e-07,9.107633331950638e-07,2.3816940029064426e-06,6.05806860676239e-07,1.931408860400552e-06,1.851143906606012e-06,1.0710501783250947e-06,1.0664617775546503e-06,6.132615908427397e-07,1.0861123200811562e-06,2.7416385819378775e-06,9.679312142907293e-07,2.3662919375055935e-06,6.189972623360518e-07,3.247930862926296e-06,1.652882929192856e-06,3.199547791155055e-06,1.590690885677759e-06,1.4830828831691178e-06,5.542515282286331e-06,9.612433132133447e-06,3.367940280440962e-06,2.0870738808298483e-06,2.4104638214339502e-06,2.9255186291266e-06,8.765741768002044e-06,2.5290128178312443e-06,4.215020908304723e-06,8.118128789647017e-06,5.0770154302881565e-06,5.469769348565023e-06,4.84103156850324e-06,4.78894762636628e-05,8.993182564154267e-05,5.1072664064122364e-05,8.735901064937934e-05,6.65004990878515e-05,0.0001484159438405186,0.00016094221791718155,0.00019055481243412942,0.00018675623869057745,0.00012633552250918,0.00020333526481408626,0.0002646782959345728,0.00011063288548029959,0.0001602122065378353,3.5057830245932564e-05,7.434462895616889e-05,5.987134136375971e-05,3.972114427597262e-05,7.42178744985722e-05,8.508825703756884e-05,3.393241058802232e-05,1.3384946214500815e-05,3.704765549628064e-05,0.0007759134750813246,0.00036623902269639075,4.497737972997129e-05,0.0001568612497067079
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.00013178882363718003,0.00022486793750431389,0.00010917495092144236,5.947204408585094e-05,0.00012578787573147565,0.0003277607320342213,3.016607297467999e-05,4.066890323883854e-05,0.00013630001922138035,3.6361267120810226e-05,2.8550955903483555e-05,3.6889221519231796e-05,1.9244289433117956e-05,1.3622437109006569e-05,1.2363808309601154e-05,5.685540600097738e-06,8.733298454899341e-05,6.595161539735273e-05,0.00023448468709830195,2.4100545488181524e-05,1.3397201655607205e-05,4.783482836501207e-06,8.157417141774204e-06,8.352719305548817e-06,3.836713221971877e-05,8.887956937542185e-05,2.9688415452255867e-05,0.00010533372551435605,0.00021514100080821663,0.0006387049215845764,0.0007446834351867437,0.00034465189673937857,0.0006383084692060947,0.0003430626238696277,0.0011577995028346777,0.0009552109404467046,5.219192826189101e-05,0.0004243885923642665,0.00010316762927686796,0.00011863667168654501,2.893530654546339e-05,0.00013352511450648308,9.47812350204913e-06,6.7232335823064204e-06,6.1895766521047335e-06,8.958214493759442e-06,1.4119127627054695e-05,9.257819328922778e-05,0.000162546057254076,0.0003316417569294572,0.0003128807002212852,6.710736488457769e-05,0.00026156898820772767,0.00013504274829756469,9.87634775810875e-05,0.00016573180619161576,4.1461378714302555e-05,2.596479498606641e-05,1.6500371202710085e-05,3.354662476340309e-05,6.164137448649853e-05,2.6436417101649567e-05,8.445242565358058e-05,3.3871889172587544e-05,2.1664398445864208e-05,8.833748324832413e-06,1.621781302674208e-05,2.5524293960188515e-05,8.448283551842906e-06,8.6371845100075e-05,6.405752355931327e-05,5.692390914191492e-06,6.151837624202017e-06,3.377644679858349e-05,1.6582660464337096e-05,8.154022907547187e-06,5.896865332033485e-06,8.145778338075615e-06,1.1321472811687272e-05,2.75447491731029e-05,0.0021015105303376913,0.003255456918850541
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,1.278409399674274e-06,4.610995802067919e-06,2.992018562508747e-05,1.4792890397075098e-06,4.245261152391322e-06,1.3898400084144669e-06,8.523623478140507e-07,1.0538856258790474e-06,2.6090608571394114e-06,9.72080101746542e-07,1.8689541320782155e-05,2.1392563212430105e-05,0.00019777388661168516,2.156544360332191e-05,1.7912048861035146e-05,3.67817779078905e-06,4.866688868787605e-06,5.802607574878493e-06,1.915150642162189e-05,9.796453923627269e-06,2.3155444068834186e-06,1.1641723176580854e-05,8.074190191109665e-06,2.6602718207868747e-05,2.1312685021257494e-06,3.4953277463500854e-06,6.093123374739662e-07,3.3964707313316467e-07,8.22264951239049e-07,2.0808892031709547e-07,9.6104724889301e-07,1.5145525367188384e-06,3.052232386835385e-06,3.825824478553841e-06,1.821022124204319e-06,9.744480848894455e-07,4.842113412450999e-06,2.333644033569726e-06,7.952860983095889e-07,9.041619364325015e-07,7.081681587806088e-07,7.995087798917666e-06,4.377074674266623e-06,1.937891056513763e-06,1.0922163937721052e-06,4.9926634346775245e-06,2.735579982982017e-06,4.767367499880493e-06,3.841495527012739e-06,4.93256948175258e-06,2.0904406028421363e-06,4.426052328199148e-06,1.8691433751882869e-06,2.706510940697626e-06,2.637434590724297e-06,6.289394605119014e-07,4.942716032019234e-07,4.389738705867785e-07,3.164654458487348e-07,2.2370326746568026e-07,1.3869626513951516e-07,2.2800783483489795e-07,3.8095669196991366e-07,6.180629839036555e-07,7.184738706200733e-07,2.4891710381780285e-07,1.2691933193309524e-07,1.228491726124048e-07,1.9609349521942931e-07,1.9729284872482822e-07,1.167658112422032e-07,5.696979243907663e-08,1.1225270668546727e-07,2.405985242148745e-07,1.623844525511231e-07,3.903354865997244e-07,1.0887822554650484e-07,5.577103934228944e-07,2.0586408311373816e-07,1.6984928663532628e-07,0.0003488212823867798,0.00012365543807391077
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.00045220277388580143,0.00031090190168470144,9.515136480331421e-05,0.000187359590199776,0.00023140478879213333,3.0247756512835622e-05,4.4285337935434654e-05,2.4742717869230546e-05,0.00010443561768624932,4.552935570245609e-05,3.7690194858441828e-06,2.9808572435285896e-05,4.8499870899831876e-05,1.1435665328463074e-05,0.0003157273749820888,0.00020772241987287998,8.631453238194808e-05,0.0001889820268843323,0.00016168270667549223,0.00017031804600264877,0.00010155698691960424,0.00014916520740371197,4.311165685066953e-05,1.949746319951373e-06,6.138491698948201e-06,2.495555008863448e-06,3.0999392492958577e-06,3.2233008823823184e-05,8.579383575124666e-06,1.4499053577310406e-05,2.057984056591522e-05,5.9696121752494946e-05,0.0003523903724271804,9.75981674855575e-05,0.00019966994295828044,0.00020869912987109274,0.00011713244748534635,1.0182807272940408e-05,0.0001065469768946059,7.097605248418404e-06,0.0001605503639439121,0.00012416181562002748,3.171059142914601e-05,1.270187658519717e-05,2.641014816617826e-06,7.080052000674186e-06,1.025483243211056e-06,1.3219702850619797e-05,1.121239984058775e-05,3.7610373055940727e-06,3.290232416475192e-05,1.2071091987309046e-05,8.209277439163998e-06,2.989340828207787e-05,3.646672121249139e-05,7.362512860709103e-06,3.327820013510063e-05,4.03115845983848e-05,0.00037154240999370813,0.00041168389725498855,0.0009664481622166932,0.008253541775047779,0.023418402299284935,0.015462123788893223,0.04239913821220398,0.3611453175544739,0.10555867850780487,0.33914563059806824,0.17140744626522064,0.1698896437883377,0.4457864463329315,0.8922792673110962,0.9898345470428467,0.9872029423713684,0.9745675921440125,0.9843632578849792,0.9857732653617859,0.9979814291000366,0.8071314692497253,0.9179720878601074,4.840598558075726e-05,0.054478343576192856
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.0949191821273416e-06,1.907374524989791e-07,5.170732109149867e-08,6.154717624440309e-08,2.302588768543501e-07,6.231224460861995e-07,1.2999008447422966e-07,8.199656065244199e-08,2.1337295663670375e-07,1.338684256779743e-07,2.2344909211824415e-07,2.786645723062975e-07,9.143546719769802e-08,1.268061993187075e-07,7.725225970034444e-08,8.738188483903286e-08,1.2431206641849712e-07,1.4632180977969256e-07,3.686446348183381e-07,3.3228147344743775e-07,4.74557367624584e-07,8.979440053735743e-07,4.5284488692232117e-07,1.7037918951245956e-06,7.983753675944172e-06,4.169415205979021e-06,4.555156465357868e-07,5.381275514082517e-07,5.84305155371112e-07,1.5855916899454314e-06,1.1671214679154218e-06,8.060533787102031e-07,4.943597105011577e-07,9.036366463988088e-07,9.899002861857298e-07,2.2220297068997752e-07,2.971096080273128e-07,1.3821004358760547e-06,8.501380079906085e-07,7.566746944576153e-07,7.367790431089816e-07,1.4444580074268742e-06,4.160117532592267e-05,4.859295586356893e-05,0.00012616168532986194,7.140528759919107e-05,6.333424971671775e-05,7.354717672569677e-05,6.699701771140099e-05,7.91629936429672e-05,8.395215263590217e-05,6.98012372595258e-05,3.944132913602516e-05,5.524511288967915e-05,3.934028063667938e-05,1.9212980987504125e-05,2.26837564696325e-05,2.3018876163405366e-05,2.5760900825844146e-05,1.6487509128637612e-05,1.9308195987832732e-05,9.910082553687971e-06,1.552280991745647e-05,7.444452421623282e-06,3.590319465729408e-06,2.8031979582010536e-06,4.298924523027381e-06,6.56848487778916e-06,1.2839524970331695e-05,1.7609898350201547e-05,1.9481820345390588e-05,5.1976840040879324e-05,5.874105045222677e-05,3.8485559343826026e-05,2.3603874069522135e-05,4.041949432576075e-05,4.971432190359337e-06,1.3301716990099521e-06,8.125383601509384e-07,3.907527172941627e-07,0.4517287313938141,0.0672052800655365
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,1.4983340861363104e-06,4.0556592466600705e-06,3.047306108783232e-06,0.00012476036499720067,2.37377971643582e-05,0.00013446791854221374,0.0001691221259534359,0.00025192194152623415,3.22546657116618e-05,0.000162808908498846,0.00023913706536404788,2.6508725568419322e-05,5.329705345502589e-06,2.9399701816146262e-05,3.594767122194753e-06,1.6936447764237528e-06,9.602809996067663e-07,1.0493283753021387e-06,1.3232054243417224e-06,2.6513307602726854e-06,5.9188445447944105e-05,3.105631549260579e-05,5.4061601986177266e-06,1.1648976396827493e-05,7.657949936401565e-06,1.9440409232629463e-05,1.650429840083234e-05,6.683781975880265e-06,5.857523319718894e-06,3.51261019204685e-06,3.012625938936253e-06,1.4207429330781451e-06,2.2054496184864547e-07,1.9391690386783011e-07,5.698560698874644e-07,3.914262379112188e-06,2.9743584946118062e-06,2.044886969088111e-06,2.1363773612392833e-06,2.0388124539749697e-06,1.733595013320155e-06,2.5899146294250386e-06,1.5122663171496242e-05,1.4257767361414153e-05,3.445630500209518e-05,5.693597995559685e-05,1.648851321078837e-05,2.690840483410284e-05,2.3583468646393158e-05,1.0289129477314418e-06,1.1837770443889895e-06,1.5998189155652653e-06,5.778842023573816e-06,1.087697341972671e-06,8.67838207341265e-06,1.5407465980388224e-05,5.974905798211694e-05,0.00021717105119023472,0.00023873458849266171,0.00014347024261951447,9.855916869128123e-05,6.912313983775675e-05,7.087526319082826e-05,5.639547453029081e-05,9.94790971162729e-05,5.026433791499585e-05,5.731323471991345e-05,6.954625860089436e-05,7.85624870331958e-05,7.975522748893127e-05,7.589824235765263e-05,0.00012596814485732466,0.00011769461707444862,0.0001372148108202964,0.00011751169222407043,0.0004077169287484139,0.0002829137956723571,7.265613385243341e-05,0.00015409955813083798,0.00013607523578684777,7.766246199025773e-06,4.225887096254155e-05
