rank,budget_pair,total_budget,step,status,final_kl,mean_kl,early_kl_0_3
1,256+256,512,1000,complete,0.1841723769903183,1.1444793331126373,1.8603573739528656
1,512+512,1024,1000,complete,0.14048084616661072,1.2263893162210782,1.9327358901500702
1,512+1024,1536,1000,complete,0.1346590667963028,1.0807130821049213,1.759790450334549
1,768+768,1536,1000,complete,0.13327564299106598,1.0663374327123165,1.7498506903648376
1,1024+512,1536,1000,complete,0.12063998728990555,1.0496947634965181,1.7300693690776825
1,1024+1024,2048,1000,complete,0.11820891499519348,1.0517489363749821,1.7341977059841156
4,256+256,512,1000,complete,0.16866043210029602,0.9613901923100153,1.5437828600406647
4,512+512,1024,1000,complete,0.13781483471393585,0.9358423886199793,1.5145445764064789
4,512+1024,1536,1000,complete,0.121974416077137,0.9148514736443758,1.4820715188980103
4,768+768,1536,1000,complete,0.12174089252948761,0.9199654534459114,1.4890512228012085
4,1024+512,1536,1000,complete,0.11399758607149124,0.9116723071783781,1.477995902299881
4,1024+1024,2048,1000,complete,0.11622986942529678,0.9161796923726797,1.4749061465263367
8,256+256,512,1000,complete,0.1838015466928482,0.9132402576506138,1.4421811699867249
8,512+512,1024,1000,complete,0.15287970006465912,0.8804186706741651,1.403582751750946
8,512+1024,1536,625,partial,0.1223297268152237,0.9432767716546854,1.5890229642391205
8,768+768,1536,1000,complete,0.13170225918293,0.8585586696863174,1.3687899112701416
8,1024+512,1536,625,partial,0.12247584015130997,1.0355412506808837,1.7401824295520782
8,1024+1024,2048,1000,complete,0.13092562556266785,0.9681265726685524,1.5550669729709625
16,256+256,512,1000,complete,0.18093325197696686,0.8552889612813791,1.325347512960434
16,512+512,1024,1000,complete,0.15046362578868866,0.8384009699026743,1.3161821961402893
16,512+1024,1536,625,partial,0.11914633959531784,0.8868260116626819,1.478485494852066
16,768+768,1536,625,partial,0.11944372206926346,0.8925927759458622,1.4987298846244812
16,1024+512,1536,625,partial,0.11864741146564484,0.9186247500280539,1.5401518046855927
16,1024+1024,2048,500,partial,0.1187145784497261,0.8971353204300007,1.506007820367813
32,256+256,512,1000,complete,0.17639535665512085,0.8473998854557673,1.3112615942955017
32,512+512,1024,1000,complete,0.15013669431209564,0.7948664476474127,1.2512018382549286
32,512+1024,1536,625,partial,0.12445945292711258,0.8467500315358242,1.4064496755599976
32,768+768,1536,625,partial,0.12499525398015976,0.8537152738620838,1.4235486388206482
32,1024+512,1536,625,partial,0.11282843351364136,0.8364795371890068,1.4020696878433228
32,1024+1024,2048,500,partial,0.11259894073009491,0.8508029468357563,1.4271721243858337
64,256+256,512,1000,complete,0.1775589883327484,0.7659480820099512,1.1979401409626007
64,512+512,1024,1000,complete,0.13353434205055237,0.6980296944578489,1.111060470342636
64,512+1024,1536,1000,complete,0.12051834166049957,0.690598531315724,1.1104560494422913
64,768+768,1536,1000,complete,0.11980579793453217,0.6967793541649977,1.1260454505681992
64,1024+512,1536,1000,complete,0.11623062193393707,0.6942284057537714,1.1242767721414566
64,1024+1024,2048,1000,complete,0.11373665928840637,0.686740460495154,1.1135718524456024
