rank,layer,n_positions,mean_pearson,mean_kendall_top100
1,0,8192,0.5445310964227745,-0.20235104313488392
1,1,8192,0.6162737459304014,-0.01880765160806863
1,2,8192,0.6985248476259985,0.004557872741649581
1,3,8192,0.7284916700390724,0.016592521270314454
1,4,8192,0.7517485807317705,0.05044927247048314
1,5,8192,0.7717215446755228,0.04350301758595884
1,6,8192,0.8023115532958808,0.0877734206897442
1,7,8192,0.8285408751486687,0.1174303913727267
1,8,8192,0.878374855331562,0.20586991862791934
1,9,8192,0.9065156223394486,0.28128457883640423
1,10,8192,0.9417769820307349,0.41845070610733176
1,11,8192,0.970555081137465,0.5955845086266252
4,0,8192,0.6181541665042032,-0.06976460959196026
4,1,8192,0.7903095639694061,0.11140744075735497
4,2,8192,0.8173160959209352,0.11091736094822399
4,3,8192,0.834284558562139,0.12277232104911585
4,4,8192,0.8463896722175972,0.13911548084397435
4,5,8192,0.8603210038064621,0.13255601797638428
4,6,8192,0.8483070292645191,0.14116492456327506
4,7,8192,0.8782207505918032,0.18942795601141688
4,8,8192,0.907206324593664,0.27436650210940716
4,9,8192,0.929406279093236,0.3573253803393961
4,10,8192,0.9555977112948948,0.48645867209242233
4,11,8192,0.9749827200916821,0.6379048372364436
8,0,8192,0.7410385480626676,0.04005536599522178
8,1,8192,0.8395063525831523,0.16807756036003005
8,2,8192,0.8549284676130732,0.15881910199281377
8,3,8192,0.865087636816064,0.17085019418356437
8,4,8192,0.8744127970698471,0.16421494606371972
8,5,8192,0.883240350729342,0.18486608963305648
8,6,8192,0.8798038867632353,0.19279552749584372
8,7,8192,0.893806037170537,0.2073716862924523
8,8,8192,0.9158526381089073,0.30596997270879445
8,9,8192,0.934010839335494,0.39276748192470035
8,10,8192,0.9570741458714058,0.513242618497016
8,11,8192,0.9776566397060625,0.6389106130130704
16,0,8192,0.8059865006217821,0.12512257257955064
16,1,8192,0.8643548701375718,0.1998149483319162
16,2,8192,0.8796345348454362,0.2131140251964216
16,3,8192,0.8826353899404543,0.1907349995314684
16,4,8192,0.8934870996869424,0.2116338651516162
16,5,8192,0.8983328641502024,0.2176057411394581
16,6,8192,0.8958110040264278,0.21505724612239108
16,7,8192,0.9086556182433806,0.2596670039539791
16,8,8192,0.9291704297580414,0.3229900682669325
16,9,8192,0.9435699775729722,0.39983994635248704
16,10,8192,0.9611609696879619,0.5251783791228397
16,11,8192,0.9782592564763869,0.6617417417969002
32,0,8192,0.8411899981072768,0.22278255019475054
32,1,8192,0.9014750529040652,0.29396809082326264
32,2,8192,0.9096367689972031,0.2835685927016664
32,3,8192,0.9106684237972651,0.2787634153756675
32,4,8192,0.9187694257283462,0.2844204653808255
32,5,8192,0.9199573752258978,0.2930044179886268
32,6,8192,0.9240864102201667,0.28351478086615767
32,7,8192,0.9292602369845487,0.30881184881311463
32,8,8192,0.9422212223373407,0.3995461811639224
32,9,8192,0.953417023491727,0.4690891650957433
32,10,8192,0.9683442502089981,0.5657673162291126
32,11,8192,0.9811492686616448,0.6702965973077728
64,0,8192,0.8497831420234978,0.2682746305841214
64,1,8192,0.9291918941637591,0.3746747886414041
64,2,8192,0.9350000951028791,0.3655666184168634
64,3,8192,0.9318378151224505,0.3483068445206826
64,4,8192,0.9389637423539599,0.352601400738392
64,5,8192,0.9408804986139732,0.3481376878249498
64,6,8192,0.9433824210126605,0.36140420715138627
64,7,8192,0.947133423037038,0.396719834293349
64,8,8192,0.9539831788120603,0.44949031791781663
64,9,8192,0.9633078921378266,0.5098997875244932
64,10,8192,0.9745905977896379,0.603771944781795
64,11,8192,0.98359216942115,0.6927410236842125
128,0,8192,0.8583471150064728,0.3124862401003976
128,1,8192,0.9467947950209499,0.4400345160554567
128,2,8192,0.9512096997538961,0.4370019255141134
128,3,8192,0.9481454235668232,0.41857021243686204
128,4,8192,0.9523944610711523,0.41733061590895715
128,5,8192,0.9528381155929408,0.4002912254091982
128,6,8192,0.9572250643393276,0.4328400712764164
128,7,8192,0.9597051680958467,0.4565618260862875
128,8,8192,0.9640204244157521,0.5060660744511093
128,9,8192,0.971211465338107,0.5726217229684364
128,10,8192,0.977110772509179,0.6352745632248937
128,11,8192,0.9862377806915759,0.7179184789072915
256,0,8192,0.8605076846253258,0.3729127193814425
256,1,8192,0.9552314528074808,0.49995606779087043
256,2,8192,0.9593291806857777,0.47993002394044026
256,3,8192,0.9579145271276142,0.4770200234666046
256,4,8192,0.9600986472621662,0.46314960065158056
256,5,8192,0.9595424727633425,0.45379272224746403
256,6,8192,0.9662719570333493,0.4951331817298336
256,7,8192,0.9679973229004323,0.5270298029750868
256,8,8192,0.972675020975707,0.5659430860258342
256,9,8192,0.9784449959691808,0.6172952296800079
256,10,8192,0.9814384418155043,0.6789179837438729
256,11,8192,0.9872891638091799,0.7385951787904692
384,0,8192,0.8577979443116699,0.3908870784509368
384,1,8192,0.9609652095059881,0.5355062001169988
384,2,8192,0.9664367642813022,0.5349387033186163
384,3,8192,0.9624818667676516,0.5296460953858697
384,4,8192,0.9669284117758986,0.5280460570797308
384,5,8192,0.9665140433704849,0.5160752147140556
384,6,8192,0.9732658740968818,0.5395129181414847
384,7,8192,0.9762637159038923,0.5663797913193233
384,8,8192,0.9779158727870376,0.6025900273543916
384,9,8192,0.9825186996954867,0.6626112774985453
384,10,8192,0.9860735908612014,0.7160532064098988
384,11,8192,0.9891345566179358,0.7623823986092153
