explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,8.339518535649404e-05,1.9538852939149365e-05,2.0426761693670414e-05,6.66411642669118e-06,2.815718744386686e-06,1.273498492082581e-05,6.468888386734761e-06,6.641397249040892e-06,1.0598078006296419e-06,3.447655035415664e-05,0.0022880665492266417,0.00721308309584856,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,2.0660685549955815e-05,4.326803173171356e-05,0.00014808305422775447,8.386702393181622e-05,3.996196755906567e-05,9.985206997953355e-05,6.516043504234403e-05,0.00029299751622602344,0.000491661427076906,0.0032031922601163387,0.008144152350723743,0.013673688285052776,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.00014254388224799186,0.00019561979570426047,0.00027145285275764763,0.0009274399490095675,0.0034001206513494253,0.0044232700020074844,0.0010781721211969852,0.008371292613446712,0.0024334441404789686,0.019315548241138458,0.0027589218225330114,0.0035480130463838577,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,1.5408564649987966e-05,3.4810840588761494e-05,9.782971756067127e-05,0.0003919001028407365,0.0003432367229834199,0.0007125604315660894,0.0018936721608042717,0.0001976019993890077,0.00017277264851145446,0.00011211888340767473,6.832080543972552e-05,1.4264641322370153e-05,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,8.66027403390035e-05,0.0001415320875821635,0.00039074462256394327,0.00018080243899021298,0.00034439173759892583,0.0001867468818090856,0.0006235998589545488,0.0014788262778893113,0.008531864732503891,0.02370305173099041,0.051082074642181396,0.09966061264276505,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,4.933279342367314e-05,4.451058339327574e-05,0.0001878106704680249,0.0005293683498166502,0.0006678832578472793,0.000998825766146183,0.0003624956589192152,0.002477297093719244,0.011459765024483204,0.013746378012001514,0.07763121277093887,0.013422906398773193,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,5.133111699251458e-05,1.4108069080975838e-05,3.0045568564673886e-05,9.124598000198603e-05,6.576559826498851e-05,6.1589039432874415e-06,8.585267892158299e-07,5.46282672075904e-06,5.753332152380608e-05,0.0003977268934249878,7.032238499959931e-05,1.8760561033559497e-06,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,4.3862932216143236e-05,9.44235798669979e-05,0.00018081444432027638,0.0003621891955845058,0.00030077379778958857,0.0002677804441191256,0.000389068853110075,0.0006590487901121378,0.00028662881231866777,0.003462238935753703,1.6751193470554426e-05,0.000414971262216568,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.5637033357052132e-05,4.412648195284419e-05,5.860356759512797e-05,5.27059928572271e-05,0.0001392646663589403,0.0002347233094042167,0.011573797091841698,0.004560576286166906,0.07271052896976471,0.7962616086006165,0.8861566781997681,0.2229510396718979,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.00022796726261731237,0.0009896592237055302,0.0005699341418221593,0.0006996923475526273,0.0008277139277197421,0.0017908492591232061,0.001848340150900185,0.001425566035322845,0.005586449056863785,0.015677260234951973,0.003697552252560854,0.011412356048822403,0.100090391933918,0.14716646075248718
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,3.4890934330178425e-05,5.352004518499598e-05,0.0001936437765834853,0.00033565383637323976,0.0007727700867690146,0.001852993736974895,0.010294854640960693,0.00967788603156805,0.004733300302177668,0.002940794685855508,0.011985412798821926,0.008583767339587212,0.04068177193403244,0.043853167444467545
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,5.295215032674605e-06,8.498605893692002e-05,0.0007173235644586384,0.0002822986280079931,0.00011796067701652646,0.00018253397138323635,0.00021654902957379818,0.00020657152344938368,0.00019972326117567718,0.0016875837463885546,0.0045728362165391445,0.017659295350313187,0.411927193403244,0.514491081237793
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,6.742023833794519e-05,6.478869909187779e-05,5.052379492553882e-05,6.65315383230336e-05,3.046004167117644e-05,7.397572335321456e-05,0.00017463980475440621,0.000273037061560899,0.0006720125093124807,0.0031347007025033236,0.0023972815833985806,0.0006413601222448051,0.026844482868909836,0.05663884058594704
Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,1.17621966637671e-05,4.855488077737391e-05,8.902470290195197e-05,0.00012819183757528663,0.0003870912769343704,0.0010907312389463186,0.0003738490922842175,0.0020052259787917137,0.004792126826941967,0.0026613655500113964,0.0009417938417755067,0.0002843054535333067,0.011504310183227062,0.0543273463845253
California is the most,The bear flag state is the most,California,The bear flag state, populous,3.056424975511618e-05,6.264189869398251e-05,0.0006907256902195513,0.005631451960653067,0.0002753355947788805,0.008485304191708565,0.11847352236509323,0.1755039095878601,0.3515796661376953,0.9276845455169678,0.9857015609741211,0.9199050068855286,0.0011133091757073998,0.3787842392921448
California is the most,The golden bear state is the most,California,The golden bear state, populous,2.5063947759917937e-05,3.0606184736825526e-05,0.00036453333450481296,0.0011049412423744798,6.575398288077849e-07,0.00018924573669210076,0.0013194192433729768,0.0003493410476949066,0.000678438984323293,0.06470339745283127,0.11103682219982147,0.03573976084589958,0.016364527866244316,0.3787842392921448
Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.00011631422967184335,0.0004997035721316934,0.0007765615009702742,0.001681728521361947,0.0028476696461439133,0.0017425321275368333,0.0010046986863017082,0.001095396582968533,0.0004515264881774783,0.0005074560176581144,0.00022108035045675933,0.0011245160130783916,0.3519904911518097,0.5238668918609619
Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,5.517328463611193e-05,3.239694342482835e-05,0.00011614093091338873,4.9799808039097115e-05,6.270123412832618e-05,0.00027254028827883303,0.002696485724300146,0.0021931082010269165,0.02526155486702919,0.027335701510310173,0.13927100598812103,0.11990448087453842,0.04826728254556656,0.18779811263084412
Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,1.4381434084498324e-05,3.1371175282401964e-05,0.00019485717348288745,0.00020185562607366592,0.00017348940309602767,0.0004854970902670175,0.0009936573915183544,0.0016102000372484326,0.0013458735775202513,0.12384289503097534,0.2696152627468109,0.46343472599983215,0.4046311378479004,0.5442834496498108
Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,5.7630473747849464e-05,0.010812750086188316,0.006861140485852957,0.013163645751774311,0.017606087028980255,0.028640231117606163,0.05972251668572426,0.00976087898015976,0.006164889317005873,0.004596846178174019,0.0040756515227258205,0.0049851443618535995,0.06934917718172073,0.08784747868776321
James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,5.879092350369319e-05,0.00012282664829399437,0.0003456867707427591,0.0004064792301505804,0.0009203500812873244,0.0004071262083016336,0.0014163031009957194,0.0015539295272901654,0.0068281712010502815,0.008566297590732574,0.008869283832609653,0.042708855122327805,0.0006663365056738257,0.011069848202168941
Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,2.7302378384774784e-06,1.7185850083478726e-05,2.834173574228771e-05,2.6558251192909665e-05,3.8776332075940445e-05,7.71549966884777e-05,4.8516310926061124e-05,3.591513814171776e-05,7.479700434487313e-05,0.00018141596228815615,2.2181988242664374e-05,6.279796025410178e-07,0.00028046747320331633,0.00044431298738345504
Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,1.8229728084406815e-05,6.134662271506386e-06,0.00014739962352905422,0.0008723265491425991,0.0006493678083643317,0.002320258179679513,0.003291049273684621,0.020396510139107704,0.07472188025712967,0.05890563875436783,0.38749682903289795,0.7196703553199768,0.3540010154247284,0.7835427522659302
Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,2.3812256131350296e-06,9.432322258362547e-06,5.696104381058831e-06,8.713134775462095e-06,1.6585678167757578e-05,1.4609109712182544e-05,2.659674828464631e-05,2.9142822313588113e-05,3.7733854696853086e-05,0.000221949492697604,9.436270147489267e-07,2.654001718838117e-06,0.00014298834139481187,0.00023876610794104636
Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,1.1619987162703183e-05,6.908695650054142e-05,3.595001180656254e-05,5.548664557863958e-05,0.0001266266917809844,0.00026215307298116386,3.0483375667245127e-05,0.00022130890283733606,0.0004721661389339715,0.00015202269423753023,0.0001806142390705645,0.00047526168054901063,0.02226678654551506,0.013671007007360458
Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,2.584203684818931e-05,2.6349467589170672e-05,4.4193133362568915e-05,5.2465304179349914e-05,3.263768303440884e-05,3.0470118872472085e-05,1.2501048331614584e-05,2.4458947791572427e-06,5.609232539427467e-05,0.019986065104603767,0.0031076460145413876,0.0017670756205916405,0.00425700843334198,0.028314366936683655
Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,1.4670888504042523e-06,7.045166512398282e-06,5.435344974102918e-06,1.0296771506546065e-05,1.2130075447203126e-05,1.5752313629491255e-05,1.528543907625135e-05,4.1588456952013075e-05,5.807782872579992e-05,1.1188916687387973e-05,0.00010591158934403211,5.831065573147498e-05,0.0005254307179711759,0.0004807798541150987
Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,1.4896303582645487e-05,1.849188811320346e-05,6.0241389292059466e-05,7.314389222301543e-05,0.00019905209774151444,5.706308365915902e-05,3.126566298305988e-05,9.826793757383712e-06,0.00010979516810039058,0.0034257022198289633,8.234576398535864e-07,5.991553280182416e-06,0.001927309320308268,0.013798421248793602
The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,0.00028656108770519495,9.144847717834637e-05,0.00012258460628800094,0.0001704788883216679,0.0003114508872386068,0.0011408047284930944,0.0009602659847587347,0.0017631921218708158,0.6833534836769104,0.4889083802700043,0.9103025197982788,0.6995968818664551,0.13293713331222534,0.3509562611579895
"Canadians call their $1 coin a ""loonie"" because this type of bird appears on it","Canadians call their $1 coin a ""loonie"" because this type of winged animal appears on it",bird,winged animal, Common Loon,3.130214054181124e-06,4.507592166191898e-06,7.517092853959184e-06,7.000177447480382e-06,3.770606417674571e-05,5.30914003320504e-05,3.366074452060275e-05,9.524229244561866e-05,2.399487311777193e-05,0.00015969033120200038,7.030338747426867e-05,3.9433816709788516e-05,4.719180708434578e-07,1.136051764660806e-06
The University of Chicago is located in Chicago neighborhood of,The university with the most Nobel Prizes is located in the Chicago neighborhood of,The University of Chicago,The university with the most Nobel Prizes, Hyde Park,5.426547795650549e-05,8.896304643712938e-05,5.4574566092924215e-06,5.137903258400911e-07,2.7571975813600602e-09,1.2885033129350631e-07,3.549319274043228e-07,8.33535596029833e-05,2.1790274331578985e-05,8.529223850928247e-05,0.002289075870066881,0.0005141664296388626,0.008195447735488415,0.017048943787813187
"Después de las guerras de independencia hispanoamericanas, Simón Bolívar estableció la nación de la","Después de las guerras de independencia hispanoamericanas, el libertador estableció la nación de la",Simon Bolivar,el libertador, Gran Colombia,2.468675302225165e-05,1.5726125639048405e-05,3.518119046930224e-05,8.115433593047783e-05,0.00015429685299750417,0.00013724398741032928,0.00018266477854922414,0.00012653120211325586,0.0002749958948697895,0.0010902488138526678,0.0012001320719718933,0.002225602511316538,0.0002084676525555551,0.00034863833570852876
Bill Gates was born in the city of,The founder of Microsoft was born in the city of,Bill Gates,The founder of Microsoft, Seattle,5.2706378482980654e-05,0.00013772521924693137,0.00011804608948295936,0.0004718131385743618,0.00036860810359939933,0.003910482861101627,0.0020293178968131542,0.005007550120353699,0.0008930354379117489,0.0007979843067005277,1.2535415407910477e-05,4.176277457190736e-08,0.009965800680220127,0.011851899325847626
Nelson Mandela brought an end to,The first president of South Africa brought an end to,Nelson Mandela,The first president of South Africa, Apartheid,1.321643139817752e-05,9.042213605425786e-06,1.7403910533175804e-05,6.834277883172035e-06,3.790234404732473e-05,4.054065720993094e-05,0.00017666742496658117,4.104596882825717e-05,4.885144517174922e-05,4.231753791827941e-06,2.346780092921108e-05,5.491412835567644e-08,0.0010680650593712926,0.0004999007796868682
Abraham Lincoln issued an executive order famously known as the,The 16th president of the United States issued an executive order famously known as the,Abraham Lincoln,The 16th president of the United States, Emancipation Proclamation,4.441187047632411e-05,1.6365787814720534e-05,3.56316268153023e-05,4.238332257955335e-05,4.475911919143982e-05,3.8214289816096425e-05,9.053869871422648e-05,0.0002714755537454039,7.765666669001803e-05,8.842544775689021e-05,4.133567088615564e-08,3.943574029108277e-06,0.0008844553958624601,0.004880013410001993
The name of Texas' dominating political party is,The name of the Lone Star State's dominating political party is,Texas',Lone Star State's, Republican,7.227414243970998e-06,0.0001344434276688844,0.00018658697081264108,0.0006365979788824916,0.00029717135475948453,0.00010800052405102178,0.0001107748321373947,0.00030266240355558693,0.0006135730072855949,0.000659847108181566,3.5753748761635507e-06,0.00015627709217369556,0.007656445261090994,0.004999225027859211
Russia is mostly located on the continent of,The largest country in the world is mostly located on the continent of,Russia,The largest country in the world, Asia,6.269024743232876e-05,0.0001041043215082027,0.000109190157672856,0.0007054830784909427,0.00045295601012185216,0.0005006665014661849,0.0003643200034275651,0.0028176826890558004,0.004173970781266689,0.006517356261610985,0.005421105306595564,0.0016569319413974881,0.020920878276228905,0.022181639447808266
