explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,5.7240518799517304e-05,3.299452509963885e-05,2.4997438231366687e-05,3.1832343665882945e-05,2.2134543542051688e-05,2.6916928618447855e-05,7.700719288550317e-05,8.945540321292356e-05,0.0001341870374744758,0.0014650569064542651,0.008522742427885532,0.04995163157582283,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,3.854808528558351e-05,6.673852476524189e-05,0.00012327228614594787,0.00010828494123416021,0.000143669152748771,0.00035200288402847946,0.0003222848754376173,0.0009114439017139375,0.0009274420444853604,0.004903232678771019,0.008688194677233696,0.027736222371459007,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,7.405796350212768e-05,6.842279981356114e-05,0.00010617861698847264,0.0003094698186032474,0.0013309642672538757,0.003887670813128352,0.0021026134490966797,0.008342432789504528,0.016273854300379753,0.039991073310375214,0.054430656135082245,0.06183996796607971,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,3.14691242238041e-05,3.5731452953768894e-05,5.892596163903363e-05,5.639637674903497e-05,6.886515620863065e-05,0.00013278541155159473,9.110256360145286e-05,0.00010090650175698102,0.00023281943867914379,0.0008660534513182938,0.001976508880034089,0.016975264996290207,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,3.557778109097853e-05,0.00013382443285081536,0.0001917944464366883,0.00019586751295719296,0.00043891408131457865,0.0009344397694803774,0.0017238901928067207,0.003754769219085574,0.049267660826444626,0.22548356652259827,0.2907865345478058,0.4649231731891632,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,7.76724045863375e-05,7.418132736347616e-05,0.0001949342986335978,0.0004468478437047452,0.0007011552224867046,0.0011620345758274198,0.0017856210470199585,0.0038563862908631563,0.01537539903074503,0.01586967706680298,0.03905639424920082,0.04483802244067192,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,4.616802834789269e-05,4.4285250623943284e-05,5.5248870921786875e-05,0.00015889287169557065,8.764977246755734e-05,5.3005955123808235e-05,0.0001924869866343215,0.0004975794581696391,0.0006445090402849019,0.003536158474162221,0.00818395335227251,0.007503995206207037,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,8.719868492335081e-05,0.00010873235441977158,0.00023579911794513464,0.0003068478254135698,0.0002946699387393892,0.0006633455632254481,0.0008925152942538261,0.002182336524128914,0.0014738017925992608,0.003086247481405735,0.026939354836940765,0.045631758868694305,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.6921223505050875e-05,5.3202820708975196e-05,5.529348345589824e-05,5.318027615430765e-05,0.00013622140977531672,0.00034808696364052594,0.005775074008852243,0.0032550685573369265,0.023822089657187462,0.11720647662878036,0.29330915212631226,0.8274959921836853,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.00023300442262552679,0.0007636199588887393,0.000665548664983362,0.0011892602778971195,0.0016582529060542583,0.006742711178958416,0.006007131654769182,0.016623960807919502,0.04976993426680565,0.0896095484495163,0.035515639930963516,0.07494127750396729,0.100090391933918,0.14716646075248718
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,7.270815694937482e-05,0.00015230618009809405,0.00035524179111234844,0.0005588066997006536,0.0007325991755351424,0.0010505963582545519,0.0018885243916884065,0.005021191202104092,0.009503337554633617,0.014345400966703892,0.031230276450514793,0.03401339054107666,0.04068177193403244,0.043853167444467545
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,4.9355327064404264e-05,0.00011713155981851742,0.00028268108144402504,0.0003509652160573751,0.0004065594694111496,0.0007935928297229111,0.0011160254944115877,0.0035931463353335857,0.007015593815594912,0.046285077929496765,0.10422039777040482,0.29597899317741394,0.411927193403244,0.514491081237793
Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,5.109938865643926e-05,5.931420673732646e-05,8.171946683432907e-05,0.00015841420099604875,0.00013798184227198362,0.0010919232154265046,0.0012238932540640235,0.0013157728826627135,0.0028257821686565876,0.009840676560997963,0.013126697391271591,0.03415380045771599,0.026844482868909836,0.05663884058594704
Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,2.937288081739098e-05,6.343988934531808e-05,7.802383333910257e-05,7.97187167336233e-05,0.00012385396985337138,0.000246601237449795,0.0007287887274287641,0.0027049274649471045,0.007963933981955051,0.023404864594340324,0.034645188599824905,0.05060240253806114,0.011504310183227062,0.0543273463845253
California is the most,The bear flag state is the most,California,The bear flag state, populous,3.803143044933677e-05,0.00010988341819029301,0.00036085749161429703,0.0010120091028511524,0.000994722475297749,0.0013273884542286396,0.0032387012615799904,0.005575011018663645,0.0066972956992685795,0.02139711007475853,0.09452139586210251,0.21684537827968597,0.0011133091757073998,0.3787842392921448
California is the most,The golden bear state is the most,California,The golden bear state, populous,3.8031070289434865e-05,0.00010988345457008108,0.0003608575789257884,0.0010120091028511524,0.0009947273647412658,0.0013273830991238356,0.003238689387217164,0.0055750152096152306,0.00669731292873621,0.021397292613983154,0.09452148526906967,0.21684636175632477,0.016364527866244316,0.3787842392921448
Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.00010705767635954544,0.00031611707527190447,0.0003973870479967445,0.000649773224722594,0.0012151101836934686,0.0014575427630916238,0.0016593763139098883,0.01028832234442234,0.009947342798113823,0.0804855227470398,0.15923325717449188,0.37657371163368225,0.3519904911518097,0.5238668918609619
Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,9.59041717578657e-05,4.418442404130474e-05,0.00010986346023855731,0.00010405537614133209,0.000145706333569251,0.00025149440625682473,0.0009066603961400688,0.0030566693749278784,0.01976410299539566,0.030633173882961273,0.047794926911592484,0.12491711229085922,0.04826728254556656,0.18779811263084412
Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,5.364097160054371e-05,0.0002441894030198455,0.000549556571058929,0.00037971101119183004,0.0005482914857566357,0.001574159599840641,0.004255309700965881,0.024092867970466614,0.04076005890965462,0.21757633984088898,0.3222537636756897,0.5861637592315674,0.4046311378479004,0.5442834496498108
Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.00010914944869000465,0.0008365390240214765,0.0008068197639659047,0.0014423563843593001,0.0035927090793848038,0.007114441134035587,0.011756214313209057,0.007026046514511108,0.011000102385878563,0.010871268808841705,0.027356944978237152,0.10799235105514526,0.06934917718172073,0.08784747868776321
James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,4.9185266107087955e-05,6.804517033742741e-05,8.431110472884029e-05,8.820681978249922e-05,0.0001934361644089222,0.00019563373643904924,0.0003948842058889568,0.0008717962191440165,0.0016322386218234897,0.002830990357324481,0.005273217335343361,0.009142309427261353,0.0006663365056738257,0.011069848202168941
Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,8.841060662234668e-06,2.8214191843289882e-05,3.537137308740057e-05,3.280437522334978e-05,6.184163794387132e-05,8.296644955407828e-05,6.541299808304757e-05,8.865640847943723e-05,0.00010985801054630429,0.0002830097218975425,0.00026546118897385895,0.0002237528096884489,0.00028046747320331633,0.00044431298738345504
Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,3.3698888728395104e-05,0.00029360270127654076,0.00025891978293657303,0.000754119420889765,0.001422021770849824,0.004125081468373537,0.0035894005559384823,0.03746451810002327,0.0515219047665596,0.06303711235523224,0.23412209749221802,0.31809332966804504,0.3540010154247284,0.7835427522659302
Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,5.778132162959082e-06,1.5304261978599243e-05,7.609709427924827e-06,9.795850928639993e-06,1.3620061508845538e-05,1.6878871974768117e-05,1.9644645362859592e-05,5.355287794372998e-05,6.602948997169733e-05,0.0002179341681767255,0.00020044705888722092,0.00035405962262302637,0.00014298834139481187,0.00023876610794104636
Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,2.3763137505738996e-05,6.237448542378843e-05,5.8906229241983965e-05,7.43824421078898e-05,0.00017245621711481363,0.0005126622854731977,0.00013776859850622714,0.0006632354343309999,0.0010717309778556228,0.001480516861192882,0.0016490883426740766,0.008318506181240082,0.02226678654551506,0.013671007007360458
Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,3.061967436224222e-05,3.253529575886205e-05,4.857653766521253e-05,7.266029570018873e-05,7.971988088684157e-05,0.00018941865710075945,0.00016921355563681573,0.000357670069206506,0.0007687231409363449,0.011220159009099007,0.006597938947379589,0.009942441247403622,0.00425700843334198,0.028314366936683655
Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,2.561645942478208e-06,8.134798008541111e-06,9.73097121459432e-06,1.81089108082233e-05,1.4202525562723167e-05,2.0713991034426726e-05,4.4589120079763234e-05,0.00013574572221841663,0.00021848535106983036,0.00019083234656136483,0.000563273555599153,0.0002852303732652217,0.0005254307179711759,0.0004807798541150987
Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,2.7728699933504686e-05,3.094534986303188e-05,7.092667510733008e-05,0.00013114251487422734,0.0001381843612762168,0.00025069358525797725,0.00015319140220526606,0.00040329620242118835,0.0008626788039691746,0.0040151504799723625,0.0014521611155942082,0.006467720959335566,0.001927309320308268,0.013798421248793602
The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,5.1869410526705906e-05,9.140387555817142e-05,0.00012419786071404815,0.00013027313980273902,0.00019485449593048543,0.0002663938794285059,0.0003665195545181632,0.0009123518830165267,0.00729772262275219,0.012040907517075539,0.19555093348026276,0.2007124125957489,0.13293713331222534,0.3509562611579895
"Canadians call their $1 coin a ""loonie"" because this type of bird appears on it","Canadians call their $1 coin a ""loonie"" because this type of winged animal appears on it",bird,winged animal, Common Loon,5.066091489425162e-06,6.744380243617343e-06,7.342584922298556e-06,1.0455598385306075e-05,3.328019010950811e-05,2.9029612051090226e-05,1.7151598513009958e-05,1.1969425941060763e-05,4.510661256063031e-06,1.8664362869458273e-05,1.1166043805133086e-05,1.3045779269305058e-05,4.719180708434578e-07,1.136051764660806e-06
The University of Chicago is located in Chicago neighborhood of,The university with the most Nobel Prizes is located in the Chicago neighborhood of,The University of Chicago,The university with the most Nobel Prizes, Hyde Park,5.018171214032918e-05,4.48337486886885e-05,2.739462797762826e-05,5.371433144318871e-05,6.438497803173959e-05,0.0001790618698578328,0.00010543013922870159,0.0007113701431080699,0.0012644123053178191,0.003968664910644293,0.015138326212763786,0.013756226748228073,0.008195447735488415,0.017048943787813187
"Después de las guerras de independencia hispanoamericanas, Simón Bolívar estableció la nación de la","Después de las guerras de independencia hispanoamericanas, el libertador estableció la nación de la",Simon Bolivar,el libertador, Gran Colombia,3.45527587342076e-05,2.2444819478550926e-05,3.193318116245791e-05,7.168454612838104e-05,0.00011601018923101947,0.0001323581818724051,0.00016439759929198772,0.00012899051944259554,0.00022854519193060696,0.0007467733230441809,0.0005219161976128817,0.0007275940151885152,0.0002084676525555551,0.00034863833570852876
Bill Gates was born in the city of,The founder of Microsoft was born in the city of,Bill Gates,The founder of Microsoft, Seattle,7.300503057194874e-05,0.00011548465408850461,0.0001840567128965631,0.0005040655960328877,0.0003285525890532881,0.0010787742212414742,0.00177104864269495,0.002680151956155896,0.002849818440154195,0.003102240851148963,0.0050116474740207195,0.009386969730257988,0.009965800680220127,0.011851899325847626
Nelson Mandela brought an end to,The first president of South Africa brought an end to,Nelson Mandela,The first president of South Africa, Apartheid,1.127266114053782e-05,6.363321972457925e-06,1.2200822311569937e-05,7.045159236440668e-06,2.4262748411274515e-05,4.8988873459165916e-05,0.00010912075231317431,3.4893662814283744e-05,3.324859790154733e-05,9.17400247999467e-05,0.0002639215381350368,0.00024354470951948315,0.0010680650593712926,0.0004999007796868682
Abraham Lincoln issued an executive order famously known as the,The 16th president of the United States issued an executive order famously known as the,Abraham Lincoln,The 16th president of the United States, Emancipation Proclamation,2.608979048090987e-05,2.494450018275529e-05,3.302334516774863e-05,4.495024404604919e-05,4.4015418097842485e-05,4.666921086027287e-05,0.00012824684381484985,0.0003706159186549485,0.0003027241036761552,0.0009549411479383707,0.0003601607750169933,0.000664896855596453,0.0008844553958624601,0.004880013410001993
The name of Texas' dominating political party is,The name of the Lone Star State's dominating political party is,Texas',Lone Star State's, Republican,2.1257186745060608e-05,9.00394152267836e-05,0.00010164783452637494,0.00021253239538054913,0.000204847427085042,0.00012822380813304335,0.00014920844114385545,0.001001307275146246,0.0028100870549678802,0.003730301046743989,0.010168640874326229,0.009257330559194088,0.007656445261090994,0.004999225027859211
Russia is mostly located on the continent of,The largest country in the world is mostly located on the continent of,Russia,The largest country in the world, Asia,9.512854740023613e-05,8.551820064894855e-05,0.00013584806583821774,0.0005537359393201768,0.0006386577151715755,0.0012718652142211795,0.0028908257372677326,0.007946816273033619,0.006741662044078112,0.02068612352013588,0.023230135440826416,0.04350080341100693,0.020920878276228905,0.022181639447808266
Steve Jobs' father was from the country of,The founder of Apple's father was from the country of,Steve Jobs',The founder of Apple's, Syria,0.00011167037882842124,0.00014354314771480858,0.0003290688036940992,0.0004937052726745605,0.0004219639231450856,0.0006266921409405768,0.0008689559763297439,0.0005209139781072736,0.00030119187431409955,0.00017603604646865278,0.0001885477249743417,0.00023489184968639165,0.0013121628435328603,0.00014549418119713664
J.R.R. Tolkien was afraid of,"The author of ""The Lord of The Rings"" was afraid of",J.R.R. Tolkien,"The author of ""The Lord of The Rings""", spiders,1.188326768897241e-05,2.550988574512303e-05,4.716427793027833e-05,6.36311960988678e-05,0.00018646747048478574,0.0004148148000240326,0.00022757764963898808,0.0009595348383300006,0.0017223686445504427,0.00197956757619977,0.0022568674758076668,0.00147331808693707,0.0023473554756492376,0.0012702902313321829
Argonne National Laboratory conducted pioneering research on,The U.S.'s first national laboratory conducted pioneering research on,Argonne National Laboratory ,The U.S.'s first national laboratory, nuclear energy,5.2018305723322555e-05,0.00036244638613425195,0.00019577788771130145,0.0002462285337969661,0.000251845020102337,0.00035244820173829794,0.0004832755366805941,0.0006151406560093164,0.0015784079441800714,0.002142990240827203,0.001994597725570202,0.0018228142289444804,0.003137905616313219,0.002698226599022746
"For 25 years, the Sears Tower was the world's","For 25 years, the world's tallest building in 1973 was the world's",Sears Tower,world's tallest building in 1973, tallest building,6.523046613438055e-05,0.00015049923968035728,0.0004443191864993423,0.0004306873306632042,0.001944454968906939,0.005373768508434296,0.01217393297702074,0.042856451123952866,0.023929951712489128,0.065824493765831,0.09995706379413605,0.2796151340007782,0.869688093662262,0.5380632281303406
French is the official language of a Canadian province called,A romance language is the official language of a Canadian province called,French,A romance language, Quebec,1.656722633924801e-05,2.842691174009815e-05,1.9030037947231904e-05,2.2069159967941232e-05,4.765392804984003e-05,1.435930698789889e-05,9.404127195011824e-05,0.00035813788417726755,0.0017328154062852263,0.0305141881108284,0.03139703720808029,0.09255697578191757,0.05500509962439537,0.08546159416437149
Cain murdered a person named,Adam and Eve's eldest son murdered a person named,Cain,Adam and Eve's eldest son, Abel,2.8106993340770714e-05,0.00015901584993116558,8.747765241423622e-05,7.807258953107521e-05,0.00011851564340759069,0.00019154865003656596,6.3280102040153e-05,0.00017176909022964537,0.0002680739853531122,0.00048551440704613924,0.0005140468711033463,0.0003351912891957909,0.0025499772746115923,0.00040322905988432467
Napoleon was famously defeated at The Battle of,The Corsican-born leader of the French Republic was famously defeated at The Battle of,Napoleon,The Corsican-born leader of the French Republic, Waterloo,8.145871834130958e-05,7.892918802099302e-05,0.00015793467173352838,0.00031979032792150974,0.0005517788231372833,0.0015893024392426014,0.014965713955461979,0.0033273245207965374,0.004921223036944866,0.012790958397090435,0.020589055493474007,0.09650206565856934,0.08033143728971481,0.2970423996448517
Quinine forms a medication used to treat an illness called,Extract from the bark of the cinchona tree forms a medication used to treat an illness called,Quinine,Extract from the bark of the cinchona tree, malaria,4.5019478420726955e-05,0.00019743370648939162,0.00022026449732948095,0.000157695118105039,0.00019726066966541111,0.0004994351766072214,0.0003899074799846858,0.0007525324472226202,0.000429147039540112,0.000675942050293088,0.0007053987355902791,0.0004263240844011307,0.0012110215611755848,0.000433917623013258
Hadrian built a wall in the province of,The successor to Antoninus Pius built a wall in the province of,Hadrian,The successor to Antoninus Pius built a wall across, Britannia,3.371946149854921e-05,2.3923052140162326e-05,2.6068915758514777e-05,4.796070061274804e-05,0.00013309477071743459,8.51307122502476e-05,0.00011353245645295829,0.000245617819018662,0.0003075252752751112,0.0003009167267009616,0.00035768825910054147,0.00020096883235964924,4.976095078745857e-05,6.446213956223801e-05
D-Day took place on the beaches of,The largest seaborne invasion in history took place on the beaches of,D-Day,The largest seaborne invasion in history, Normandy,2.627121466503013e-05,4.743331373902038e-05,4.34446228609886e-05,0.00010335557453799993,0.00023818851332180202,0.0005091784405522048,0.000904874294064939,0.0023301676847040653,0.005042057018727064,0.0033516071271151304,0.02217567153275013,0.05721531808376312,0.03399527817964554,0.04625219851732254
The melting point of water is zero degrees,The melting point of dihydrogen monoxide is zero degrees,water,dihydrogen monoxide, Celsius,0.00045659567695111036,0.002655754564329982,0.008461708202958107,0.06976170092821121,0.1390867382287979,0.05228686332702637,0.17649734020233154,0.3220628499984741,0.08339950442314148,0.4068024456501007,0.18535375595092773,0.4709357023239136,0.4223082661628723,0.44599345326423645
The highest mountain of the world is called,The tall mountain located at China–Nepal border is called,highest mountain,The tall mountain located at China–Nepal border, Mount Everest,1.7311189367319457e-05,5.446996874525212e-05,9.38340526772663e-05,0.00013248296454548836,0.00019243051065132022,0.00013408853556029499,0.00017733374261297286,0.0002769574348349124,0.001759069156832993,0.003071817336603999,0.013323335908353329,0.06378445774316788,0.005189842544496059,0.12483695894479752
Kopi luwak is eaten and defecated by,The most expensive coffee in the world is eaten and defecated by,Kopi luwak,The most expensive coffee in the world, civets,0.00010950660362141207,6.720946112181991e-05,0.0001109400182031095,0.0002081719576381147,0.000207551711355336,0.0002010696625802666,0.00018382590496912599,0.0003892156819347292,0.00038369721733033657,0.0007041881908662617,0.0006802171119488776,0.0007788062212057412,0.0004300441069062799,0.001130219199694693
Schrodinger's cat is a thought experiment about,Schrodinger's feline laboratory assistant is a thought experiment about,cat,feline laboratory assistant, quantum uncertainty,5.10516510985326e-05,0.00011202479072380811,7.48483871575445e-05,0.00011548808106454089,0.00012058880383847281,0.0004928431008011103,0.00039392069447785616,0.0008338217157870531,0.0004934642929583788,0.0010843505151569843,0.0008718450553715229,0.00045285988016985357,0.0004973717732354999,0.0006725203711539507
Defibrillation can help end cardiac,A dose of electric countershock to the heart can help end cardiac,Defibrillation,A dose of electric countershock to the heart, arrest,0.0001563489786349237,0.002319697756320238,0.0018638457404449582,0.0036128971260041,0.011909181252121925,0.011741409078240395,0.005357423797249794,0.028620900586247444,0.039933428168296814,0.029471952468156815,0.03283584490418434,0.19926777482032776,0.5259791016578674,0.4477355182170868
