Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,2.1141555350823182e-07,3.2659838325344026e-05,0.00010209620086243376,3.951666712964652e-06,7.501739105464367e-07,3.2857499263627687e-06,2.667913395271171e-05,4.9830279749585316e-05,1.0431264172439114e-06,0.00014157047553453594,4.053767042933032e-05,4.6215282054618e-05,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,1.4707849516071292e-07,3.7014407094915214e-09,8.534371431778709e-09,6.392655294007454e-10,7.080065700382221e-11,5.1253552513230716e-09,1.3228422801603301e-09,7.720416306256084e-08,1.4959805838543616e-08,2.3689561423623218e-09,6.973376737162695e-11,1.8335396534396864e-09,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,3.998805914307013e-05,6.861184374429286e-05,9.249748472939245e-06,6.338570415209688e-07,3.108184598588082e-09,3.0221951163866834e-08,5.2118501514542004e-08,3.317308028272237e-08,2.3342536792370083e-08,8.960005182245823e-09,7.019010372921741e-11,1.900953616740253e-09,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,2.871434219287039e-07,2.317162284271035e-07,4.654189533770392e-10,1.7730195089882272e-09,1.532343252286239e-09,1.4957594274278563e-08,5.262418198981322e-07,3.898318936990108e-06,9.274484114030201e-08,1.1003740141291019e-08,6.572948851868432e-09,2.707889734665514e-08,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,3.407288602375047e-07,7.861270319153846e-07,4.778525521942356e-07,3.323466728488711e-07,3.349437349697837e-07,4.825625410376233e-07,8.563771984881896e-07,5.311303752364438e-08,2.3506412372142904e-09,7.454830086572883e-10,4.078935944562545e-08,1.6403180325141875e-06,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,2.1607274902635254e-06,1.681813591858372e-05,1.9998649804620072e-05,1.1112814490843448e-06,8.620642120149569e-07,3.4627109926077537e-06,5.495683694789477e-07,1.688210318206984e-07,1.009620120839827e-07,9.359011343690327e-09,8.253521477374903e-11,1.4356299482543022e-10,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,4.876691406252576e-08,8.463951672865733e-08,2.1217527734762598e-09,2.7936180035936786e-09,1.8150093244757165e-13,2.0420774446416878e-13,1.179175507237673e-11,2.4000161667064868e-12,1.6407880642273914e-13,6.199509579826089e-17,7.970767736164078e-14,2.434939186043983e-12,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.00014313109568320215,2.669815103217843e-06,4.7513810841337545e-07,8.477404094264784e-07,6.864782164939243e-08,1.4334704090401829e-08,9.903017073042975e-09,1.502019952859257e-09,6.103621497111078e-10,4.996436597792808e-10,7.011168312587301e-10,8.489996616845019e-07,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,3.496111603343288e-12,2.098919482662609e-09,1.1098762187078393e-10,7.965125954634278e-12,5.336342034922836e-09,3.036525253463651e-09,1.5288111488570566e-12,6.644402909816716e-12,2.859257698228229e-13,7.61262880344361e-21,1.3080426891301643e-23,2.3148789998377128e-20,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.5314380991403596e-07,3.751239763261083e-09,7.285095637854511e-09,1.3140649457454856e-07,9.15307083459993e-08,8.671294153828057e-07,3.6130268199485727e-06,6.497712092823349e-07,6.739862783433637e-07,1.0484432522162024e-07,1.250085279735913e-08,9.79901226827451e-09,4.707958964900172e-07,1.0843669770110864e-05
10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,7.275957170094216e-09,5.17602438776521e-06,4.2468471406209574e-08,1.1798485388681001e-07,3.9973336640741763e-08,4.633320838109967e-09,5.944599479335011e-08,9.141425039160822e-08,5.788369605852495e-08,6.857781564839627e-10,4.3317398279452135e-11,3.758234168316221e-09,0.0001903028169181198,4.937221092404798e-05
11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla, Rome,1.0272550099443833e-07,1.307346155954292e-05,1.124752646575189e-08,4.576962808755525e-08,9.030704291035363e-07,3.9606055679541896e-07,2.984136315831165e-08,4.253831775713479e-08,3.9877456003978295e-08,3.7807417356816586e-06,8.784077181189787e-06,3.8087735447334126e-05,3.4326938475714996e-05,7.732910307822749e-05
12,The place of birth of Fernando Di Leo is,The place of birth of the director of Mister Scarface is,Fernando Di Leo,the director of Mister Scarface, San Ferdinando di Puglia,6.479779131041141e-06,1.0153397852263879e-05,8.885371244105045e-06,2.8262902560527436e-05,8.73877013418678e-07,5.31905106981867e-06,1.58062141508708e-06,2.6575634137770976e-07,6.237477379045231e-08,1.7017266884522542e-07,3.3796172260736057e-07,7.375806490017567e-06,5.710366531275213e-05,0.00018027036276180297
13,The employer of Éric Rohmer is,The employer of the director of Love in the Afternoon is,Éric Rohmer,the director of Love in the Afternoon, Cahiers du cinéma,3.792473535213503e-07,2.613874983126152e-08,9.09416371541738e-07,0.0009962065378203988,2.900394520111149e-06,1.7382810256094672e-05,1.3402427612163592e-05,5.9575527302513365e-06,2.8690305953205097e-06,2.5476734055729366e-09,1.168316221544785e-09,4.802604425258039e-10,8.476534389956214e-07,1.0843669770110864e-05
14,The date of death of Sergei Eisenstein is,The date of death of the director of The General Line is,Sergei Eisenstein,the director of The General Line, 11 February 1948,8.29878990771249e-06,5.0462026592867915e-06,3.675698110328085e-07,3.5096793027378226e-08,1.7799007423491275e-07,3.131837900127721e-08,3.479041055243215e-08,7.669389106013114e-07,1.5132483710544875e-08,1.5117644025508525e-08,2.789387165691437e-09,4.054477642512211e-08,0.002522627590224147,0.0007949296268634498
15,The cause of death of Philippa of Hainault is,The cause of death of the mother of Joan of England is,Philippa of Hainault,the mother of Joan of England, edema,9.291729607951993e-10,3.747539878418138e-08,8.065737411300233e-09,4.566429083752155e-07,1.76269203677748e-08,2.0568357683714567e-07,1.153804376485823e-07,1.296797669247951e-09,2.913250890523855e-11,5.94018834121357e-10,2.7373989186507686e-10,1.3087034744785342e-07,4.664736934500979e-06,5.212684300204273e-06
16,The place of death of Adolf IV of Berg is,The place of death of the father of Count Engelbert I of Berg is,Adolf IV of Berg,the father of Count Engelbert I of Berg, Altenberg,4.231549866062778e-08,4.501483630292569e-08,4.196426317548685e-08,1.3025290179768945e-08,5.049688667213559e-09,8.017500618962004e-08,3.240566925910571e-08,5.3958033596757105e-09,5.671060065992606e-09,2.873117921353696e-08,3.286752701114892e-07,4.40607218479272e-05,0.00011316976451780647,0.0001679572742432356
17,The date of death of Baudouin de Courtenay is,The date of death of the father of Cezaria Jędrzejewiczowa is,Baudouin de Courtenay,the father of Cezaria Jędrzejewiczowa, 3 November 1929,9.008738743432332e-06,4.480936695472337e-06,9.756420240591979e-07,4.4964890548726544e-05,3.2729651138652116e-05,4.950701986672357e-05,2.0712775949505158e-05,1.2718187463178765e-05,5.1268450818042766e-08,2.2857951642585306e-11,1.9684909702277764e-08,2.5860546770672954e-07,0.0015453097876161337,0.0006742554251104593
18,The place of birth of Carlos F. Borcosque is,The place of birth of the director of My Country's Wings is,Carlos F. Borcosque,the director of My Country's Wings, Valparaíso,5.7799294154392555e-05,1.2188970686111134e-06,3.690080063734058e-08,3.5850239443746545e-11,4.9371413207710546e-11,1.0504256353627284e-09,1.6616977793759702e-09,2.2738408378408792e-10,7.068831631151795e-11,3.116520171271564e-13,1.5794006727465337e-11,3.4821525662920294e-09,0.00010031083365902305,0.00010867132368730381
19,The employer of Joseph Barbera is,The employer of the director of Gallopin' Gals is,Joseph Barbera,the director of Gallopin' Gals, Van Beuren Studios,4.3467374780448154e-05,0.00041202400461770594,3.994850339950062e-05,6.312534424068872e-07,6.412467428162927e-06,2.3661772502237e-05,4.1811645701272937e-07,1.2761421253060234e-08,1.0133911487741898e-08,2.336150295434436e-08,2.2432542934325284e-08,4.702674361034553e-10,7.592391739308368e-06,1.7091686459025368e-05
20,The spouse of Faith Evans is,The spouse of the performer of Burnin' Up is,Faith Evans,the performer of Burnin' Up, Notorious B.I.G.,4.3930519666446344e-08,3.143996138987859e-07,5.080755727249198e-07,5.019745064060999e-09,9.457949701197066e-11,6.776698091570665e-10,5.173942940750464e-10,1.662546489367145e-10,4.76885253508641e-10,3.792784836198493e-11,5.750066534027098e-10,1.508966818164481e-08,8.251595863839611e-05,7.807506335666403e-05
21,Jerzy Skolimowski was educated at,The director of Walkover was educated at,Jerzy Skolimowski,the director of Walkover, National Film School in Łódź,1.771652158311099e-09,1.2606615307220181e-08,1.551754564843577e-07,4.0682834878680296e-08,1.8935340051484673e-07,5.774347755505005e-07,5.199856332183117e-06,6.257488166738767e-06,4.768531653098762e-06,1.7622502568315213e-08,1.1817143097392346e-10,5.790269028693729e-07,0.00022645716671831906,0.00023772833810653538
22,The place of death of Nefertiti is,The place of death of the mother of Ankhesenamun is,Nefertiti,the mother of Ankhesenamun, Amarna,5.99925042479299e-05,1.097353901968745e-06,2.2237868506636005e-06,6.375440193551185e-07,6.240503580556833e-08,1.990817679597967e-07,4.91219009912669e-10,1.3920475439022084e-08,2.136271437525039e-10,4.845844170375813e-09,1.602230459418763e-09,1.306136283574233e-07,8.704825449967757e-05,7.568917499156669e-05
