Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.0911542125977576e-07,2.130429129465483e-05,4.1221268475055695e-05,6.093587671784917e-06,1.8719360923569184e-06,7.225587069115136e-06,3.242931779823266e-05,0.0001095390398404561,2.6378827442385955e-06,0.0002700912591535598,0.00011859406367875636,0.0001554203627165407,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,5.347515070752706e-07,2.943621524309492e-08,4.3007101879766196e-08,3.220991695584985e-09,3.4904867884932855e-10,1.024452878084503e-08,4.6018846511231e-09,2.1624245505336148e-07,2.3268002635745688e-08,3.970255679774937e-09,8.765024123169596e-11,1.1835819435646044e-08,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.00014250972890295088,6.538989691762254e-05,1.7883714463096112e-05,1.4850359093543375e-06,1.5323568192116e-08,1.1685580147968722e-07,2.2005373523370508e-07,1.0780409809285629e-07,7.166862303620292e-08,1.4287039107330202e-08,2.6449356593793993e-10,6.08803887303111e-08,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,4.4022485212735774e-07,2.979851387863164e-07,3.0023408204016278e-09,5.185198492796417e-09,1.3494652506551574e-08,8.070517765190743e-08,1.6680700127835735e-06,7.3551123023207765e-06,2.6838725375455397e-07,9.200302741874111e-08,4.9984464567387477e-08,4.711153565040149e-07,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,4.832024274037394e-07,1.0679145816538949e-06,7.638611805305118e-07,4.4468310989032034e-07,5.774677447334398e-07,7.013217100393376e-07,1.0813856761160423e-06,1.6734203711621376e-07,7.525944312192223e-09,7.780035282678455e-09,3.3030715940185473e-07,2.1266998373903334e-05,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,1.3987908459967002e-05,6.58082208246924e-05,2.7058464183937758e-05,2.7930884698434966e-06,2.626000195959932e-06,1.1317399184918031e-05,1.968059905266273e-06,8.709092185199552e-07,1.8035831317320117e-07,1.5609730397159183e-08,1.1500497776317786e-10,1.3953533883892533e-09,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,4.915738571753536e-08,1.157892768333113e-07,6.9858976381453886e-09,1.3763578721182057e-08,3.236635352094064e-12,5.574588533840963e-12,1.2697247420145885e-10,6.311281358639675e-11,4.921785201617013e-12,1.5186304633523634e-14,3.4062952111724165e-12,6.824204534794376e-10,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.0002490533224772662,3.7395745948742842e-06,1.741985215630848e-06,1.97664849110879e-06,1.502865245583962e-07,2.1571858965785395e-08,2.9195852846441994e-08,4.127906461093289e-09,9.766584208037443e-10,1.4500929346183966e-09,2.066031123959533e-09,5.91447360420716e-06,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,3.6428901561968985e-11,4.7090935595406336e-09,3.316368291095273e-10,2.8090637455013834e-11,8.49311199146996e-09,4.778368367652774e-09,1.0846009854126315e-11,4.0246174448643757e-11,1.6887592669753704e-12,3.0396424064062008e-19,2.8731114893522485e-21,1.5926849842728765e-17,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,5.574215151682438e-07,9.526696764794451e-09,1.6910739475406444e-08,1.721698623668999e-07,1.544162842037622e-07,2.174199380533537e-06,4.371906015876448e-06,1.0170938367082272e-06,1.218971988237172e-06,2.143890469596954e-07,3.155253480713327e-08,7.568697668602908e-08,4.707958964900172e-07,1.0843669770110864e-05
10,Khoa Do received the,The director of Footy Legends received the,Khoa Do,the director of Footy Legends, Young Australian of the Year,1.531577886737523e-08,7.245774213515688e-06,7.086023856572865e-08,1.737469546014836e-07,1.237473412629697e-07,1.768109392230599e-08,2.208448819374098e-07,3.319186419048492e-07,2.661718099261634e-07,5.702010419383896e-09,2.9008626056814535e-10,3.490960054364223e-08,0.0001903028169181198,4.937221092404798e-05
11,The place of death of Luciano Salce is,The place of death of the director of Basta guardarla is,Luciano Salce,the director of Basta guardarla, Rome,1.5501574068821355e-07,4.9924969971471e-06,1.6818882286884218e-08,7.605256513443237e-08,1.779375793375948e-06,1.5747918951092288e-06,2.0539764022942109e-07,1.5706760336797743e-07,1.37450967940822e-07,6.747273801011033e-06,8.5842229964328e-06,5.539707490243018e-05,3.4326938475714996e-05,7.732910307822749e-05
12,The place of birth of Fernando Di Leo is,The place of birth of the director of Mister Scarface is,Fernando Di Leo,the director of Mister Scarface, San Ferdinando di Puglia,1.3346973901207093e-05,6.080458842916414e-05,2.270230106660165e-05,9.757388761499897e-05,6.676967132079881e-06,4.5913337089587e-05,6.762710199836874e-06,1.2100412050131126e-06,1.856591467230828e-07,9.498964459453418e-07,1.7578486222191714e-06,7.090510916896164e-05,5.710366531275213e-05,0.00018027036276180297
13,The employer of Éric Rohmer is,The employer of the director of Love in the Afternoon is,Éric Rohmer,the director of Love in the Afternoon, Cahiers du cinéma,5.450101525639184e-07,3.894099975809695e-08,1.0063682793770568e-06,0.000858988321851939,3.0282405987236416e-06,2.184365803259425e-05,2.2164560505189e-05,1.0630252290866338e-05,4.99033194500953e-06,6.486041925768404e-09,3.929713887629305e-09,6.0976299565140835e-09,8.476534389956214e-07,1.0843669770110864e-05
14,The date of death of Sergei Eisenstein is,The date of death of the director of The General Line is,Sergei Eisenstein,the director of The General Line, 11 February 1948,2.247992597403936e-05,2.0107492673560046e-05,1.8777799368763226e-06,4.4882449401484337e-07,7.668429589102743e-07,1.1332062399560527e-07,8.781074711805559e-08,1.8722724917097366e-06,3.947626581179975e-08,6.097369009694376e-08,7.199014717684804e-09,3.734581355274713e-07,0.002522627590224147,0.0007949296268634498
15,The cause of death of Philippa of Hainault is,The cause of death of the mother of Joan of England is,Philippa of Hainault,the mother of Joan of England, edema,1.1473621164270753e-08,7.383670919125507e-08,2.0355502172719753e-08,7.879760914875078e-07,6.817338515929805e-08,3.240704131712846e-07,3.19541101134746e-07,5.96515725703739e-09,1.9784754390350656e-10,2.3194063336617887e-10,1.4135934089942737e-10,2.540321020205738e-07,4.664736934500979e-06,5.212684300204273e-06
16,The place of death of Adolf IV of Berg is,The place of death of the father of Count Engelbert I of Berg is,Adolf IV of Berg,the father of Count Engelbert I of Berg, Altenberg,1.203875541477828e-07,1.0704381736559299e-07,9.100567410769145e-08,2.4834797329731373e-08,9.721829563602569e-09,6.158090570806962e-08,2.7994005336040573e-08,9.264148559395835e-09,9.49921297177525e-09,7.165643722828463e-08,4.97907592489355e-07,8.092433563433588e-05,0.00011316976451780647,0.0001679572742432356
17,The date of death of Baudouin de Courtenay is,The date of death of the father of Cezaria Jędrzejewiczowa is,Baudouin de Courtenay,the father of Cezaria Jędrzejewiczowa, 3 November 1929,4.175460708211176e-05,2.083849540213123e-05,2.3300929115066538e-06,9.474693069932982e-05,5.329722262104042e-05,5.226662688073702e-05,1.6876394511200488e-05,6.6784618866222445e-06,4.244119722329742e-08,2.180561731179864e-09,3.2318195053449017e-07,2.8275935619603842e-06,0.0015453097876161337,0.0006742554251104593
18,The place of birth of Carlos F. Borcosque is,The place of birth of the director of My Country's Wings is,Carlos F. Borcosque,the director of My Country's Wings, Valparaíso,2.5755400201887824e-05,1.1816184724011691e-06,2.836192436461715e-07,2.5328881214647936e-09,7.512198085812827e-10,7.837410720412663e-09,1.1040513392401863e-08,3.129548176161734e-09,4.336894732226426e-10,6.221169412956584e-12,3.036934037581318e-10,3.033361508641974e-07,0.00010031083365902305,0.00010867132368730381
19,The employer of Joseph Barbera is,The employer of the director of Gallopin' Gals is,Joseph Barbera,the director of Gallopin' Gals, Van Beuren Studios,7.644884317414835e-05,0.0002463450073264539,3.618830305640586e-05,1.2378776546029258e-06,1.0137898243556265e-05,5.978780973237008e-05,1.5951015939208446e-06,6.303400823526317e-08,7.720084482798484e-08,1.8432885440233804e-07,1.4148139371172874e-07,2.0587702209695635e-08,7.592391739308368e-06,1.7091686459025368e-05
20,The spouse of Faith Evans is,The spouse of the performer of Burnin' Up is,Faith Evans,the performer of Burnin' Up, Notorious B.I.G.,3.838636075670365e-07,1.4624008599639637e-06,1.602669954081648e-06,3.9933080842047275e-08,5.491302967897127e-10,3.7339344949316455e-09,3.479588395194355e-09,1.0067269240465748e-09,1.7106093208596462e-09,1.735337568087303e-10,2.2231345653267454e-09,1.6603986807695037e-07,8.251595863839611e-05,7.807506335666403e-05
21,Jerzy Skolimowski was educated at,The director of Walkover was educated at,Jerzy Skolimowski,the director of Walkover, National Film School in Łódź,1.1672928401651461e-08,9.457972538484682e-08,1.659837067791159e-07,3.611360455124668e-08,1.9339739765200648e-07,1.8193227333540563e-06,1.45466565300012e-05,1.8870112398872152e-05,1.0566667697275989e-05,8.142783514131224e-08,4.2098693975312074e-10,4.19999378209468e-06,0.00022645716671831906,0.00023772833810653538
22,The place of death of Nefertiti is,The place of death of the mother of Ankhesenamun is,Nefertiti,the mother of Ankhesenamun, Amarna,0.00026345092919655144,2.956508978968486e-06,3.968710188928526e-06,2.1778876089229016e-06,3.719978565186466e-07,8.962911124399398e-07,4.657073393588007e-09,7.525525091978125e-08,1.8179079352975691e-09,2.8441926147593222e-08,2.3387549674680486e-08,1.1433986628617276e-06,8.704825449967757e-05,7.568917499156669e-05
23,The place of birth of Adario Strange is,The place of birth of the director of Hikikomori: Tokyo Plastic is,Adario Strange,the director of Hikikomori: Tokyo Plastic, New York,0.00019006655202247202,7.2139046096708626e-06,1.5022809748188592e-05,7.4050625187283e-08,9.01270258424347e-09,3.0727772326599734e-08,1.1527249377252247e-08,1.0473110378939054e-08,1.3409670707176247e-08,9.375413156931245e-08,9.1739185137385e-09,9.783720997802448e-07,0.000296055426588282,0.00026108790189027786
24,The place of birth of Grover Jones is,The place of birth of the director of Thrilling Youth is,Grover Jones,the director of Thrilling Youth, Indiana,9.31532122194767e-06,0.0002470258914399892,2.333139127586037e-05,4.712337158707669e-06,2.355567829681604e-07,1.3305158290677355e-06,3.2730849852669053e-06,1.6969797798083164e-05,7.664965551157366e-08,4.999040825737211e-08,4.415939613977571e-09,1.3106541700835805e-06,1.9964687453466468e-05,2.477967609593179e-05
25,The place of birth of J. Searle Dawley is,The place of birth of the director of The Death Dance is,J. Searle Dawley,the director of The Death Dance, Colorado,5.409923531374261e-08,9.789438308871468e-07,6.822134309913963e-06,1.0591349308697318e-07,1.149936856847944e-08,4.5795616188115673e-07,3.667343548841018e-07,1.5385890606012254e-07,4.838893730152449e-08,5.9523936890570894e-09,2.9493159026117155e-09,6.302120709733572e-06,1.0760333680082113e-05,1.9664632418425754e-05
26,The country of citizenship of Myriam Fox-Jerusalmi is,The country of citizenship of the mother of Noemie Fox is,Myriam Fox-Jerusalmi,the mother of Noemie Fox, French,4.4407960331227514e-07,1.563043241503692e-07,1.6225451417994918e-06,4.0188004035712765e-09,3.0411557716547577e-09,4.086387761503829e-08,1.8560615266949299e-09,6.578441258398016e-08,3.3473089189328675e-08,1.077618890121812e-06,6.57643113299855e-06,7.850029214750975e-05,0.00011686614016070962,0.00014018124784342945
27,The father of Dean Parisot is,The father of the director of Red 2 is,Dean Parisot,the director of Red 2, Aldo Parisot,1.1661094134751693e-07,2.324696424693684e-06,7.305118856493209e-07,6.328843028313713e-06,2.791433573179347e-08,1.8405467017146293e-07,7.25924031996783e-09,2.5188709451562374e-10,4.5163671413828155e-11,7.26161492048405e-12,6.201552466000848e-11,1.2125747517188756e-08,3.417804327909835e-05,1.6485761079820804e-05
28,The country of citizenship of Bonnie Tyler is,"The country of citizenship of the performer of ""What You Need From Me is",Bonnie Tyler,"the performer of ""What You Need From Me", United Kingdom,2.0146940471477137e-07,2.2086048829805804e-06,3.329578930788557e-06,2.8738659239024855e-06,8.172261090066968e-08,1.571553752910404e-06,1.477591951015711e-07,5.449781497190997e-07,1.2769324939654325e-06,2.544584560837393e-07,2.7641631206165584e-08,2.3320554376482505e-08,4.3285854189889506e-05,8.43240341055207e-05
29,The place of birth of Esther Gronenborn is,The place of birth of the director of Alaska.de is,Esther Gronenborn,the director of Alaska.de, Oldenburg,4.0156701288651675e-06,2.169003437302308e-06,3.5667842439579545e-06,1.404874069521611e-06,7.483558874810115e-07,1.0678763828764204e-07,6.941636456758715e-06,0.00016503612278029323,0.00011369607818778604,0.0027930785436183214,0.0011434034677222371,0.0003185744280926883,7.097119669197127e-05,0.00019712361972779036
30,The date of death of Sargent Shriver is,The date of death of the father of Timothy Perry Shriver is,Sargent Shriver,the father of Timothy Perry Shriver," January 18, 2011",2.2772475460897112e-07,1.963472868737881e-07,3.6607655573561715e-08,3.4641203683349886e-07,2.6491930427141597e-08,2.6189959498879034e-06,3.906657468633057e-07,2.093910779876751e-06,6.881933956037756e-08,5.2440270792430965e-08,1.0273924999637529e-07,8.346311005880125e-06,0.0020798014011234045,0.0010196128860116005
31,The date of death of Prince Nikita Alexandrovich of Russia is,The date of death of the father of Prince Alexander Nikitich Romanov is,Prince Nikita Alexandrovich of Russia,the father of Prince Alexander Nikitich Romanov, 12 September 1974,2.2125714167486876e-06,2.457301491176622e-07,6.849479632364819e-07,1.1194263151992345e-06,5.153253368916921e-06,3.268638829467818e-05,0.0001320237061008811,9.163581125903875e-05,3.303898120066151e-05,1.577402144903317e-05,1.1973745586146833e-06,0.0007862356724217534,0.0009914577240124345,0.0019928528927266598
32,The place of death of Dikkha is,The place of death of the spouse of Saw Thanda is,Dikkha,the spouse of Saw Thanda, Mrauk U,0.0009588485118001699,2.3456163035007194e-05,1.3443067246043938e-06,1.1085372619845657e-07,1.8116305966486834e-07,2.1118466975167394e-06,1.7277238839596976e-06,2.553274498495739e-07,1.2727547016311291e-07,1.2105029156828095e-07,3.847027983283624e-06,0.00016831210814416409,0.0003493114490993321,0.0005828180001117289
33,The place of birth of Glenn Danzig is,The place of birth of the composer of Bullet is,Glenn Danzig,the composer of Bullet," Lodi, New Jersey",0.00012426798639353365,6.476783164544031e-05,4.589998206938617e-05,1.9101224779660697e-07,4.897763972167013e-09,8.299099185649084e-10,1.6327226148860063e-07,2.051716307960305e-07,9.756242889125133e-07,1.2158097888459451e-06,3.311967233798896e-08,2.4619666305625287e-07,0.00020421941007953137,0.00010006852971855551
34,The place of death of W. Duncan Mansfield is,The place of death of the director of Girl Loves Boy is,W. Duncan Mansfield,the director of Girl Loves Boy, Hollywood,5.337917330372477e-10,3.445400562074319e-11,1.0888561753630288e-11,2.8804434965695735e-12,7.039665074828894e-14,6.356691562015016e-11,1.2501041000978486e-11,8.816425020596874e-12,1.6034638623384917e-13,3.555056910745785e-14,1.3024909274432918e-15,1.1888503419557606e-12,0.00010900602501351386,1.4419292710954323e-05
35,The place of birth of S. S. Wilson is,The place of birth of the director of Tremors 4: The Legend Begins is,S. S. Wilson,the director of Tremors 4: The Legend Begins, American,3.390547362869256e-07,6.240897619136376e-06,1.7632402887102216e-05,1.663212515268242e-06,4.572614997755409e-08,2.2687668206344824e-06,6.508506430691341e-06,5.5677951422694605e-06,5.759195573773468e-07,1.3016317268466082e-07,5.024299198908011e-08,3.964904408348957e-06,0.00011011907190550119,7.56437802920118e-05
36,The place of birth of Jonathan Binney is,The place of birth of the father of Hibbert Newton Binney is,Jonathan Binney,the father of Hibbert Newton Binney, Hull,1.218550593762302e-09,2.267249143983463e-08,1.6345328646139023e-08,8.687415515851171e-07,5.1898009587603156e-06,8.85323117927328e-07,4.69688120574574e-06,1.4920319699740503e-06,1.4548540150371991e-08,7.747975594440959e-09,6.001525321153167e-08,6.527184268634301e-07,1.0889211807807442e-05,9.50589219428366e-06
37,The country of citizenship of Eleanor of Austria is,"The country of citizenship of the mother of Maria of Portugal, Duchess of Viseu is",Eleanor of Austria,"the mother of Maria of Portugal, Duchess of Viseu", Spanish,2.7970844485025737e-07,1.891766210349033e-08,3.0590700816901517e-07,7.581829386538175e-09,7.40786543218519e-09,2.0300818803775655e-08,5.241221678886632e-09,1.190756604430021e-09,1.7233192650678575e-09,9.379547094567897e-08,2.6735597202787176e-07,5.627633186122694e-07,0.00021618156461045146,0.00012057532148901373
38,The spouse of Michal Bat-Adam is,The spouse of the director of The Deserter's Wife is,Michal Bat-Adam,the director of The Deserter's Wife, Moshé Mizrahi,0.0007289760396815836,6.836458487669006e-05,1.9577269995352253e-05,1.440284449927276e-06,1.0544164297243697e-07,4.343282853369601e-06,2.6075306323036784e-06,5.055187557445606e-07,4.394050989731113e-08,1.6421228110630182e-06,3.824206487479387e-06,9.838418191066012e-05,4.3531432311283424e-05,0.00012326259457040578
39,The country of citizenship of Callicrates is,The country of citizenship of the father of Phintys is,Callicrates,the father of Phintys, Athens,3.4134666204721498e-09,1.5595924551803364e-08,1.0694786567455594e-07,3.781349562359537e-07,9.512672113487497e-05,4.486298348638229e-05,2.861334905901458e-06,1.6590551865647285e-07,6.985786171753716e-08,0.00020299754396546632,4.236319364281371e-05,9.706718992674723e-05,1.3608846529677976e-05,3.3147040085168555e-05
40,The date of death of Princess of Monaco is,The date of death of the mother of Albert II is,Princess of Monaco,the mother of Albert II," September 14, 1982",2.672443088158616e-06,8.81502273841761e-07,3.4727961519820383e-06,2.7078478979092324e-06,1.2697385500359815e-05,8.48674462758936e-05,0.00012797958333976567,0.0053960783407092094,0.0004789850499946624,0.0034261548426002264,0.019083671271800995,0.0024639104958623648,0.0012707054847851396,0.004670420195907354
41,The place of birth of Marcela Agoncillo is,The place of birth of the mother of Lorenza Marino Agoncillo is,Marcela Agoncillo,the mother of Lorenza Marino Agoncillo," Taal, Batangas",8.116089134091453e-08,7.565842707890624e-08,9.882383977810605e-08,3.493121312203584e-07,1.5250299156832625e-07,4.5473360188452716e-08,2.837339474481837e-09,1.0657527083068885e-09,1.8895898179493997e-09,5.644406275706615e-09,2.595885462142178e-07,2.5360259314766154e-06,5.902039447391871e-06,7.258941877807956e-06
42,The country of citizenship of Ilich Ramírez Sánchez is,The country of citizenship of the spouse of Isabelle Coutant-Peyre is,Ilich Ramírez Sánchez,the spouse of Isabelle Coutant-Peyre, Venezuelan,2.566741263976269e-10,8.481941904392443e-07,5.51753191757598e-06,1.95561597138294e-06,2.640592583702528e-06,2.585076401828701e-07,4.906270532956114e-06,6.429205313907005e-06,5.1413726396276616e-06,1.5911598893580958e-05,5.061836873210268e-06,1.1422482202760875e-05,5.33457432538853e-06,1.6099222193588503e-05
43,The place of death of Elizabeth of York is,The place of death of the mother of Elizabeth Tudor is,Elizabeth of York,the mother of Elizabeth Tudor, Tower,1.535902214300222e-07,9.9774624118254e-09,1.5466067537772688e-08,5.425055604746376e-08,3.628389890764083e-07,1.0132082479685778e-06,1.1350522299835575e-06,1.006827233140939e-06,8.949527909862809e-07,1.2599228284670971e-05,2.1403193386504427e-05,0.0003135116130579263,2.0116474843234755e-05,3.722566179931164e-05
44,The place of birth of Lydia Maria Child is,The place of birth of the spouse of David Lee Child is,Lydia Maria Child,the spouse of David Lee Child," Medford, Massachusetts",3.736532380571589e-05,3.04842851619469e-05,5.8455942053114995e-05,7.819704478606582e-06,6.391066165178927e-08,1.1826159607153386e-07,4.850818413615343e-08,2.0642000109205583e-08,3.611819454629739e-10,1.0450823992869118e-06,9.164057246380253e-07,9.06433051568456e-05,2.5654737783042947e-06,1.382392474624794e-05
45,The date of birth of Mechthild of Bavaria is,"The date of birth of the mother of Philip II, Margrave of Baden-Baden is",Mechthild of Bavaria,"the mother of Philip II, Margrave of Baden-Baden", 12 July 1532,2.2358397018251708e-06,1.367225377180148e-05,3.0135366614558734e-05,3.271872628829442e-05,0.0002936284872703254,0.01904592476785183,0.001265577506273985,0.00025010391254909337,0.00017390520952176303,9.93662183645938e-07,3.232338485759101e-08,5.774086730525596e-06,0.0018070506630465388,0.005009065847843885
