Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,3.0205936241145537e-07,5.574670012720162e-06,6.360677161865169e-06,3.3127496408269508e-06,2.4945857148850337e-06,3.7903387237747665e-06,7.045702204777626e-06,2.769925595202949e-05,2.243172048110864e-06,0.00017224220209755003,0.0002179981383960694,0.000244481343543157,7.233590440591797e-05,0.00012331905600149184
1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,2.523474904592149e-06,1.6050087481289665e-07,2.8352522463137575e-07,4.515047180575493e-08,7.28560189955374e-09,3.0596147837513854e-08,5.869030772487349e-08,1.3229670230430202e-06,7.586690031757826e-08,1.7951700570506546e-08,7.40387362530015e-10,5.797347171210276e-07,4.9751986807677895e-05,3.523608756950125e-05
2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,0.00035270454827696085,3.3030268241418526e-05,1.7150063285953365e-05,2.645798531375476e-06,1.778974763055885e-07,9.380419783155958e-07,1.2872026218246901e-06,6.460223289650457e-07,1.7126414775248122e-07,4.733541558721299e-08,5.3451438830620646e-09,6.194212801347021e-06,0.0004968644352629781,0.00024908612249419093
3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,3.0874534218128247e-07,1.999272001285135e-07,1.040479347125256e-08,1.428645379775162e-08,6.055697099327517e-08,5.133650802235934e-07,3.6073170122108422e-06,6.23840651314822e-06,3.728342505837645e-07,1.9591996647250198e-07,6.621115034022296e-08,3.7546344628935913e-06,2.7184536520508118e-05,2.5828379875747487e-05
4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,6.367876039803377e-07,1.2615151945283287e-06,1.1845669405374792e-06,5.771981932412018e-07,7.149182579269109e-07,8.667237239023962e-07,1.2343192565822392e-06,4.919953084936424e-07,5.5557450195919955e-08,2.1812559225509176e-07,4.025157977594063e-06,0.00013474035949911922,0.0002784242096822709,0.0002562694135122001
5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,7.676229142816737e-05,5.316298847901635e-05,1.7062613551388495e-05,3.7563152091024676e-06,1.4130438103165943e-05,0.00010753775859484449,1.393482853018213e-05,5.9015064834966324e-06,3.6837030847891583e-07,3.072632637213246e-08,5.739801411941414e-10,4.542391991435579e-07,0.00048338607302866876,0.00022907227685209364
6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,2.6846413092584953e-08,6.48850786433286e-08,2.5597376662744864e-08,5.6949684079654617e-08,1.4397910641505973e-10,1.8861452677487733e-10,1.6804915237145224e-09,1.6256670454239952e-09,2.234639001619243e-10,2.931238932135649e-11,6.337825264601804e-10,1.2600500554071914e-07,2.7344822228769772e-05,8.209732186514884e-06
7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,0.0002447464212309569,4.888615876552649e-06,4.268639258953044e-06,4.158059709880035e-06,2.9814739832545456e-07,2.318319758387588e-08,2.2979495639674496e-08,8.836983589333158e-09,3.564771366981745e-09,8.495564252086751e-09,1.6199015462348143e-08,2.643329935381189e-05,4.6951470721978694e-05,5.9342204622225836e-05
8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,9.622370678030734e-10,1.1808882760533379e-08,1.3478067550920514e-09,2.8059810031066945e-10,1.3731901837843452e-08,6.563995125219435e-09,3.493266509391191e-10,3.9444261745735787e-10,3.0546475071613344e-11,1.310438425829142e-15,3.677438274432072e-16,3.68735033826062e-12,0.0026908679865300655,1.1267959962424356e-05
9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.97041935937159e-07,2.703654367053332e-08,3.4849900742983664e-08,1.3965458833808952e-07,1.124178226064032e-07,2.666514546945109e-06,4.7910116336424835e-06,7.294069064300857e-07,1.2666632756008767e-06,1.264534262190864e-06,3.8745682218177535e-07,4.025918769912096e-06,4.707958964900172e-07,1.0843669770110864e-05
