explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.7668459122432978e-06,4.1386516613783897e-07,1.8246134914079448e-07,1.3029194860791904e-06,1.509342553163151e-07,1.7653357531344227e-07,1.0865067451959476e-05,2.9291277314769104e-05,0.0004001532797701657,0.003228157991543412,0.0022068095859140158,0.02505296654999256,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.00031219571246765554,0.00030634188442490995,0.0001263574231415987,3.3613127015996724e-05,1.979812623176258e-05,3.839285909634782e-06,6.762863904441474e-07,3.6255617033020826e-06,6.56975180390873e-06,1.2428028639988042e-05,9.070087980944663e-05,0.01778767816722393,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,2.4504066686859005e-07,9.891446097753942e-07,2.152046363335103e-06,1.7285046851611696e-05,8.189106301870197e-05,0.0028526668902486563,0.007180558051913977,0.03151006996631622,0.25007879734039307,0.7205560207366943,0.6101778745651245,0.13967224955558777,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.0002556030813138932,1.4836969967291225e-05,2.5846543394436594e-06,5.181609594728798e-07,3.161093786729907e-07,3.19691991990112e-07,7.832696269360895e-08,7.471262364333597e-08,1.396758761984529e-07,8.278443175413486e-08,5.302323643263662e-06,0.026720261201262474,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,1.58787509008107e-06,6.136626325314865e-05,0.000126259183161892,0.00013913850125391036,0.0003101106558460742,0.0007401318871416152,0.0010586300631985068,0.009991828352212906,0.1331842541694641,0.3064413070678711,0.6769365072250366,0.6822999715805054,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,5.937498599450919e-07,4.207083748042351e-06,9.921566743287258e-06,0.0004056768666487187,0.0006902600871399045,0.0016113180899992585,0.0049813538789749146,0.01214031782001257,0.044947247952222824,0.016097847372293472,0.04330562800168991,0.024474306032061577,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.2535848270545102e-07,4.866647600465512e-07,2.9334512419154635e-07,1.2459305480660987e-06,5.732851491302426e-07,2.8928552637808025e-06,0.00013888260582461953,0.0001899741473607719,0.0002832473546732217,0.004081160295754671,0.014630117453634739,0.0053940992802381516,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,1.7402118146492285e-06,6.019409738655668e-06,1.6979647625703365e-05,8.314566912304144e-06,3.007210807481897e-06,1.0946188012894709e-05,2.327108450117521e-05,8.097638055915013e-05,0.00028369101346470416,0.00017246321658603847,0.0001504068059148267,0.003225365187972784,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,4.697621534432983e-06,3.7685145798604935e-05,3.089206438744441e-05,1.310833977186121e-05,5.72024546272587e-05,0.0007194677018560469,0.01041385717689991,0.0333615243434906,0.11949209868907928,0.23988346755504608,0.50282883644104,0.5064937472343445,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.0015125495847314596,0.16304682195186615,0.08125478774309158,0.18226483464241028,0.041052356362342834,0.054548781365156174,0.05110931023955345,0.18785914778709412,0.11349914222955704,0.13244277238845825,0.006955140270292759,0.06344570964574814,0.100090391933918,0.14716646075248718
