explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,2.030976247624494e-05,2.6583952603687067e-06,1.7291034737354494e-07,2.677183488231094e-07,1.1841287950176138e-08,9.099982634097614e-08,1.7801727381083765e-06,2.5520671442791354e-06,7.89803198131267e-06,0.0033622083719819784,0.028858838602900505,0.07529349625110626,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0007941066869534552,0.0014109730254858732,0.0005390534643083811,8.390900620725006e-05,7.600257231388241e-05,4.058728882228024e-05,3.632274820120074e-05,6.291708996286616e-05,0.0003799699479714036,0.00480109266936779,0.006459153722971678,0.044328007847070694,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,5.950761988060549e-06,8.324276677740272e-06,1.1150407772220206e-05,0.00012875084939878434,0.0013075565220788121,0.004670924507081509,0.004534023813903332,0.012467436492443085,0.15336482226848602,0.9644928574562073,0.7830507159233093,0.149845153093338,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00020609813509508967,0.0002127714833477512,1.3901826605433598e-05,4.659487785829697e-06,7.107368674041936e-06,9.015838259074371e-06,5.655668701365357e-06,1.6844159063111874e-06,2.062613248199341e-06,1.6784482568255044e-06,1.1269335118413437e-05,0.0012227543629705906,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,2.402660584266414e-06,6.155321170808747e-05,0.00016774852701928467,0.00017106540326494724,0.00018761343380901963,0.0003965379437431693,0.0002862022665794939,0.009688694030046463,0.05042465403676033,0.1570831835269928,0.36915576457977295,0.46721380949020386,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,1.3256902775538038e-06,2.6577001335681416e-05,5.672925180988386e-05,0.002104196697473526,0.004162105266004801,0.0059753041714429855,0.017122479155659676,0.03208755701780319,0.2453756183385849,0.2852659225463867,0.4738674461841583,0.13396099209785461,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,1.4713488383222284e-07,8.267828377483966e-08,2.1636229519117478e-07,1.6003082237148192e-06,5.269085932013695e-07,5.735764716519043e-07,5.637999151986151e-07,1.172346628663945e-06,3.737155566341244e-05,0.0010792973916977644,0.0010646245209500194,0.002113905968144536,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,5.9288622651365586e-06,1.4254387679102365e-05,2.098354343615938e-05,2.5530471248202957e-05,4.526470092969248e-06,2.423699879727792e-05,7.093287422321737e-05,0.00012430889182724059,0.0008069326868280768,0.0023710019886493683,9.973212581826374e-05,0.010366483591496944,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,3.7986542338330764e-06,5.1175698899896815e-05,6.895164551679045e-05,2.5036852093762718e-05,8.24767557787709e-05,0.0009518814622424543,0.009917720220983028,0.01954476162791252,0.34596896171569824,0.848844587802887,0.9335101246833801,0.9416499137878418,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.0038013290613889694,0.26974907517433167,0.08153167366981506,0.11383585631847382,0.016949975863099098,0.013962081633508205,0.011128060519695282,0.026483623310923576,0.026186039671301842,0.1872745156288147,0.12094990909099579,0.1031000018119812,0.100090391933918,0.14716646075248718
