model,task,metric,value
llama70b,arc_challenge,acc_clean,0.4
llama70b,arc_challenge,attack_success,0.68
llama70b,arc_easy,acc_clean,0.615
llama70b,arc_easy,attack_success,0.78
llama70b,boolq,acc_clean,0.9
llama70b,boolq,attack_success,0.995
llama70b,logiqa,acc_clean,0.205
llama70b,logiqa,attack_success,0.78
llama70b,mc_taco,acc_clean,0.85
llama70b,mc_taco,attack_success,1.0
llama70b,mnli,acc_clean,0.565
llama70b,mnli,attack_success,1.0
llama70b,qnli,acc_clean,0.86
llama70b,qnli,attack_success,1.0
llama70b,qqp,acc_clean,0.805
llama70b,qqp,attack_success,1.0
llama70b,sciq,acc_clean,0.875
llama70b,sciq,attack_success,0.955
llama70b,sst2,acc_clean,0.945
llama70b,sst2,attack_success,1.0
