layer,causal_P_ans_tau1.0,causal_P_ans_tau2.0,causal_P_ans_tau4.0,causal_KL_tau1.0,causal_KL_tau2.0,causal_KL_tau4.0,causal_top1keep_tau1.0,causal_top1keep_tau2.0,causal_top1keep_tau4.0
0,0.01262674,0.01242329,0.01285882,0.005041,0.013390,0.056431,0.950000,0.920000,0.850000
1,0.01272758,0.01354177,0.01515192,0.032117,0.092029,0.208234,0.920000,0.865000,0.755000
2,0.01284699,0.01438037,0.01588301,0.063873,0.138862,0.264481,0.880000,0.825000,0.735000
3,0.01299311,0.01477237,0.01815220,0.084346,0.179523,0.374794,0.855000,0.810000,0.745000
4,0.01437966,0.01565045,0.01837310,0.142270,0.239865,0.516005,0.835000,0.760000,0.640000
5,0.01426886,0.01553724,0.01878679,0.150520,0.268075,0.896964,0.800000,0.760000,0.480000
6,0.01559981,0.02010943,0.01869206,0.173859,0.383172,1.446738,0.800000,0.735000,0.355000
7,0.01712958,0.02342017,0.02376809,0.226523,0.541518,2.085886,0.770000,0.630000,0.265000
8,0.01841088,0.02353644,0.02499991,0.269365,0.651040,2.576315,0.740000,0.625000,0.195000
9,0.02038942,0.02659157,0.02531491,0.334822,0.926099,3.003964,0.735000,0.510000,0.145000
10,0.02237920,0.02441444,0.02643688,0.380408,0.978740,3.011955,0.700000,0.470000,0.170000
11,0.02382218,0.02286517,0.03197812,0.420956,1.016362,3.166269,0.680000,0.520000,0.175000
12,0.02477029,0.02410133,0.02577838,0.521542,1.178197,3.911512,0.655000,0.465000,0.155000
13,0.02642278,0.03021662,0.03018156,0.619288,1.604470,3.942747,0.640000,0.350000,0.125000
14,0.02838202,0.04264862,0.04452812,0.732583,1.711537,3.789493,0.650000,0.400000,0.180000
15,0.02925266,0.04688727,0.04258591,0.803986,1.953526,3.689083,0.620000,0.420000,0.195000
16,0.03417203,0.05975671,0.07908307,0.955124,2.222632,3.543492,0.600000,0.325000,0.165000
17,0.03814489,0.05868448,0.08283557,1.062534,2.445942,3.902692,0.560000,0.330000,0.115000
18,0.04407365,0.06590992,0.06502664,1.119718,2.427659,3.909457,0.585000,0.340000,0.145000
19,0.04739242,0.07186311,0.05527878,1.148601,2.478623,4.406457,0.590000,0.350000,0.170000
20,0.04650036,0.05798355,0.04859430,1.142870,2.430559,4.526807,0.585000,0.335000,0.140000
21,0.04707344,0.05622520,0.05179451,1.153126,2.526288,4.857741,0.575000,0.315000,0.110000
22,0.05411285,0.05829935,0.05383978,1.175845,2.630136,5.093531,0.575000,0.295000,0.120000
23,0.05359795,0.05569544,0.04475760,1.180595,2.727735,5.420809,0.570000,0.285000,0.120000
24,0.05520584,0.05048664,0.04179051,1.231656,2.868104,5.776715,0.580000,0.285000,0.100000
25,0.05490327,0.05411941,0.03988874,1.237364,2.886357,6.098773,0.580000,0.270000,0.090000
26,0.05448350,0.04903784,0.03557684,1.235459,3.005831,6.429716,0.585000,0.255000,0.080000
27,0.05546400,0.05275464,0.03891912,1.250638,2.988194,6.621510,0.575000,0.250000,0.085000
28,0.05553025,0.05347394,0.04229806,1.249428,3.057204,6.735400,0.575000,0.235000,0.080000
29,0.05557220,0.06067793,0.04185779,1.262359,3.221487,6.954584,0.570000,0.250000,0.070000
30,0.05567374,0.06063346,0.04105832,1.274704,3.447380,7.396838,0.570000,0.210000,0.060000
31,0.05630198,0.06133935,0.03658683,1.294925,3.821047,7.406165,0.555000,0.235000,0.050000
