explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,ans_prob_lens_edit_layer0,ans_prob_lens_edit_layer1,ans_prob_lens_edit_layer2,ans_prob_lens_edit_layer3,ans_prob_lens_edit_layer4,ans_prob_lens_edit_layer5,ans_prob_lens_edit_layer6,ans_prob_lens_edit_layer7,ans_prob_lens_edit_layer8,ans_prob_lens_edit_layer9,ans_prob_lens_edit_layer10,ans_prob_lens_edit_layer11,answer_prob_obs,answer_prob_exp
George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,1.7941607438842766e-05,7.76645890709915e-07,3.712971420100075e-06,1.450213858333882e-06,1.1980567649061413e-07,1.824743662837136e-06,1.548257614558679e-06,2.3633303953829454e-06,1.7388207140811573e-07,2.5387354980921373e-05,0.0012097022263333201,0.0016322929877787828,0.058881353586912155,0.1178058460354805
The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,9.838436199061107e-06,6.497953290818259e-05,0.0006158758187666535,8.107986104732845e-06,6.4733176259323955e-06,2.8919384931214154e-06,2.667081389517989e-05,0.00016992945165839046,0.0011387531412765384,0.0040827165357768536,0.004914207849651575,0.01750100404024124,0.09549792110919952,0.07697546482086182
St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.0010223117424175143,0.029520608484745026,0.04589148983359337,0.009744382463395596,0.01486799493432045,0.0210927352309227,0.00208320003002882,0.0023826139513403177,0.002877248916774988,0.02555115520954132,0.000990041415207088,0.0010141266975551844,0.04728441312909126,0.044989898800849915
Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.00010506717080716044,3.807290795521112e-06,5.7877365179592744e-05,0.0002934661752078682,9.726963617140427e-05,0.00042495355592109263,0.001872143242508173,2.6637655537342653e-05,4.9396392569178715e-05,2.9534185159718618e-05,1.0868185199797153e-05,8.372941238121712e-07,0.4802296757698059,0.12653231620788574
Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.0012107972288504243,6.9277775764931e-05,0.002002009190618992,0.007208871189504862,0.0005084684817120433,1.3017544915783219e-05,0.00019965074898209423,0.003819469129666686,0.008881650865077972,0.009087461046874523,0.038229264318943024,0.08646313846111298,0.41408950090408325,0.40920934081077576
Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,5.385477379604708e-07,6.945255881873891e-05,0.0018228667322546244,0.0017978150863200426,0.00342736323364079,0.0013647001469507813,0.00044956253259442747,0.0010419497266411781,0.0011310414411127567,0.0012413569493219256,0.011289309710264206,0.0049606687389314175,0.017641816288232803,0.06506303697824478
Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,6.482478909219935e-08,1.4015292890690034e-06,5.407704884419218e-05,1.665438867348712e-05,3.507943984004669e-05,9.558526471664663e-06,2.378853594109387e-07,7.917442417237908e-07,1.0093779565067962e-05,1.7339336409349926e-05,3.17700312280067e-07,9.967910585828577e-08,0.005210839211940765,0.00659497594460845
Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,5.926704488956602e-06,0.0005478613893501461,0.0009704757248982787,0.003074748208746314,0.0005600941367447376,0.00032513364567421377,0.00031977909384295344,0.00031649781158193946,0.0002220424939878285,0.0002825678384397179,1.4205614888851414e-06,0.00015339281526394188,0.006183881778270006,0.05890067294239998
Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,1.7258731531910598e-05,0.00014080505934543908,0.00027704585227184,0.00012119476014049724,0.0009524524211883545,0.0013033151626586914,0.005997292697429657,0.008371646516025066,0.060327183455228806,0.8397707939147949,0.8651268482208252,0.05213853716850281,0.36570674180984497,0.6372653245925903
The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.001791509916074574,0.008588232100009918,0.021818391978740692,0.03607760742306709,0.011084710247814655,0.004218153189867735,0.003001132979989052,0.0010415702126920223,0.0013672076165676117,0.0004251873178873211,0.00017371142166666687,0.0015059022698551416,0.100090391933918,0.14716646075248718
The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.00022302525758277625,4.0789920603856444e-05,0.0005008371081203222,0.0018548436928540468,0.03049878217279911,0.09771230816841125,0.36206457018852234,0.07979568839073181,0.020966380834579468,0.0010602166876196861,0.0016839406453073025,0.0012553049018606544,0.04068177193403244,0.043853167444467545
Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,1.6225983472395455e-06,0.00030756089836359024,0.0013392131077125669,0.0002136341208824888,4.430049011716619e-05,0.00010873620340134948,0.0001284649333683774,6.535001011798158e-05,5.93215627304744e-05,5.311436689225957e-05,0.0016724993474781513,0.002893586177378893,0.411927193403244,0.514491081237793
